代碼,名稱,產業,上月實際(百萬),上月MoM%,預測(百萬),預測MoM%,預測YoY%,近3月YoY中位,加速度pp,兩法一致,基期註記,大戶週Δpp,法人5日(張)
6589,台康生技,生技醫療業,163.7,-22.7,178.2,8.9,117.4,125.9,97.7,✅,,-0.1,-254
1316,上曜,建材營造業,690.2,-0.8,907.9,31.5,116.0,102.0,-13.5,❌,,-0.83,-126
6274,台燿,電子零組件業,5914.5,0.1,6128.5,3.6,114.9,121.5,23.6,✅,,-0.38,-780
4542,科嶠,電子零組件業,123.9,6.8,167.2,34.9,113.4,104.5,71.9,—,⚠️換檔(YoY將失速),-1.02,-59
6588,東典光電,通信網路業,31.3,1.2,28.0,-10.6,112.9,110.5,-45.3,✅,,0.0,-122
8054,安國,半導體業,683.2,7.9,628.4,-8.0,111.0,97.9,-134.6,❌,,-0.25,-599
3231,緯創,電腦及週邊設備業,460065.1,49.3,424940.7,-7.6,108.9,60.8,-51.2,❌,,0.77,-78083
6693,廣閎科,半導體業,251.2,3.6,253.4,0.9,108.4,108.9,-3.0,✅,,0.5,-754
4977,眾達-KY,通信網路業,208.0,14.8,211.7,1.8,106.2,106.2,125.6,—,,-1.88,-1506
3234,光環,通信網路業,108.6,13.1,103.6,-4.7,105.4,96.9,84.8,✅,,-0.03,-413
5314,世紀*,其他業,465.3,-15.8,662.4,42.3,104.1,149.6,11.0,❌,,-1.33,19556
6834,天二科技,電子零組件業,255.2,5.0,237.6,-6.9,102.7,88.2,55.6,❌,,-0.42,1093
6706,惠特,光電業,77.6,17.1,76.8,-1.0,102.6,89.2,131.1,❌,,-2.3,934
2419,仲琦,通信網路業,2011.1,202.5,1580.2,-21.4,102.1,-0.7,18.1,❌,,-0.31,15
7769,鴻勁,半導體業,5219.0,-0.5,5746.6,10.1,100.8,100.8,-10.4,—,,0.15,731
6446,藥華藥,生技醫療業,2617.2,4.4,2637.8,0.8,100.2,94.9,26.5,✅,,-0.85,-382
4949,有成精密,光電業,309.9,-15.0,403.5,30.2,98.1,98.6,56.4,✅,,-0.75,57
3450,聯鈞,半導體業,1248.0,2.4,1275.7,2.2,97.7,98.0,52.5,✅,,2.44,-4256
