代碼,名稱,產業,上月實際(百萬),上月MoM%,預測(百萬),預測MoM%,預測YoY%,近3月YoY中位,加速度pp,兩法一致,基期註記,大戶週Δpp,法人5日(張)
1785,光洋科,其他電子業,4515.8,-14.2,4699.9,4.1,38.8,46.4,-49.0,❌,,-0.33,-1197
6548,長科*,半導體業,1650.5,6.1,1664.2,0.8,38.8,37.6,13.1,✅,,0.01,-3666
6147,頎邦,半導體業,2619.7,3.8,2643.0,0.9,38.6,39.2,20.1,✅,,0.14,-5640
6472,保瑞,生技醫療業,2184.6,14.9,2384.8,9.2,38.6,39.2,32.9,✅,,-0.64,-407
2221,大甲,其他業,198.7,42.2,179.3,-9.8,38.2,38.5,21.5,✅,,-1.22,-98
1773,勝一,化學工業,1384.8,3.6,1324.8,-4.3,37.9,33.5,5.2,✅,,-0.69,199
7780,大研生醫*,食品工業,203.1,3.0,210.6,3.7,37.7,37.7,-2.8,—,,-0.09,-161
5536,聖暉*,其他電子業,4878.7,25.6,5373.9,10.2,37.5,24.9,-2.9,❌,,-0.59,15
2472,立隆電,電子零組件業,1310.5,-1.3,1317.4,0.5,37.3,36.2,21.7,✅,,-0.95,-457
6715,嘉基,電子零組件業,164.8,6.6,143.8,-12.8,37.2,23.3,34.9,❌,,-1.2,-107
2426,鼎元,光電業,253.3,-0.8,245.9,-2.9,37.0,36.3,46.0,✅,,-3.75,-17788
4577,達航科技,其他電子業,73.6,-23.8,88.6,20.5,36.9,59.8,-2.8,❌,,0.0,-154
4303,信立,塑膠工業,148.6,37.7,119.4,-19.6,36.8,16.9,-6.4,❌,,-2.14,-407
6224,聚鼎,電子零組件業,319.1,0.4,326.5,2.3,36.5,36.5,41.3,✅,,-0.34,788
6023,元大期,金融保險業,344.4,-32.9,458.9,33.2,36.4,86.2,44.7,❌,,2.91,968
3094,聯傑,半導體業,20.7,-5.2,19.7,-4.9,36.3,32.1,15.6,✅,,1.32,-621
4566,時碩工業,電機機械,596.0,7.4,628.8,5.5,36.2,44.4,34.4,❌,,-0.49,-711
2108,南帝,橡膠工業,1046.3,1.8,1130.5,8.1,36.0,32.7,8.9,✅,,-0.0,-587
6291,沛亨,半導體業,269.7,10.5,267.2,-0.9,36.0,39.4,-2.7,✅,,0.96,-547
2375,凱美,電子零組件業,653.8,5.3,691.9,5.8,35.9,37.6,35.6,✅,,-2.81,-937
3189,景碩,半導體業,4809.6,5.7,4868.1,1.2,35.7,35.9,9.1,✅,,-2.49,517
2436,偉詮電,半導體業,428.9,6.3,423.4,-1.3,35.6,32.1,6.0,✅,,1.14,-199
3380,明泰,通信網路業,2982.5,71.1,3068.7,2.9,35.3,5.5,13.4,❌,,-0.42,-413
8103,瀚荃,電子零組件業,403.1,1.9,424.8,5.4,35.3,45.0,22.7,❌,,1.84,274
5607,遠雄港,航運業,486.1,-5.6,495.7,2.0,35.2,37.0,-1.8,✅,,0.37,-329
5328,華容,電子零組件業,99.8,0.6,108.4,8.6,35.1,42.0,28.6,❌,,0.61,-95
8155,博智,電子零組件業,561.0,0.7,582.9,3.9,35.1,35.1,5.5,✅,,-0.24,-89
3090,日電貿,電子零組件業,1912.8,-8.7,1906.1,-0.4,35.0,38.4,10.3,✅,,-0.5,-4516
6282,康舒,電子零組件業,3708.8,13.6,4184.3,12.8,34.9,38.5,12.3,✅,,-0.78,-2199
6584,南俊國際,電子零組件業,280.1,-0.1,279.5,-0.2,34.6,37.7,-9.3,✅,,0.0,-187
1617,榮星,電器電纜,374.2,-10.9,396.7,6.0,34.2,40.4,2.5,✅,,-0.57,-288
2301,光寶科,電腦及週邊設備業,19592.4,3.1,20683.3,5.6,34.0,37.0,12.5,✅,,-0.41,-14819
8150,南茂,半導體業,2785.7,-1.3,2792.8,0.3,33.8,37.2,14.1,✅,,1.47,-2540
6155,鈞寶,電子零組件業,75.0,16.2,81.6,8.8,33.8,47.9,32.5,❌,,-0.64,66
6206,飛捷,電腦及週邊設備業,583.3,2.6,609.2,4.4,33.7,38.2,-6.3,✅,,-0.37,599
5434,崇越,電子通路業,7791.8,-4.7,8125.1,4.3,33.4,36.3,17.7,✅,,-0.17,-158
6174,安碁,電子零組件業,66.9,-11.3,67.9,1.5,33.3,32.8,1.9,✅,,-0.13,-231
2308,台達電,電子零組件業,64586.0,-3.7,76044.1,17.7,33.3,47.7,4.1,❌,,-0.08,-14722
6805,富世達,電子零組件業,1528.3,12.4,1626.3,6.4,33.2,29.1,-29.9,✅,,0.51,755
4971,IET-KY,半導體業,106.0,0.9,129.2,21.8,33.0,33.0,17.0,—,,0.16,-277
2365,昆盈,電腦及週邊設備業,111.2,-0.0,98.9,-11.0,32.9,21.8,2.3,❌,,0.25,-99
4716,大立,化學工業,57.2,29.1,52.1,-8.8,32.8,22.8,24.9,❌,,-1.62,-120
4958,臻鼎-KY,電子零組件業,20666.1,17.4,25719.1,24.5,32.8,32.8,21.0,—,,0.17,10444
2374,佳能,光電業,1313.0,13.2,1411.2,7.5,32.8,34.7,-27.8,✅,,-0.75,-1057
8028,昇陽半導體,半導體業,505.4,-1.8,509.8,0.9,32.6,33.6,2.5,✅,,-1.01,-3972
4541,晟田,其他業,174.8,-10.1,193.7,10.8,32.6,39.1,-5.5,✅,,-1.85,-234
8070,長華*,電子通路業,2232.8,0.0,2246.7,0.6,32.4,33.6,5.5,✅,,-0.02,-889
2049,上銀,電機機械,2708.0,1.0,2760.3,1.9,32.1,33.9,13.2,✅,,-0.35,2910
4714,永捷,化學工業,192.0,28.4,161.1,-16.1,32.0,14.7,-81.4,❌,,-0.15,17
2208,台船,航運業,2103.1,41.0,1991.2,-5.3,31.8,20.2,45.5,❌,,-0.33,999
1326,台化,塑膠工業,30558.2,-2.3,30380.7,-0.6,31.7,31.7,10.1,✅,,1.16,12903
3550,聯穎,電子零組件業,372.8,-9.6,399.3,7.1,31.3,38.1,8.2,❌,,0.3,84
5471,松翰,半導體業,272.2,-13.8,268.2,-1.5,31.2,37.7,12.3,✅,,0.76,-2512
2401,凌陽,半導體業,688.1,-7.7,693.1,0.7,31.2,37.6,15.4,✅,,-0.08,-1997
8210,勤誠,電腦及週邊設備業,2457.0,-0.2,2854.8,16.2,31.2,41.5,4.2,❌,,-0.46,-1558
6664,群翊,電子零組件業,275.3,0.2,292.8,6.3,31.2,30.2,20.5,✅,,-0.18,68
2493,揚博,電子零組件業,402.1,1.1,401.5,-0.1,31.1,29.4,32.5,✅,,-0.6,502
3026,禾伸堂,電子零組件業,1439.8,-4.1,1625.9,12.9,30.9,33.9,12.8,✅,,-0.68,-1251
9802,鈺齊-KY,運動休閒,1694.2,-21.0,1215.5,-28.3,30.9,30.9,30.3,—,,0.03,-1634
2369,菱生,半導體業,641.9,0.0,623.9,-2.8,30.7,34.2,0.9,✅,,-0.42,-1255
6525,捷敏-KY,半導體業,609.2,-0.8,597.8,-1.9,30.5,30.5,12.2,—,,-0.08,-228
6640,均華,半導體業,467.8,-32.1,347.1,-25.8,30.3,18.7,-123.7,❌,,0.0,-20
6279,胡連,電子零組件業,974.7,-0.1,1130.6,16.0,30.3,38.2,26.6,❌,,-1.22,-810
4722,國精化,化學工業,410.5,-7.3,378.2,-7.9,30.2,26.9,33.6,✅,,-0.34,92
3374,精材,半導體業,908.9,5.6,1000.2,10.0,30.2,36.7,11.1,❌,,5.94,3446
3675,德微,半導體業,300.1,3.1,303.3,1.1,30.1,30.0,10.9,✅,,0.21,-229
2542,興富發,建材營造業,3024.3,-37.1,3908.5,29.2,30.1,16.5,-2097.7,❌,,0.12,-4768
4908,前鼎,通信網路業,97.2,-1.5,95.1,-2.1,29.9,29.7,23.8,✅,,2.89,781
6245,立端,通信網路業,802.5,-23.8,991.8,23.6,29.7,38.4,19.5,❌,,-1.81,1060
4167,松瑞藥,生技醫療業,117.2,20.2,101.0,-13.8,29.7,-0.2,19.2,❌,,-3.53,-663
6163,華電網,資訊服務業,457.6,-42.6,634.4,38.7,29.6,51.1,4.1,❌,,0.06,-138
1528,恩德,電機機械,383.3,20.5,375.8,-2.0,29.5,22.6,21.3,❌,,-0.26,-1479
1608,華榮,電器電纜,1180.4,-6.9,1206.3,2.2,29.4,17.9,9.9,❌,,-0.38,350
1710,東聯,化學工業,2389.8,6.2,2250.9,-5.8,29.4,24.0,20.0,✅,,0.37,2847
1723,中碳,化學工業,619.6,-9.3,648.1,4.6,29.2,46.2,5.3,❌,,-0.34,-1756
2897,王道銀行,金融保險業,1140.8,-0.3,876.8,-23.1,29.2,14.1,-24.1,❌,,0.37,5927
3532,台勝科,半導體業,1331.9,2.2,1350.0,1.4,29.0,28.8,13.0,✅,,-0.11,1620
2030,彰源,鋼鐵工業,1175.1,9.0,1254.2,6.7,28.8,41.2,32.1,❌,,0.34,871
2618,長榮航,航運業,22891.1,1.9,20084.5,-12.3,28.6,24.9,6.0,✅,,0.22,10306
1718,中纖,化學工業,4179.9,-14.7,3288.7,-21.3,28.6,4.4,0.2,❌,,-0.02,1555
4906,正文,通信網路業,1652.1,6.6,1705.7,3.2,28.5,32.2,55.5,✅,,-1.51,-1653
7792,安葆,其他電子業,678.7,10.0,592.7,-12.7,28.3,28.3,-0.7,—,,0.0,95
4540,全球傳動,電機機械,315.6,3.1,296.4,-6.1,28.2,35.7,2.3,❌,,-1.55,-266
2481,強茂,半導體業,1376.9,-4.9,1415.3,2.8,28.2,29.8,16.1,✅,,4.04,-15135
3707,漢磊,半導體業,659.5,1.8,682.4,3.5,28.1,29.9,1.9,✅,,0.08,-3131
6782,視陽,生技醫療業,489.7,5.2,551.7,12.7,28.0,45.9,23.2,❌,,2.55,-273
3105,穩懋,半導體業,1937.4,2.4,1998.4,3.1,28.0,30.6,-9.7,✅,,-0.73,2685
2449,京元電子,半導體業,4080.1,2.2,4177.8,2.4,27.7,31.6,-4.5,✅,,0.58,971
2483,百容,電子零組件業,188.1,-6.5,189.3,0.6,27.6,34.6,19.6,❌,,-0.36,369
1560,中砂,電機機械,899.1,1.4,890.9,-0.9,27.6,26.6,7.8,✅,,0.09,2924
2009,第一銅,鋼鐵工業,338.9,-2.0,318.5,-6.0,27.3,21.4,8.9,✅,,-0.63,-2773
2610,華航,航運業,21948.5,-1.3,20196.9,-8.0,27.2,27.2,7.2,✅,,0.07,12292
3023,信邦,電子零組件業,3280.6,3.6,3389.2,3.3,27.0,29.0,14.0,✅,,0.68,-330
6830,汎銓,其他電子業,254.1,5.5,245.8,-3.2,27.0,26.1,5.9,✅,,-1.82,167
2379,瑞昱,半導體業,12459.1,-3.4,12745.0,2.3,27.0,28.1,16.8,✅,,-0.38,1890
6257,矽格,半導體業,2068.9,2.7,2098.8,1.4,26.9,26.6,2.9,✅,,-1.56,2192
8131,福懋科,半導體業,1135.1,4.4,1158.6,2.1,26.9,29.2,-11.3,✅,,-0.58,-3327
1609,大亞,電器電纜,3388.9,16.6,3478.0,2.6,26.9,22.7,2.7,✅,,0.16,2495
2034,允強,鋼鐵工業,1270.6,-6.2,1259.6,-0.9,26.8,26.8,26.6,✅,,0.31,142
6217,中探針,電子零組件業,419.1,-0.6,440.7,5.2,26.2,27.8,5.6,✅,,-1.54,50
2324,仁寶,電腦及週邊設備業,67337.5,-16.9,87818.8,30.4,26.0,38.2,21.2,❌,,-0.82,-98465
2061,風青,電器電纜,119.4,-5.3,134.3,12.4,25.9,41.3,34.8,❌,,-0.01,-368
3704,合勤控,通信網路業,2615.7,36.5,2774.5,6.1,25.9,28.1,-3.0,✅,,-0.23,-2063
3444,利機,電子通路業,131.3,-4.3,129.1,-1.6,25.7,27.3,27.6,✅,,0.0,-106
1708,東鹼,化學工業,680.9,6.4,669.8,-1.6,25.7,24.6,6.3,✅,,0.19,-366
3034,聯詠,半導體業,10327.4,0.3,10399.5,0.7,25.6,26.3,25.2,✅,,0.02,4003
4551,智伸科,汽車工業,801.7,-2.8,839.8,4.7,25.5,30.7,10.6,✅,,-0.21,-1474
3010,華立,電子通路業,7986.1,-6.5,8004.1,0.2,25.5,23.6,-0.1,✅,,-0.07,-388
2399,映泰,電腦及週邊設備業,198.4,2.9,186.8,-5.9,25.4,10.7,-11.2,❌,,-0.77,-2152
6683,雍智科技,半導體業,233.3,1.4,232.0,-0.6,25.4,24.5,3.6,✅,,-0.09,-199
5464,霖宏,電子零組件業,94.3,-6.4,98.4,4.3,25.2,36.8,-8.8,❌,,0.6,-845
5469,瀚宇博,電子零組件業,6543.1,-0.7,6549.9,0.1,25.2,24.1,18.0,✅,,-0.18,72
3221,台嘉碩,通信網路業,226.4,-9.7,247.6,9.4,25.1,28.6,15.0,✅,,-1.23,-1534
6435,大中,半導體業,340.0,1.6,351.8,3.5,25.0,24.2,10.7,✅,,0.0,-118
2103,台橡,橡膠工業,3446.5,-5.4,3785.0,9.8,25.0,32.5,13.6,❌,,0.16,-3781
4749,新應材,半導體業,485.0,16.9,481.0,-0.8,24.9,24.6,14.2,✅,,1.14,-491
3293,鈊象,文化創意業,2268.4,1.8,2240.8,-1.2,24.8,24.8,10.1,✅,,0.83,-1572
2606,裕民,航運業,1732.3,-1.8,1785.6,3.1,24.8,26.3,-12.3,✅,,0.67,1936
3605,宏致,電子零組件業,1097.1,-4.9,1200.3,9.4,24.6,29.8,14.5,✅,,0.35,-6120
1802,台玻,玻璃陶瓷,4592.2,0.2,4615.5,0.5,24.6,28.4,12.1,✅,,0.19,5925
4123,晟德,生技醫療業,151.0,-3.6,162.1,7.4,24.5,15.3,-13.1,❌,,-0.26,-2655
2612,中航,航運業,512.9,6.7,482.5,-5.9,24.4,18.3,9.2,✅,,-0.13,1198
6757,台灣虎航,航運業,1787.7,1.0,1586.3,-11.3,24.2,27.1,0.7,✅,,-0.27,-229
2617,台航,航運業,451.2,-0.7,461.7,2.3,24.1,34.1,22.2,❌,,0.07,5150
2359,所羅門,其他電子業,275.9,-33.0,345.3,25.2,24.1,35.6,14.8,❌,,-2.11,-1222
2303,聯電,半導體業,25044.6,5.0,24699.7,-1.4,23.9,22.9,12.1,✅,,0.78,13947
6239,力成,半導體業,8557.5,3.5,8290.8,-3.1,23.7,24.4,-8.0,✅,,0.58,-2317
1711,永光,化學工業,747.0,-4.4,770.1,3.1,23.6,25.7,16.3,✅,,0.08,-106
3479,安勤,電腦及週邊設備業,961.2,0.5,1022.1,6.3,23.6,27.8,17.0,✅,,0.02,53
2340,台亞,半導體業,474.3,20.3,457.0,-3.6,23.4,16.3,25.2,❌,,0.43,-124
1909,榮成,造紙工業,4596.5,6.3,4716.0,2.6,23.3,23.2,16.2,✅,,0.09,-1545
2540,愛山林,建材營造業,1518.7,39.0,1186.7,-21.9,23.2,7.0,43.6,❌,,0.07,1340
8071,能率網通,電子零組件業,207.8,-5.6,214.2,3.1,23.0,28.6,14.3,✅,,0.61,9
1904,正隆,造紙工業,4342.9,2.1,4388.4,1.0,23.0,22.8,9.9,✅,,0.06,527
4720,德淵,化學工業,357.5,-2.3,362.2,1.3,22.9,25.1,6.7,✅,,-0.45,-23
4532,瑞智,電機機械,1495.7,-10.3,1468.8,-1.8,22.9,21.4,17.6,✅,,-0.2,19
3042,晶技,電子零組件業,1414.7,3.6,1516.9,7.2,22.8,22.9,20.3,✅,,-2.94,-3044
2489,瑞軒,光電業,2725.4,1.3,3194.1,17.2,22.8,23.6,12.4,✅,,0.87,1152
6271,同欣電,半導體業,1174.0,3.9,1194.5,1.7,22.8,22.4,21.5,✅,,0.02,-2251
2501,國建,建材營造業,1630.3,-34.3,2499.3,53.3,22.7,60.2,46.9,—,⚠️換檔(YoY將失速),-0.21,-1550
2353,宏碁,電腦及週邊設備業,30180.3,12.2,36177.5,19.9,22.5,21.9,-14.6,✅,,0.28,-22102
4526,東台,電機機械,424.3,-36.2,477.4,12.5,22.3,26.7,36.9,✅,,-1.38,-845
2454,聯發科,半導體業,64183.4,32.4,66379.1,3.4,22.2,12.2,7.2,❌,,-0.02,4834
6449,鈺邦,電子零組件業,463.5,-8.4,494.3,6.6,22.2,23.3,8.3,✅,,-1.5,-2021
6207,雷科,電子零組件業,137.9,22.1,103.2,-25.1,22.0,6.3,-8.0,❌,,-4.6,-2001
5443,均豪,半導體業,620.0,-25.9,519.0,-16.3,21.6,14.4,-10.1,❌,,-0.61,182
3066,李洲,光電業,18.5,-14.0,20.8,12.6,21.6,18.9,-3.7,✅,,-0.57,-376
3211,順達,電腦及週邊設備業,1676.8,36.5,1430.3,-14.7,21.5,20.6,2.0,✅,,-0.42,-2034
3055,蔚華科,電子通路業,47.6,14.1,73.2,54.0,21.4,108.2,88.9,—,⚠️換檔(YoY將失速),-0.57,-1982
6205,詮欣,電子零組件業,120.1,-8.5,150.2,25.1,21.4,25.0,41.6,✅,,-0.48,91
3230,錦明,光電業,42.5,2.0,41.1,-3.2,21.3,25.4,15.6,✅,,-0.16,-36
6197,佳必琪,電子零組件業,842.4,0.9,872.2,3.5,21.3,25.3,13.0,✅,,-0.31,-337
8016,矽創,半導體業,1908.0,-6.3,2008.8,5.3,21.2,26.6,-10.6,✅,,-0.25,-166
2421,建準,電子零組件業,1974.1,-6.9,2125.6,7.7,20.9,26.0,11.1,✅,,4.06,-1941
4763,材料*-KY,化學工業,1039.9,-1.8,948.8,-8.8,20.8,20.8,56.4,—,,0.79,-6667
5285,界霖,半導體業,549.9,-9.0,564.2,2.6,20.6,19.9,1.4,✅,,-0.43,-259
3413,京鼎,半導體業,2249.0,4.0,2481.7,10.3,20.5,30.1,13.3,❌,,-1.76,-544
8110,華東,半導體業,798.3,16.1,784.6,-1.7,20.3,18.5,3.5,✅,,-0.11,-712
1717,長興,化學工業,4069.8,-0.6,4122.7,1.3,20.3,20.9,8.0,✅,,2.29,-15492
4915,致伸,電子零組件業,6126.6,4.6,6527.3,6.5,20.2,20.4,7.7,✅,,-0.18,-1595
3236,千如,電子零組件業,222.7,-10.1,218.4,-1.9,20.0,19.4,6.3,✅,,-0.13,-534
6191,精成科,電子零組件業,3801.3,-3.0,3733.8,-1.8,19.7,19.0,17.2,✅,,-0.12,851
2402,毅嘉,電子零組件業,1113.3,-4.6,1176.3,5.7,19.1,21.7,8.1,✅,,-0.39,-348
9945,潤泰新,其他業,3463.5,4.3,3964.4,14.5,19.0,29.6,-29.2,❌,,-0.12,1382
6753,龍德造船,航運業,509.7,-1.8,541.8,6.3,18.8,40.1,13.2,❌,,-1.07,-405
2645,長榮航太,航運業,1848.1,7.3,1856.1,0.4,18.4,18.5,6.7,✅,,-0.57,-718
3005,神基,電腦及週邊設備業,3861.0,6.6,4013.2,3.9,18.3,18.4,10.0,✅,,0.04,570
2328,廣宇,電子零組件業,2166.0,5.7,2144.8,-1.0,18.0,16.4,32.9,✅,,0.38,431
6789,采鈺,半導體業,918.7,0.4,876.8,-4.6,17.9,18.0,11.8,✅,,-0.48,-185
4927,泰鼎-KY,電子零組件業,1378.9,16.1,1047.9,-24.0,17.9,17.9,26.0,—,,0.55,-9
2323,中環,光電業,710.0,10.1,748.6,5.4,17.9,20.1,13.7,✅,,0.08,-3134
5347,世界,半導體業,5092.6,8.2,6020.2,18.2,17.8,33.6,24.0,❌,,-0.25,14634
3031,佰鴻,光電業,118.8,-3.8,142.5,20.0,17.7,27.8,5.1,❌,,0.25,-29
3041,揚智,半導體業,173.3,-6.3,172.3,-0.6,17.5,167.5,149.3,—,⚠️換檔(YoY將失速),-0.03,-181
6226,光鼎,光電業,53.2,-11.5,63.1,18.6,17.3,21.5,22.3,✅,,-1.74,-7652
6182,合晶,半導體業,1004.5,1.0,1042.7,3.8,17.1,18.9,10.5,✅,,-2.96,-1344
2412,中華電,通信網路業,23309.5,17.2,23617.4,1.3,17.0,11.4,3.9,✅,,0.06,25706
3504,揚明光,光電業,242.7,-9.0,266.9,10.0,16.9,17.3,1.3,✅,,-1.1,-464
5309,系統電,電子零組件業,327.6,2.7,363.1,10.9,16.6,27.6,19.9,❌,,-0.46,-1125
3714,富采,光電業,2171.6,-9.1,2087.5,-3.9,16.6,19.0,14.7,✅,,0.02,-3820
6727,亞泰金屬,電子零組件業,161.8,-16.7,170.4,5.4,16.5,16.5,-34.6,✅,,-1.14,-281
3533,嘉澤,電子零組件業,3198.3,-5.1,3364.4,5.2,16.4,18.6,3.4,✅,,0.98,-692
3673,TPK-KY,光電業,6364.1,-0.5,5987.9,-5.9,16.1,16.1,10.3,—,,-0.03,-588
4764,雙鍵,化學工業,267.9,-9.0,292.3,9.1,16.0,22.7,-19.8,❌,,0.09,139
6153,嘉聯益,電子零組件業,568.3,0.5,619.4,9.0,15.9,20.6,19.4,✅,,-0.36,645
5425,台半,半導體業,1714.1,-0.9,1805.4,5.3,15.7,22.4,19.8,❌,,-3.21,-1256
6168,宏齊,光電業,221.4,7.7,213.3,-3.6,15.6,12.8,9.5,✅,,-0.51,-304
3227,原相,半導體業,815.8,-8.7,864.8,6.0,15.6,21.0,16.8,✅,,-1.12,-1790
6840,東研信超,其他電子業,84.5,-6.9,90.9,7.5,15.0,17.1,1.9,✅,,0.78,-126
2355,敬鵬,電子零組件業,1468.7,-0.3,1489.2,1.4,14.9,13.4,7.7,✅,,-0.17,506
2413,環科,電子零組件業,330.3,-7.3,323.5,-2.1,14.8,19.8,2.2,✅,,-0.36,-3225
2884,玉山金,金融保險業,9839.3,12.3,9200.4,-6.5,14.8,19.3,-5.5,✅,,0.77,18209
3019,亞光,光電業,2843.9,15.3,2906.5,2.2,14.6,14.8,-1.4,✅,,1.64,-2107
4142,國光生,生技醫療業,97.9,-68.2,186.2,90.2,14.4,28.6,-445.8,—,⚠️換檔(YoY將失速),-0.1,271
3354,律勝,電子零組件業,9.1,-26.5,10.0,10.1,14.2,31.9,-20.1,❌,,-0.7,-360
4938,和碩,電腦及週邊設備業,88304.9,2.7,131269.6,48.7,14.2,15.9,16.7,—,⚠️換檔(YoY將失速),-0.01,-9532
3013,晟銘電,電腦及週邊設備業,939.9,14.0,1168.4,24.3,14.1,26.5,-14.1,❌,,-1.0,-556
2393,億光,光電業,1862.7,-5.7,1851.3,-0.6,14.1,14.1,17.0,✅,,0.05,-989
2434,統懋,半導體業,5.4,51.8,5.4,1.7,14.0,84.3,88.2,—,⚠️換檔(YoY將失速),0.0,34
2367,燿華,電子零組件業,1459.9,-10.5,1630.2,11.7,14.0,24.9,40.1,❌,,0.09,807
5009,榮剛,鋼鐵工業,1077.0,-2.9,1060.0,-1.6,13.7,16.7,16.9,✅,,-0.15,-2513
2498,宏達電,通信網路業,246.1,37.7,343.7,39.6,13.7,-7.7,0.6,❌,,0.05,-1747
8086,宏捷科,半導體業,421.6,0.7,442.0,4.8,13.6,16.1,-31.9,✅,,-2.5,-2534
3701,大眾控,電腦及週邊設備業,820.3,-7.2,763.0,-7.0,13.5,6.7,37.0,❌,,-0.1,-405
2362,藍天,電腦及週邊設備業,2015.4,10.9,1962.4,-2.6,13.4,12.1,2.5,✅,,-0.02,-985
1312,國喬,塑膠工業,2381.3,67.4,2384.9,0.2,13.0,-0.2,-6.0,—,⚠️換檔(YoY將失速),-0.17,555
4147,中裕,生技醫療業,60.5,-5.1,66.8,10.5,12.8,19.5,-2.3,❌,,-0.16,-607
3363,上詮,通信網路業,204.5,19.7,196.8,-3.8,12.6,12.1,37.8,✅,,-1.6,-685
3356,奇偶,光電業,87.8,-15.2,98.2,11.9,12.6,24.1,13.5,❌,,0.09,-736
5904,寶雅,居家生活,2465.1,-0.3,2353.2,-4.5,12.4,10.3,-8.9,✅,,-1.16,2285
3529,力旺,半導體業,356.9,-47.2,175.8,-50.8,12.4,42.8,29.8,❌,,5.64,-384
5515,建國,建材營造業,638.0,-8.6,775.2,21.5,12.3,24.6,2.2,❌,,-0.16,-706
4904,遠傳,通信網路業,9547.0,3.2,11329.0,18.7,12.3,15.7,4.3,✅,,0.0,4165
6509,聚和,化學工業,431.8,-6.6,471.8,9.3,12.3,12.0,4.8,✅,,0.28,-322
2006,東和鋼鐵,鋼鐵工業,5234.5,0.7,5331.7,1.9,12.1,13.9,14.3,✅,,0.0,563
2405,輔信,電腦及週邊設備業,153.7,-7.0,178.4,16.0,11.8,21.9,13.5,❌,,-0.11,84
2002,中鋼,鋼鐵工業,27948.4,-6.0,27248.7,-2.5,11.7,13.0,10.8,✅,,-0.1,4781
1536,和大,汽車工業,460.1,4.6,433.4,-5.8,11.7,9.6,-2.6,✅,,-0.28,-1751
4746,台耀,生技醫療業,460.6,18.6,466.6,1.3,11.7,3.1,9.1,❌,,-2.1,436
2801,彰銀,金融保險業,4605.8,-3.8,4097.0,-11.0,11.5,9.5,-14.2,✅,,-0.29,2342
6290,良維,電子零組件業,974.8,8.0,1020.3,4.7,11.5,14.4,5.8,✅,,0.41,-2589
4976,佳凌,光電業,99.6,2.7,90.8,-8.9,11.4,9.5,8.8,✅,,0.14,-680
2820,華票,金融保險業,365.9,16.8,293.6,-19.8,11.2,-2.6,-49.0,❌,,-0.02,7730
1605,華新,電器電纜,14428.8,-8.2,16023.0,11.0,11.2,15.0,12.5,✅,,0.03,1974
3388,崇越電,電子零組件業,624.6,-14.4,680.8,9.0,11.1,19.0,-7.1,❌,,-0.14,97
1402,遠東新,紡織纖維,22832.4,-2.3,24640.2,7.9,10.9,15.2,0.8,✅,,0.07,-2594
6530,創威,通信網路業,32.2,-0.3,32.8,1.7,10.7,10.7,-7.5,✅,,0.03,-158
1504,東元,電機機械,5408.3,-2.2,5761.1,6.5,10.7,13.8,3.3,✅,,-0.29,-932
1563,巧新,汽車工業,549.8,-15.4,646.1,17.5,10.6,11.9,6.2,✅,,50.34,-613
5321,美而快,數位雲端,354.6,108.9,244.2,-31.1,10.5,-25.0,-2.9,❌,,0.67,-525
1477,聚陽,紡織纖維,3554.0,18.5,2610.4,-26.6,10.5,0.5,-8.3,❌,,-0.98,-61
2338,光罩,半導體業,494.4,-2.2,467.6,-5.4,10.4,0.1,6.7,❌,,-0.43,-2187
2031,新光鋼,鋼鐵工業,1448.4,-18.0,1451.4,0.2,10.3,18.6,18.2,❌,,-0.06,14
1210,大成,食品工業,9704.4,0.7,9634.5,-0.7,10.3,13.4,8.4,✅,,-0.08,1302
2484,希華,電子零組件業,227.5,-3.4,222.0,-2.4,10.1,7.1,7.1,✅,,-1.76,-18
3717,聯嘉投控,汽車工業,505.0,-1.6,569.4,12.7,10.0,10.0,,—,,-0.71,-1967
3515,華擎,電腦及週邊設備業,3819.3,-42.2,5625.2,47.3,9.8,47.6,64.1,❌,,0.18,-929
3163,波若威,通信網路業,205.1,-2.4,208.5,1.7,9.7,9.7,-14.0,✅,,-8.77,-1204
2069,運錩,鋼鐵工業,886.9,11.3,887.7,0.1,9.6,11.8,24.6,✅,,0.53,630
4533,協易機,電機機械,344.2,-14.9,376.4,9.4,9.6,4.9,-4.6,✅,,-0.02,-259
1513,中興電,電機機械,2502.5,3.8,2375.2,-5.1,9.4,8.3,3.5,✅,,-0.98,2728
2491,吉祥全,光電業,15.1,-7.0,15.7,3.3,9.3,7.6,6.9,✅,,1.92,-186
2834,臺企銀,金融保險業,3427.9,-5.4,3314.0,-3.3,9.3,8.8,2.9,✅,,-0.33,49868
3543,州巧,光電業,274.7,-5.6,271.2,-1.3,8.9,10.6,19.3,✅,,-0.58,-552
2313,華通,電子零組件業,7012.1,0.8,8161.5,16.4,8.9,16.0,4.9,❌,,0.54,-30513
6244,茂迪,光電業,254.0,-19.1,316.5,24.6,8.8,27.1,7.8,❌,,-0.41,-474
5392,能率,光電業,771.2,-9.5,835.0,8.3,8.6,15.1,13.1,❌,,-1.55,-1192
2105,正新,橡膠工業,8338.6,-3.0,8643.6,3.7,8.5,12.4,5.2,✅,,-0.2,-4941
8163,達方,電腦及週邊設備業,2319.5,-8.3,2429.6,4.7,8.3,11.2,-5.2,✅,,-0.21,-873
