代碼,名稱,產業,上月實際(百萬),預測(百萬),預測YoY%,近3月YoY中位,加速度pp,兩法一致,大戶週Δpp,法人5日(張)
1808,潤隆,建材營造業,3067.3,14992.4,48361.2,87447.7,19187.8,❌,0.22,-1888
4416,三圓,建材營造業,1444.3,722.1,7718.7,-8.5,-801.4,❌,-0.1,241
2548,華固,建材營造業,224.6,38834.4,4567.5,9203.5,-25406.0,❌,0.1,-2533
3535,晶彩科,光電業,73.0,59.4,1215.2,160.8,-4680.9,❌,-0.79,327
2542,興富發,建材營造業,5160.1,19912.1,1128.3,2114.2,576.5,❌,0.31,2369
8926,台汽電,油電燃氣業,6722.2,4627.6,1073.6,768.2,174.1,❌,0.35,161
6265,方土昶,電子通路業,617.1,832.1,969.7,1076.3,640.6,❌,-0.81,-3055
7777,能率亞洲,其他業,30.2,-150.3,701.4,701.4,759.2,—,-0.15,315
5289,宜鼎,電腦及週邊設備業,8208.0,8603.0,645.9,640.8,237.6,✅,-0.45,-1531
2408,南亞科,半導體業,29388.3,36442.4,580.9,717.3,130.6,❌,0.52,1343
5351,鈺創,半導體業,1902.5,2039.6,563.0,605.5,294.5,❌,-2.17,-9764
6199,天品,其他業,76.4,111.2,497.0,516.9,-70.6,✅,-0.87,156
6026,福邦證,金融保險業,242.7,453.9,461.7,461.7,350.9,—,0.34,1870
5522,遠雄,建材營造業,1992.2,6814.4,454.7,743.3,-476.7,❌,-0.03,-1113
5386,青雲,電腦及週邊設備業,1567.3,1270.8,420.6,412.8,-134.0,✅,-0.08,199
2539,櫻花建,建材營造業,1055.8,3239.6,418.9,418.9,452.5,—,-0.04,-652
6901,鑽石投資,其他業,2206.6,-474.8,407.5,407.5,320.6,—,0.01,-1185
2451,創見,半導體業,5068.2,6440.0,405.3,469.8,89.3,❌,0.66,-2314
5864,致和證,金融保險業,266.3,740.2,350.2,350.2,-1325.0,—,0.02,1234
4513,福裕,電機機械,713.6,384.3,340.8,33.5,8.0,❌,0.24,-123
3006,晶豪科,半導體業,4845.5,4987.3,334.5,328.4,198.9,✅,1.18,-4660
8299,群聯,半導體業,24852.8,23966.9,321.4,301.0,111.8,✅,0.88,153
6015,宏遠證,金融保險業,562.0,514.2,297.8,342.9,60.9,❌,-0.26,1545
2851,中再保,金融保險業,1582.7,7198.9,293.7,605.1,502.0,❌,-0.19,3398
8096,擎亞,電子通路業,8978.3,6547.6,292.4,154.5,196.4,❌,-0.48,-1585
2855,統一證,金融保險業,3222.7,5498.0,289.3,428.4,207.1,❌,0.14,4920
6177,達麗,建材營造業,2503.6,704.9,264.8,264.8,-290.1,—,0.75,129
3147,大綜,資訊服務業,1754.6,2592.8,260.1,334.5,374.4,❌,-0.44,158
4772,台特化,化學工業,300.6,308.6,251.5,241.2,-48.5,✅,0.15,68
2101,南港,橡膠工業,3414.0,2907.5,243.5,158.7,158.0,❌,0.22,-2766
8112,至上,電子通路業,61628.6,57631.0,225.0,231.2,94.3,✅,-0.07,-11457
3260,威剛,半導體業,14661.3,13847.7,225.0,210.4,29.0,✅,4.02,-5195
2891,中信金,金融保險業,19828.1,33999.6,222.4,341.3,309.8,❌,-0.01,11919
6533,晶心科,半導體業,372.2,314.6,219.7,22.9,10.6,❌,0.05,-132
2465,麗臺,電腦及週邊設備業,938.0,898.0,219.5,175.8,92.6,❌,1.32,920
2885,元大金,金融保險業,19576.4,33948.0,213.8,324.9,254.7,❌,-0.07,15519
3498,陽程,其他電子業,321.5,163.7,209.7,67.1,-48.8,❌,-0.07,146
2059,川湖,電子零組件業,4442.6,4303.1,205.9,172.1,133.2,❌,0.19,113
2887,台新新光金,金融保險業,17736.7,30747.5,205.3,329.5,110.1,❌,0.1,77671
8271,宇瞻,半導體業,2913.6,3167.7,200.7,224.4,-8.9,❌,1.82,670
2442,新美齊,建材營造業,48.9,42.8,197.8,168.4,-442.4,❌,-0.25,-3190
4973,廣穎,半導體業,861.8,897.8,192.2,187.2,107.6,✅,0.61,-19
2344,華邦電,半導體業,20596.8,19559.4,186.0,182.2,90.7,✅,0.96,-39239
2905,三商,貿易百貨業,15683.1,39246.9,184.4,352.9,347.5,❌,0.05,1217
2337,旺宏,半導體業,6956.3,7640.4,177.4,175.8,115.8,✅,0.74,10601
3135,凌航,半導體業,1610.1,1783.3,175.9,234.5,94.0,❌,-0.35,-1162
6179,亞通,其他業,1102.2,758.5,175.5,121.8,60.9,❌,0.85,1981
5475,德宏,電子零組件業,174.3,173.2,174.9,160.1,58.4,❌,-0.13,-2297
2425,承啟,電腦及週邊設備業,2408.4,2130.6,171.8,95.2,34.0,❌,0.63,137
5534,長虹,建材營造業,731.3,632.4,157.9,124.2,130.0,❌,-0.62,216
4931,新盛力,電腦及週邊設備業,394.4,433.0,150.0,145.1,109.0,✅,-5.51,-3910
6005,群益證,金融保險業,3645.8,4036.9,146.8,155.5,101.1,✅,-0.02,1424
3036,文曄,電子通路業,181749.4,229685.6,144.6,152.7,33.8,✅,-0.71,-7694
3041,揚智,半導體業,177.1,120.6,141.5,97.9,85.5,❌,0.02,94
6588,東典光電,通信網路業,33.4,35.5,141.4,155.8,9.6,❌,-1.67,-667
5314,世紀*,其他業,578.8,527.1,138.0,157.4,20.7,❌,0.97,4871
2347,聯強,電子通路業,76417.6,73111.3,131.2,129.3,90.0,✅,-0.09,-1914
2382,廣達,電腦及週邊設備業,385190.8,362516.9,128.9,102.9,41.0,❌,-0.03,14071
3443,創意,半導體業,4928.5,5094.1,128.1,132.1,72.0,✅,-1.48,121
4739,康普,化學工業,953.8,971.0,127.8,113.8,4.7,❌,0.77,-552
3081,聯亞,通信網路業,420.5,411.8,127.2,118.8,27.4,✅,0.47,1597
2383,台光電,電子零組件業,17733.0,18755.6,124.0,114.6,59.1,✅,-0.31,-598
2889,國票金,金融保險業,1660.2,2144.0,124.0,147.9,97.6,❌,-0.13,25518
3167,大量,電機機械,1041.0,1002.5,121.0,120.3,-2.7,✅,-2.87,633
2537,聯上發,建材營造業,152.2,145.8,120.4,128.5,-144.3,✅,0.08,694
2305,全友,電腦及週邊設備業,149.9,132.0,120.1,97.8,56.3,❌,1.37,206
1447,力鵬,紡織纖維,3121.9,2164.0,118.8,27.8,23.2,❌,-0.0,270
1316,上曜,建材營造業,677.6,747.1,117.0,115.5,4.3,✅,-0.08,-2592
8383,千附,半導體業,662.9,596.1,113.2,46.1,36.8,❌,-0.12,-667
3702,大聯大,電子通路業,192916.3,161338.7,110.7,82.9,54.3,❌,-0.66,-5647
6613,朋億*,其他電子業,1992.8,1647.6,109.5,81.7,74.9,❌,-0.58,-1224
2360,致茂,其他電子業,4114.1,4124.4,108.9,128.9,56.8,❌,0.2,-159
6691,洋基工程,其他電子業,4439.6,3575.6,108.0,82.3,1.9,❌,-0.36,-176
7769,鴻勁,半導體業,5301.6,5395.1,106.5,106.5,32.6,—,0.11,-657
2547,日勝生,建材營造業,1163.1,997.1,105.9,69.9,52.0,❌,0.04,-1123
6693,廣閎科,半導體業,234.3,238.5,105.5,107.0,60.8,✅,-0.04,-365
3708,上緯投控,綠能環保,158.0,135.7,103.8,61.7,123.9,❌,0.16,64
2025,千興,鋼鐵工業,85.5,76.4,103.7,112.0,-15.2,✅,0.67,227
6274,台燿,電子零組件業,4895.2,5399.4,102.4,107.7,35.4,✅,-1.81,-3714
6023,元大期,金融保險業,501.1,525.6,100.4,80.4,39.0,❌,-0.24,-19
3491,昇達科,通信網路業,256.7,251.2,98.7,84.0,26.9,❌,0.8,-215
2543,皇昌,建材營造業,1954.2,1794.1,96.8,86.1,65.7,❌,-0.05,290
6446,藥華藥,生技醫療業,2332.8,2507.5,92.6,94.9,38.2,✅,-0.04,-2002
3028,增你強,電子通路業,5981.7,6491.5,92.6,102.5,-6.0,❌,-0.39,-1289
6016,康和證,金融保險業,266.3,1111.3,92.1,231.1,79.3,❌,5.47,-965
3360,尚立,電子通路業,1177.3,1219.9,90.5,95.2,50.9,✅,-0.05,134
3290,東浦,電子零組件業,344.9,364.0,88.7,88.7,20.2,✅,-0.09,-344
8021,尖點,其他電子業,680.6,678.7,88.2,86.3,34.9,✅,0.29,-1588
3577,泓格,電腦及週邊設備業,165.4,169.1,85.4,85.4,79.9,✅,-0.21,-393
5498,凱崴,電子零組件業,208.7,206.4,85.2,80.3,32.6,✅,-0.63,456
6196,帆宣,其他電子業,7596.0,6870.0,84.0,64.9,59.5,❌,-0.05,463
1416,廣豐,其他業,48.7,46.5,81.8,61.1,29.0,❌,0.48,201
4916,事欣科,電腦及週邊設備業,501.5,412.4,81.4,80.5,59.0,✅,-0.48,-133
2406,國碩,光電業,805.1,1072.6,78.6,121.2,-38.9,❌,-0.51,-121
1795,美時,生技醫療業,3398.7,4270.4,78.1,105.8,-25.7,❌,0.12,-489
2467,志聖,電子零組件業,869.1,893.2,78.0,87.0,9.4,❌,0.13,1406
4542,科嶠,電子零組件業,132.5,101.0,77.9,57.5,25.0,❌,0.94,-620
3022,威強電,電腦及週邊設備業,962.7,1032.5,77.9,80.0,93.2,✅,-0.21,-889
3209,全科,電子通路業,5608.3,7903.1,77.1,83.8,66.6,✅,-1.03,-5989
6531,愛普*,半導體業,811.2,795.9,76.3,89.3,-23.3,❌,0.14,817
3693,營邦,電腦及週邊設備業,1160.3,867.1,76.2,24.8,63.3,❌,-0.45,1308
2485,兆赫,通信網路業,274.7,234.8,75.8,38.3,-124.4,❌,0.11,501
2890,永豐金,金融保險業,9682.9,11476.5,74.4,82.7,32.0,✅,-0.36,37792
4967,十銓,半導體業,3018.0,2233.7,74.4,78.6,-2.9,✅,0.9,1278
1714,和桐,化學工業,3075.0,3256.1,73.4,73.4,30.5,✅,-0.25,7558
2867,三商壽,金融保險業,6659.5,19613.1,73.2,187.2,199.5,❌,,25402
2363,矽統,半導體業,466.6,405.8,72.6,87.2,-84.4,❌,-0.61,-1447
2368,金像電,電子零組件業,8255.2,9633.2,70.6,78.2,15.1,✅,-0.19,-311
6589,台康生技,生技醫療業,113.3,126.9,70.1,56.3,-44.3,❌,-0.17,-198
3450,聯鈞,半導體業,1138.6,1040.3,69.0,49.9,75.5,❌,-1.68,5105
2241,艾姆勒,汽車工業,96.4,95.1,68.8,65.6,38.5,✅,-0.12,224
6426,統新,通信網路業,70.7,86.5,68.6,76.5,6.4,✅,0.54,514
3305,昇貿,其他電子業,1445.5,1491.6,68.0,71.4,9.0,✅,-0.11,-1128
8210,勤誠,電腦及週邊設備業,3237.7,2917.3,67.7,37.3,-12.3,❌,-0.34,327
3229,晟鈦,電子零組件業,137.3,137.1,67.6,59.8,-9.6,✅,-1.66,-391
7751,竑騰,半導體業,246.9,268.0,67.2,67.2,-6.7,—,0.0,35
6209,今國光,光電業,432.6,452.3,66.6,70.7,15.3,✅,-0.78,-685
2520,冠德,建材營造業,3398.5,3064.2,66.2,52.3,44.1,❌,0.17,-1083
9958,世紀鋼,鋼鐵工業,2138.7,1678.4,66.1,32.1,8.4,❌,-2.3,-1417
3324,雙鴻,其他電子業,2718.0,2886.8,66.1,62.1,-29.6,✅,2.91,7414
3706,神達,電腦及週邊設備業,15682.7,14152.1,65.1,49.3,15.0,❌,0.09,13957
3046,建碁,電腦及週邊設備業,972.1,1033.3,64.8,53.6,51.7,❌,-0.15,-520
2359,所羅門,其他電子業,580.3,496.5,64.5,35.6,74.0,❌,-2.84,-4332
2345,智邦,通信網路業,39554.5,37820.0,64.5,56.6,-15.3,✅,-0.38,-2237
8027,鈦昇,電機機械,246.9,191.3,64.2,58.5,15.1,✅,-0.02,-265
6770,力積電,半導體業,6473.9,6405.4,63.8,58.9,32.6,✅,0.12,22130
6834,天二科技,電子零組件業,214.4,211.5,63.8,58.7,35.3,✅,-0.52,-1454
3709,鑫聯大投控,電腦及週邊設備業,7614.8,5279.5,63.3,9.1,-14.2,❌,-0.36,-411
2881,富邦金,金融保險業,22157.8,51607.3,63.2,155.0,86.0,❌,0.17,-2892
6223,旺矽,半導體業,1832.9,1763.2,62.6,57.8,19.2,✅,-0.56,-1641
4577,達航科技,其他電子業,96.5,98.1,62.4,62.6,-17.3,✅,0.13,-110
5488,松普,電子零組件業,84.0,103.6,62.1,79.3,59.2,❌,0.08,-39
4989,榮科,電子零組件業,370.2,267.0,61.6,33.9,-44.8,❌,0.04,-2212
6259,百徽,電子零組件業,73.7,62.6,61.6,40.5,3.4,❌,0.0,197
6214,精誠,資訊服務業,6740.2,5807.5,61.3,45.8,14.3,❌,1.58,174
2388,威盛,半導體業,1248.0,1275.6,60.9,84.8,88.5,❌,-0.27,-646
5490,同亨,電腦及週邊設備業,179.6,144.9,60.7,32.9,21.6,❌,-1.03,-703
3017,奇鋐,電腦及週邊設備業,17618.1,18872.8,59.8,66.1,-45.6,✅,-0.03,1296
6285,啟碁,通信網路業,15869.6,14219.9,59.6,34.8,31.0,❌,0.14,975
2611,志信,航運業,86.1,84.8,59.5,56.4,19.7,✅,-1.21,259
6152,百一,通信網路業,185.4,187.9,59.2,78.6,100.6,❌,0.12,-45
2404,漢唐,其他電子業,8743.4,9621.7,58.4,85.0,16.1,❌,0.07,-571
8227,巨有科技,半導體業,159.1,240.1,58.3,88.4,6.5,❌,0.0,-162
5388,中磊,通信網路業,7270.8,8298.4,57.3,70.0,37.0,❌,-1.58,-3712
6187,萬潤,半導體業,1012.4,951.7,56.5,43.8,28.1,❌,0.13,331
4949,有成精密,光電業,333.8,286.8,56.3,43.9,5.8,❌,0.04,669
3048,益登,電子通路業,12572.7,13840.4,55.7,60.1,46.6,✅,-0.06,-1489
2364,倫飛,電腦及週邊設備業,182.6,195.0,55.7,51.4,64.8,✅,-0.19,-824
2376,技嘉,電腦及週邊設備業,42892.5,42795.3,54.6,68.5,11.5,❌,-0.42,382
6213,聯茂,電子零組件業,4213.7,3728.4,54.6,29.3,15.5,❌,0.17,-3437
2476,鉅祥,電子零組件業,915.0,970.5,54.4,48.7,10.9,✅,0.57,918
2882,國泰金,金融保險業,32306.4,56928.2,54.3,130.6,129.3,❌,0.1,16109
6716,應廣,半導體業,151.0,129.1,53.9,41.0,-5.6,❌,-0.84,-52
3231,緯創,電腦及週邊設備業,321822.0,294958.2,53.8,53.8,-97.7,✅,-0.68,-12299
8422,可寧衛*,綠能環保,608.5,550.4,53.6,50.3,80.5,✅,0.15,3304
2356,英業達,電腦及週邊設備業,102262.4,83403.6,53.3,36.5,1.7,❌,0.1,6474
3689,湧德,電子零組件業,768.5,782.8,53.2,44.3,13.3,❌,0.61,491
3003,健和興,電子零組件業,599.4,521.9,53.1,36.1,10.5,❌,0.39,1151
6218,豪勉,通信網路業,205.0,117.3,52.9,14.6,-9.9,❌,0.05,1399
8050,廣積,電腦及週邊設備業,955.8,702.0,52.8,4.0,17.6,❌,-0.37,48
8043,蜜望實,電子零組件業,622.3,712.1,52.4,48.4,12.4,✅,0.31,-236
6416,瑞祺電通,通信網路業,667.9,392.3,50.8,16.5,23.4,❌,-0.4,118
2357,華碩,電腦及週邊設備業,106723.0,82675.5,50.7,45.7,11.9,✅,0.07,4817
1785,光洋科,其他電子業,4607.7,5380.6,49.8,70.8,3.1,❌,-0.19,-763
6139,亞翔,其他電子業,8485.2,10072.8,49.6,70.6,-10.8,❌,0.29,-2051
2434,統懋,半導體業,7.5,6.4,48.9,-1.2,2.7,❌,0.0,270
2308,台達電,電子零組件業,65602.6,67492.6,48.7,43.9,11.0,✅,-0.01,1803
2395,研華,電腦及週邊設備業,10123.0,8922.9,48.5,34.6,12.9,❌,-0.14,1573
6156,松上,電子零組件業,616.3,607.0,48.2,34.5,32.9,❌,0.26,52
6584,南俊國際,電子零組件業,286.4,312.5,48.1,40.6,-12.1,❌,0.0,298
4576,大銀微系統,電機機械,344.1,339.1,48.0,48.0,-1.5,✅,0.15,1600
3653,健策,電子零組件業,2649.9,2485.1,47.7,37.7,18.9,❌,-0.32,-124
4714,永捷,化學工業,141.5,192.2,47.5,80.9,-17.5,❌,-0.11,-1496
1597,直得,電機機械,131.8,135.9,47.0,51.4,12.8,✅,0.86,-1717
3357,臺慶科,電子零組件業,764.5,786.3,46.6,37.8,25.7,❌,-0.08,-825
3033,威健,電子通路業,14527.8,11817.4,46.5,27.8,15.2,❌,-0.9,-6508
6291,沛亨,半導體業,243.3,256.5,46.5,42.1,-1.3,✅,0.0,-217
9945,潤泰新,其他業,4541.5,4751.0,45.9,58.8,36.8,❌,-0.05,-9878
3715,定穎投控,電子零組件業,2289.8,2170.6,45.5,45.5,22.4,—,0.4,-1401
6155,鈞寶,電子零組件業,74.2,76.6,45.5,43.3,36.8,✅,0.06,-313
4952,凌通,半導體業,285.8,246.6,45.0,20.4,10.3,❌,0.09,725
5464,霖宏,電子零組件業,100.4,105.9,44.4,42.5,27.0,✅,-0.49,-408
5328,華容,電子零組件業,104.0,100.9,44.3,23.1,14.8,❌,0.27,-481
6217,中探針,電子零組件業,429.1,476.1,44.3,43.9,1.0,✅,0.48,575
1815,富喬,電子零組件業,689.0,732.3,44.1,49.9,16.9,✅,8.17,65279
2317,鴻海,其他電子業,821762.9,884419.3,44.1,39.6,4.0,✅,-0.1,27915
6141,柏承,電子零組件業,221.2,204.5,44.0,32.1,22.7,❌,-2.77,1627
3704,合勤控,通信網路業,3463.5,3120.0,43.7,43.4,61.0,✅,-0.42,-2125
2327,國巨*,電子零組件業,15359.0,15289.4,43.6,38.9,16.1,✅,-0.5,-21823
6414,樺漢,電腦及週邊設備業,17661.3,15178.2,43.5,35.3,32.0,❌,-0.73,-815
7788,松川精密,電子零組件業,828.3,707.9,43.1,43.1,29.5,—,0.85,596
2464,盟立,其他電子業,812.6,761.0,42.9,30.8,23.0,❌,5.13,-7030
6166,凌華,電腦及週邊設備業,1508.3,1471.0,42.5,63.2,34.4,❌,-0.52,-979
8358,金居,電子零組件業,962.3,927.2,42.4,41.4,-4.5,✅,3.35,3454
3094,聯傑,半導體業,24.4,23.5,42.4,21.8,32.1,❌,0.78,779
3044,健鼎,電子零組件業,8002.1,8907.4,42.0,42.0,17.6,✅,-0.21,1096
1517,利奇,電機機械,189.4,204.2,42.0,19.8,43.0,❌,-0.3,-147
2302,麗正,半導體業,99.7,95.7,41.8,26.9,21.9,❌,0.53,1019
2221,大甲,其他業,149.1,142.9,41.6,19.2,-1.4,❌,3.33,508
8131,福懋科,半導體業,1106.3,1195.7,41.6,49.6,15.9,❌,0.0,475
2351,順德,半導體業,1213.7,1167.7,41.4,36.8,23.6,✅,3.71,7017
2606,裕民,航運業,1714.9,1975.0,41.4,38.7,22.4,✅,1.68,3088
2374,佳能,光電業,1048.8,996.2,41.0,27.8,-64.4,❌,-0.14,1004
6753,龍德造船,航運業,514.2,514.1,40.9,33.4,16.8,❌,-0.81,-1083
2646,星宇航空,航運業,5286.7,5648.9,40.8,40.8,7.7,—,0.05,-2747
4908,前鼎,通信網路業,91.2,91.6,40.8,29.7,16.4,❌,-0.08,-2334
8016,矽創,半導體業,1997.2,2130.2,40.7,37.2,10.4,✅,-0.59,-23
5291,邑昇,電子零組件業,122.6,126.6,40.5,40.5,6.2,✅,0.67,1477
2324,仁寶,電腦及週邊設備業,95853.6,82219.2,40.3,22.3,15.0,❌,-0.42,-26911
8042,金山電,電子零組件業,438.0,436.4,40.2,33.4,10.4,✅,0.88,-320
4541,晟田,其他業,199.4,195.9,40.2,44.7,-39.1,✅,0.1,-1021
3374,精材,半導體業,764.0,920.4,40.0,43.3,27.6,✅,2.63,23603
6829,千附精密,半導體業,216.8,229.0,39.9,37.2,20.6,✅,-0.19,724
4534,慶騰,電機機械,105.6,114.2,39.7,36.5,17.8,✅,-0.86,-436
3013,晟銘電,電腦及週邊設備業,887.5,871.7,39.7,26.5,-14.3,❌,0.48,-175
8046,南電,電子零組件業,4684.3,5055.0,39.6,39.5,0.4,✅,0.0,-2442
6206,飛捷,電腦及週邊設備業,610.0,573.8,39.5,44.5,35.1,✅,-0.27,370
3594,磐儀,電腦及週邊設備業,264.3,237.0,39.4,50.4,28.7,❌,-0.52,-494
2495,普安,電腦及週邊設備業,131.7,127.1,39.4,40.3,2.6,✅,0.35,622
6579,研揚,電腦及週邊設備業,1089.1,990.5,38.9,47.1,26.0,❌,-0.35,-537
6282,康舒,電子零組件業,3423.0,3178.9,38.8,28.3,10.2,❌,0.38,-691
3088,艾訊,電腦及週邊設備業,804.9,783.2,38.4,49.0,18.5,❌,0.02,-512
3016,嘉晶,半導體業,448.2,440.2,38.3,37.3,18.5,✅,-0.23,556
2880,華南金,金融保險業,7496.8,10294.0,38.2,59.6,33.8,❌,0.1,31679
3680,家登,半導體業,752.1,699.7,37.9,37.9,13.1,✅,0.42,1595
5347,世界,半導體業,5976.5,4978.4,37.8,19.5,12.2,❌,-0.21,705
3037,欣興,電子零組件業,14897.0,15590.5,37.8,32.4,9.1,✅,0.15,12128
2330,台積電,半導體業,442680.0,445246.7,37.8,30.1,-6.7,❌,0.04,10384
2103,台橡,橡膠工業,3913.3,3787.9,37.8,33.0,28.8,✅,0.33,3330
7780,大研生醫*,食品工業,241.8,205.6,37.7,37.7,-3.2,—,0.02,612
8155,博智,電子零組件業,538.8,504.6,37.7,29.6,-3.3,❌,-0.57,-692
2428,興勤,電子零組件業,973.4,907.7,37.6,29.7,18.5,❌,-1.54,-1788
2211,長榮鋼,鋼鐵工業,1636.5,1447.1,37.5,25.0,47.3,❌,-0.02,-300
6197,佳必琪,電子零組件業,895.0,994.8,37.4,41.8,21.5,✅,-0.62,46
3550,聯穎,電子零組件業,370.3,409.6,37.3,36.6,6.7,✅,1.06,183
2027,大成鋼,鋼鐵工業,11907.8,11841.9,37.1,42.5,22.6,✅,-0.04,359
8374,羅昇,電機機械,500.8,506.6,37.0,42.5,7.9,✅,-0.79,0
3162,精確,電機機械,897.7,829.8,36.9,21.9,0.5,❌,-0.22,-1332
4114,健喬,生技醫療業,750.9,677.9,36.8,13.5,-3.8,❌,-0.3,-180
5607,遠雄港,航運業,473.5,509.8,36.7,37.0,-1.8,✅,0.05,-496
2820,華票,金融保險業,353.3,446.2,36.4,46.4,0.0,❌,-0.04,449
2838,聯邦銀,金融保險業,1869.2,2381.3,36.3,61.1,50.1,❌,0.04,-1596
2369,菱生,半導體業,631.1,651.7,36.3,36.5,3.1,✅,-0.03,689
3264,欣銓,半導體業,1552.0,1575.9,35.8,33.0,10.5,✅,-0.05,4364
3090,日電貿,電子零組件業,1681.0,1706.1,35.7,28.1,15.1,❌,-1.03,-3275
2617,台航,航運業,447.7,459.7,35.6,33.3,27.0,✅,0.48,-292
6913,鴻呈,電子零組件業,308.1,301.1,35.3,35.3,21.6,—,1.27,52
6279,胡連,電子零組件業,976.7,953.6,35.0,28.9,42.9,✅,-0.64,-260
3234,光環,通信網路業,76.7,65.9,35.0,13.3,22.5,❌,2.3,1274
2401,凌陽,半導體業,734.1,731.3,34.9,28.7,6.5,✅,-0.27,-197
8150,南茂,半導體業,2538.3,2641.5,34.4,32.2,9.1,✅,0.14,17502
6190,萬泰科,通信網路業,985.5,985.5,34.3,30.1,18.3,✅,0.78,3305
6548,長科*,半導體業,1501.4,1541.3,34.2,36.6,22.9,✅,0.04,759
8028,昇陽半導體,半導體業,482.8,505.6,34.1,33.6,15.0,✅,-1.26,-93
8103,瀚荃,電子零組件業,375.6,393.7,33.7,22.4,-3.4,❌,4.85,3475
3105,穩懋,半導體業,1767.7,1926.7,33.6,40.3,14.4,❌,4.1,18786
6174,安碁,電子零組件業,65.2,71.6,33.6,26.9,6.8,❌,-0.15,-35
2486,一詮,光電業,701.0,691.8,33.3,31.4,11.9,✅,-0.26,1190
2511,太子,建材營造業,1179.7,1045.8,33.2,2.0,-2.9,❌,0.04,-495
2301,光寶科,電腦及週邊設備業,18655.6,18374.2,33.0,29.6,12.2,✅,0.58,-3073
1303,南亞,塑膠工業,27134.6,28084.1,32.8,31.4,19.6,✅,0.57,50233
8996,高力,電機機械,724.8,776.7,32.7,40.0,-165.7,❌,-2.23,-3684
4939,亞電,電子零組件業,151.2,163.2,32.7,21.2,23.1,❌,7.47,6022
1617,榮星,電器電纜,376.2,396.6,32.6,37.9,-3.7,✅,0.06,141
6163,華電網,資訊服務業,473.5,697.6,32.3,47.0,-22.4,❌,0.34,473
5471,松翰,半導體業,315.8,303.0,32.2,27.3,3.3,✅,-0.05,837
2636,台驊控股,航運業,2586.5,2281.9,32.1,10.7,24.7,❌,-0.05,-580
2030,彰源,鋼鐵工業,986.9,1007.8,32.0,33.9,37.0,✅,1.43,1863
2397,友通,電腦及週邊設備業,1284.7,1120.9,32.0,31.4,10.2,✅,-0.01,-230
2014,中鴻,鋼鐵工業,1830.2,1407.8,31.9,4.3,28.7,❌,0.09,-357
3060,銘異,電腦及週邊設備業,426.6,372.7,31.8,27.8,31.8,✅,0.15,-586
2108,南帝,橡膠工業,1056.3,1020.5,31.8,31.8,13.5,✅,0.31,625
2449,京元電子,半導體業,3621.7,3840.3,31.6,34.5,-6.5,✅,0.25,8881
8074,鉅橡,電子零組件業,144.7,143.8,31.4,23.1,-5.2,❌,-0.53,82
8071,能率網通,電子零組件業,202.5,207.4,31.2,24.6,21.1,❌,0.17,268
2472,立隆電,電子零組件業,1276.4,1279.2,31.2,29.9,20.6,✅,0.25,-2580
3413,京鼎,半導體業,2457.2,2179.8,31.1,16.7,5.0,❌,-0.21,-1835
6108,競國,電子零組件業,437.7,525.7,31.0,41.9,40.9,❌,0.39,1972
4540,全球傳動,電機機械,332.8,295.1,30.8,30.8,-44.2,✅,1.23,116
3711,日月光投控,半導體業,65783.1,67370.9,30.7,28.6,12.7,✅,-0.05,-3718
2413,環科,電子零組件業,332.0,388.5,30.6,33.5,21.4,✅,-0.17,212
2478,大毅,電子零組件業,624.1,585.2,30.6,16.5,2.9,❌,-0.51,-1512
6173,信昌電,電子零組件業,503.9,473.6,30.4,25.6,12.9,✅,-1.18,2207
3441,聯一光,光電業,41.4,59.8,30.4,46.2,10.1,❌,1.42,543
8121,越峰,電子零組件業,298.6,308.7,30.2,33.0,14.4,✅,-0.04,-79
2316,楠梓電,電子零組件業,320.6,380.7,30.1,39.1,22.6,❌,-0.22,708
6125,廣運,電機機械,362.7,455.6,29.7,56.8,31.8,❌,-0.26,-732
2436,偉詮電,半導體業,372.1,365.8,29.5,26.1,0.3,✅,-1.58,-2301
2607,榮運,航運業,1846.6,1863.4,29.4,25.4,40.5,✅,0.05,147
6175,立敦,電子零組件業,485.6,436.7,29.4,25.0,27.7,✅,-0.01,-484
5340,建榮,電子零組件業,248.4,239.2,29.3,25.3,6.8,✅,0.75,670
6472,保瑞,生技醫療業,2297.9,2325.3,29.3,39.2,62.4,❌,-0.18,-1129
3189,景碩,半導體業,4224.1,4325.8,29.2,32.3,7.2,✅,0.49,2573
2816,旺旺保,金融保險業,1341.2,1357.1,29.1,22.2,3.0,❌,0.77,290
2441,超豐,半導體業,1874.5,1820.8,29.1,20.9,1.9,❌,-0.4,1182
2605,新興,航運業,486.4,453.3,29.0,15.7,-19.0,❌,-1.32,-1871
8070,長華*,電子通路業,2107.1,2153.9,29.0,28.1,6.5,✅,0.2,1185
2049,上銀,電機機械,2554.1,2579.6,28.8,28.2,15.0,✅,-0.42,8
3624,光頡,電子零組件業,322.1,315.9,28.7,28.7,0.3,✅,0.82,-2596
8415,大國鋼,鋼鐵工業,2632.3,2507.9,28.6,20.7,8.5,❌,0.02,-400
2897,王道銀行,金融保險業,1188.6,1252.7,28.4,29.4,-8.8,✅,0.18,16734
5443,均豪,半導體業,466.3,404.7,28.4,-10.1,-28.1,❌,0.44,-576
2603,長榮,航運業,39141.3,43159.9,28.4,30.0,50.7,✅,0.35,7251
1522,堤維西,汽車工業,2320.8,2859.0,28.3,53.3,16.3,❌,0.44,599
