代碼,名稱,產業,上月實際(百萬),預測(百萬),預測YoY%,近3月YoY中位,加速度pp,兩法一致,大戶週Δpp,法人5日(張)
1907,永豐餘,造紙工業,6602.2,6593.1,9.7,8.2,3.1,✅,0.06,-546
6127,九豪,電子零組件業,96.8,85.1,9.6,6.1,8.8,✅,0.91,-664
3056,富華新,建材營造業,81.9,62.9,9.6,2.4,59.6,❌,0.05,144
2399,映泰,電腦及週邊設備業,158.7,190.3,9.3,21.9,39.9,❌,0.51,3315
8215,明基材,光電業,1639.1,1627.9,9.0,13.0,16.2,✅,0.05,252
2458,義隆,半導體業,1059.3,1103.3,9.0,6.3,4.0,✅,-1.13,-1237
1307,三芳,塑膠工業,852.9,1046.8,9.0,9.1,10.2,✅,0.1,488
5009,榮剛,鋼鐵工業,1119.7,1036.1,8.9,2.8,7.6,❌,0.11,-414
2412,中華電,通信網路業,21342.4,20864.9,8.8,7.6,0.0,✅,-0.02,-4312
1477,聚陽,紡織纖維,2851.1,3023.7,8.7,8.8,18.2,✅,-1.02,-930
3230,錦明,光電業,32.7,36.0,8.6,11.6,36.4,✅,1.34,-132
4510,高鋒,電機機械,160.3,142.9,8.6,2.6,-36.0,❌,-0.28,-533
5512,力麒,建材營造業,462.4,435.2,8.5,-1.3,-5.3,❌,-0.07,186
6116,彩晶,光電業,1075.1,977.2,8.5,2.8,-7.2,❌,1.17,5616
6168,宏齊,光電業,204.0,197.6,8.4,6.7,-2.1,✅,1.37,3036
3543,州巧,光電業,268.8,285.5,8.3,2.8,11.6,❌,3.16,4093
6530,創威,通信網路業,31.6,29.3,8.3,18.1,2.8,❌,0.06,-192
6121,新普,電腦及週邊設備業,7052.2,6851.1,8.3,4.4,1.3,✅,0.25,18
2365,昆盈,電腦及週邊設備業,79.4,98.8,8.3,19.6,18.7,❌,0.28,-24
2454,聯發科,半導體業,58011.8,46726.7,8.1,2.8,10.9,✅,0.0,623
2355,敬鵬,電子零組件業,1365.8,1373.1,8.1,4.4,-1.3,✅,0.69,1566
1503,士電,電機機械,3108.9,2781.0,7.7,8.3,2.8,✅,0.4,773
2233,宇隆,汽車工業,284.7,303.7,7.6,7.6,10.7,✅,-1.74,-119
8182,加高,電子零組件業,248.8,250.9,7.6,5.6,7.8,✅,-0.16,155
2912,統一超,貿易百貨業,30618.9,31908.0,7.5,5.3,0.3,✅,0.38,-1547
6488,環球晶,半導體業,5624.4,4469.7,7.4,-3.3,11.0,❌,-0.87,-4432
2420,新巨,電子零組件業,210.7,215.3,7.3,5.5,2.3,✅,-0.49,248
3236,千如,電子零組件業,187.5,196.1,7.3,11.9,-1.2,✅,-0.91,-1135
2002,中鋼,鋼鐵工業,27994.1,26139.2,7.2,2.2,4.5,✅,0.08,-15435
6104,創惟,半導體業,357.9,346.5,7.2,1.7,5.5,❌,1.03,1427
2006,東和鋼鐵,鋼鐵工業,5474.1,4886.8,7.1,4.6,5.0,✅,-0.32,264
1708,東鹼,化學工業,519.4,549.7,7.1,18.4,13.0,❌,-0.39,1823
3537,堡達,電子零組件業,290.1,300.0,6.9,3.5,3.3,✅,0.02,-123
6191,精成科,電子零組件業,3447.0,3520.9,6.9,1.8,-76.5,✅,0.05,1150
3444,利機,電子通路業,117.5,108.0,6.9,-0.3,-9.3,❌,0.1,-40
2491,吉祥全,光電業,14.9,16.3,6.8,6.0,18.9,✅,2.18,3303
5521,工信,建材營造業,862.1,825.2,6.8,-0.7,0.0,❌,0.32,-1433
8114,振樺電,電腦及週邊設備業,1990.7,1485.3,6.7,-17.1,20.2,❌,-0.08,-55
3504,揚明光,光電業,245.8,226.1,6.7,2.2,-10.8,✅,2.39,1464
2634,漢翔,航運業,2843.9,2840.7,6.6,12.2,19.3,❌,-2.57,-22973
2371,大同,電機機械,5292.6,4565.4,6.6,-3.5,-11.5,❌,0.52,6165
3008,大立光,光電業,3712.0,5770.7,6.6,24.5,13.7,❌,0.56,447
3596,智易,通信網路業,4737.6,4795.8,6.6,4.0,2.3,✅,-1.06,-2931
6278,台表科,光電業,4376.7,4434.6,6.6,3.9,6.5,✅,2.05,1313
3576,聯合再生,光電業,208.2,190.0,6.6,2.2,47.6,✅,-0.04,7159
5392,能率,光電業,778.8,778.9,6.5,3.9,2.2,✅,1.9,943
1504,東元,電機機械,5277.2,5172.5,6.5,10.6,7.3,✅,0.13,8096
1515,力山,電機機械,424.5,441.9,6.4,6.4,-14.0,✅,-0.58,-1155
9938,百和,其他業,1256.3,1355.6,6.4,4.4,12.3,✅,0.12,-1009
2331,精英,電腦及週邊設備業,2269.3,1908.4,6.3,13.0,-21.0,❌,0.01,352
8163,達方,電腦及週邊設備業,2344.7,2315.0,6.3,9.5,-2.0,✅,-0.07,271
6290,良維,電子零組件業,848.2,838.3,6.3,3.7,-10.8,✅,0.99,-1251
2409,友達,光電業,24952.5,22222.6,6.2,-1.4,-2.0,❌,-0.16,37528
8454,富邦媒,數位雲端,9824.8,8630.3,6.2,4.1,2.2,✅,-0.13,-83
2613,中櫃,航運業,311.8,308.2,6.0,6.0,1.2,✅,-0.23,-321
1216,統一,食品工業,58301.1,60406.4,5.8,2.7,0.1,✅,0.01,8510
3591,艾笛森,光電業,241.9,221.9,5.8,5.2,7.3,✅,0.59,627
6227,茂綸,電子通路業,1992.1,2428.0,5.8,18.3,-49.2,❌,-0.29,-1217
3059,華晶科,光電業,795.4,800.7,5.7,3.0,-7.8,✅,0.03,-622
4128,中天,生技醫療業,161.1,165.3,5.6,4.1,-4.6,✅,-0.14,255
2641,正德,航運業,183.9,193.5,5.6,4.7,-11.4,✅,-0.37,-167
3149,正達,光電業,202.5,181.8,5.5,-6.7,-59.5,❌,0.03,60
1319,東陽,汽車工業,1806.3,1751.1,5.5,2.5,22.4,✅,-0.03,1893
2328,廣宇,電子零組件業,1959.0,1855.4,5.3,-0.7,27.7,❌,0.26,3776
3045,台灣大,通信網路業,17322.4,15895.3,5.3,3.9,-0.3,✅,0.24,13182
1215,卜蜂,食品工業,2419.8,2491.0,5.0,1.6,-5.9,✅,-0.69,-104
5876,上海商銀,金融保險業,5306.8,4580.4,5.0,-4.4,-5.0,❌,-0.03,4458
3645,達邁,電子零組件業,217.7,218.7,4.9,2.7,11.2,✅,-0.9,-6479
6224,聚鼎,電子零組件業,246.5,232.0,4.9,-4.8,-6.7,❌,1.91,290
1313,聯成,塑膠工業,5262.7,5376.6,4.8,4.7,-5.9,✅,0.13,4575
3030,德律,其他電子業,763.6,780.6,4.4,14.7,-10.2,❌,0.22,265
2342,茂矽,半導體業,176.3,171.5,3.9,-3.5,7.3,❌,-0.08,2181
9925,新保,其他業,704.2,697.9,3.6,3.3,-4.3,✅,-0.33,-2740
2367,燿華,電子零組件業,1375.3,1350.3,3.4,-4.1,11.1,❌,-0.06,-10
1618,合機,電器電纜,323.8,241.6,3.4,-37.7,-3.0,❌,0.69,627
4722,國精化,化學工業,362.6,360.0,3.4,3.2,14.0,✅,0.33,447
4919,新唐,半導體業,2711.2,2455.3,3.3,1.6,7.6,✅,0.0,1027
6443,元晶,光電業,80.0,70.9,3.3,-15.6,27.7,❌,-0.22,579
1718,中纖,化學工業,4113.7,4551.4,3.2,4.2,4.3,✅,0.41,-553
2633,台灣高鐵,航運業,4412.1,4523.6,3.1,3.5,-1.0,✅,0.09,-229
2329,華泰,半導體業,1822.2,1812.1,3.1,3.7,-8.5,✅,0.21,1499
2461,光群雷,其他電子業,448.9,491.9,3.0,3.1,9.2,✅,0.43,436
4533,協易機,電機機械,316.2,381.4,3.0,6.7,34.5,✅,0.07,-245
