訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核
BUY,大跌中融資逆勢買,4127.TWO,73.1,-4.69,71.8,1.8,1.66,0.6,大跌中融資逆勢加碼,2026-07-23,✅
BUY,大跌中融資逆勢買,2484.TW,69.4,-3.74,68.5,1.3,1.51,0.4,大跌中融資逆勢加碼,2026-07-23,✅
BUY,大跌中融資逆勢買,1718.TW,11.4,-8.1,11.1,1.8,1.49,1.1,大跌中融資逆勢加碼,2026-07-23,✅
BUY,A+B+C 籌碼趨勢（M哥完整版）,4534.TWO,40.1,-0.12,34.3,14.3,1.45,1.5,量大突破+站穩,2026-07-23,✅
BUY,大跌中融資逆勢買,3149.TW,68.5,-5.91,67.0,2.2,1.39,1.0,大跌中融資逆勢加碼,2026-07-23,❌融資未增(近5筆-270張)
BUY,吊燈出場（Chandelier Exit）,6579.TW,183.5,9.88,155.1,15.5,1.37,2.8,多頭｜停利 155.1,2026-07-23,✅
BUY,Stage 2 突破（變盤三部曲）,6579.TW,183.5,9.88,169.3,7.7,1.37,2.8,stage2,2026-07-23,✅
BUY,大跌中融資逆勢買,6226.TW,18.0,-5.76,17.6,2.2,1.26,1.2,大跌中融資逆勢加碼,2026-07-23,✅
BUY,大跌後外資買進（隔日跟單）,1467.TW,10.3,3.0,9.4,8.9,1.23,1.5,大跌後外資買進（隔日跟單）,2026-07-23,✅
BUY,波段回檔再進場（第二買點）,8476.TW,24.5,5.59,21.5,12.4,1.21,1.2,波段回檔再進場（第二買點）,2026-07-23,✅
BUY,波段回檔再進場（第二買點）,3191.TWO,18.6,3.04,18.2,2.5,1.2,1.6,波段回檔再進場（第二買點）,2026-07-23,✅
BUY,大跌後外資買進（隔日跟單）,8033.TW,190.5,-3.05,158.7,16.7,1.16,1.0,大跌後外資買進（隔日跟單）,2026-07-23,✅
BUY,大跌中融資逆勢買,3360.TWO,18.0,-4.77,17.3,3.6,1.16,0.4,大跌中融資逆勢加碼,2026-07-23,❌融資未增(近5筆-663張)
BUY,大跌中融資逆勢買,2634.TW,61.9,-3.88,60.2,2.7,1.15,1.2,大跌中融資逆勢加碼,2026-07-23,✅
BUY,吊燈出場（Chandelier Exit）,3523.TWO,16.9,9.74,18.8,11.4,1.12,1.2,多頭｜停利 18.8,2026-07-23,✅
BUY,Stage 2 突破（變盤三部曲）,3523.TWO,16.9,9.74,15.8,6.3,1.12,1.2,stage2,2026-07-23,✅
BUY,吊燈出場（Chandelier Exit）,2376.TW,354.5,1.87,323.6,8.7,1.11,1.3,多頭｜停利 323.6,2026-07-23,✅
BUY,大跌後外資買進（隔日跟單）,2645.TW,198.0,1.54,171.7,13.3,1.11,0.6,大跌後外資買進（隔日跟單）,2026-07-23,✅
BUY,波段回檔再進場（第二買點）,4995.TWO,50.3,9.95,44.8,10.9,1.1,6.9,波段回檔再進場（第二買點）,2026-07-23,✅
BUY,量縮整理→出量突破（融資沒走）,4995.TWO,50.3,9.95,44.8,10.9,1.1,6.9,量縮整理後真出量突破（融資沒走）,2026-07-23,✅
