訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核,tech_score,news_score,report_score,confidence,signal_type
BUY★,主題基本面輪動,1301.TW,62.7,-0.63,60.2,4.0,1.21,1.3,主題早期確認,2026-08-28,✅,81.3,77.0,50.0,70.6,做多 ⭐⭐
BUY★★,主題基本面輪動,2634.TW,67.8,-3.56,67.3,0.7,1.45,1.4,主題突破當日！,2026-08-28,✅,100.0,50.0,50.0,70.0,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,7788.TW,327.5,9.9,305.0,6.9,1.65,1.9,突破當日！立即關注+A完整+籌碼質變,2026-08-28,✅,100.0,50.0,50.0,70.0,做多 ⭐⭐
BUY★★,主題基本面輪動,8033.TW,189.5,-4.77,183.5,3.2,1.41,3.1,主題突破當日！,2026-08-28,✅,100.0,50.0,50.0,70.0,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,4939.TWO,92.8,7.16,82.9,10.7,1.68,4.2,突破當日！立即關注+A完整,2026-08-28,✅,100.0,50.0,50.0,70.0,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6547.TWO,65.0,3.01,64.2,1.2,1.29,2.1,突破當日！立即關注+A完整,2026-08-28,✅,98.7,50.0,50.0,69.5,做多 ⭐⭐
BUY★★,主題基本面輪動,6782.TW,241.5,-0.82,234.0,3.1,1.24,1.9,主題突破當日！,2026-08-28,✅,97.2,50.0,50.0,68.9,做多 ⭐⭐
BUY★★,主題基本面輪動,3189.TW,899.0,-1.64,867.0,3.6,1.22,1.4,主題突破當日！,2026-08-28,✅,96.6,50.0,50.0,68.6,做多 ⭐⭐
BUY★,融資維持率創低反彈（量增）,2380.TW,19.0,1.33,18.2,4.2,3.31,2.0,維持率當日創低即放量承接 → 搏反彈 3,2026-08-28,✅,95.0,50.0,50.0,68.0,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,2351.TW,239.5,-0.21,232.0,3.1,1.16,1.5,突破當日！立即關注+籌碼質變,2026-08-28,✅,94.8,50.0,50.0,67.9,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,3516.TWO,26.2,-0.76,26.0,1.0,1.12,6.0,突破當日！立即關注,2026-08-28,✅,93.6,50.0,50.0,67.4,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,7714.TWO,174.5,-5.16,174.5,0.0,1.35,1.8,突破當日！立即關注,2026-08-28,✅,93.0,50.0,50.0,67.2,做多 ⭐⭐
BUY★★,主題基本面輪動,2461.TW,18.9,1.89,18.3,2.9,1.06,1.5,主題突破當日！,2026-08-28,✅,91.8,50.0,50.0,66.7,做多 ⭐⭐
BUY★★,主題基本面輪動,2208.TW,19.2,-1.03,19.1,0.5,1.06,1.5,主題突破當日！,2026-08-28,✅,91.8,50.0,50.0,66.7,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,7712.TWO,160.0,2.56,156.5,2.2,1.05,2.3,突破當日！立即關注,2026-08-28,✅,91.5,50.0,50.0,66.6,做多 ⭐⭐
BUY★★,主題基本面輪動,2889.TW,15.9,-1.85,15.8,0.6,1.05,2.8,主題突破當日！,2026-08-28,✅,91.5,50.0,50.0,66.6,做多 ⭐⭐
BUY★★,主題基本面輪動,9941.TW,86.6,-0.57,85.5,1.3,1.05,2.3,主題突破當日！,2026-08-28,✅,91.5,50.0,50.0,66.6,做多 ⭐⭐
BUY★★,主題基本面輪動,3052.TW,11.1,-0.89,11.1,0.4,1.04,1.5,主題突破當日！,2026-08-28,✅,91.2,50.0,50.0,66.5,做多 ⭐⭐
BUY★★,主題基本面輪動,2392.TW,44.5,-4.61,44.1,0.9,1.01,1.4,主題突破當日！,2026-08-28,✅,90.3,50.0,50.0,66.1,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,5291.TWO,68.5,3.16,66.0,3.6,1.0,5.4,突破當日！立即關注,2026-08-28,✅,90.0,50.0,50.0,66.0,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6983.TWO,353.0,4.59,338.0,4.2,0.98,2.7,突破當日！立即關注,2026-08-28,✅,89.4,50.0,50.0,65.8,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,5425.TWO,96.3,1.16,96.0,0.3,0.94,2.8,突破當日！立即關注,2026-08-28,✅,88.2,50.0,50.0,65.3,做多 ⭐⭐
BUY★★,主題基本面輪動,3450.TW,635.0,9.86,576.0,9.3,1.16,1.6,主題突破當日！,2026-08-28,✅,88.3,50.0,50.0,65.3,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,7810.TWO,222.0,1.37,216.5,2.5,0.93,1.8,突破當日！立即關注,2026-08-28,✅,87.9,50.0,50.0,65.2,做多 ⭐⭐
BUY★★,主題基本面輪動,3693.TWO,587.0,7.12,549.0,6.5,1.01,2.0,主題突破當日！,2026-08-28,✅,88.0,50.0,50.0,65.2,做多 ⭐⭐
BUY★★,主題基本面輪動,8928.TWO,24.2,-0.62,24.2,0.0,1.12,1.7,主題突破當日！,2026-08-28,✅,86.1,50.0,50.0,64.4,觀察 ⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,1815.TWO,125.5,7.73,111.0,11.6,1.19,2.6,突破當日！立即關注,2026-08-28,✅,85.8,50.0,50.0,64.3,觀察 ⭐
BUY★★,主題基本面輪動,1815.TWO,125.5,7.73,111.0,11.6,1.19,2.6,主題突破當日！,2026-08-28,✅,85.8,50.0,50.0,64.3,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,3152.TWO,248.0,-1.98,252.0,1.6,1.35,0.9,早期確認（距突破<10%）,2026-08-28,✅,85.5,50.0,50.0,64.2,觀察 ⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,1503.TW,205.5,-3.29,205.0,0.2,0.84,2.3,突破當日！立即關注+籌碼質變,2026-08-28,✅,85.2,50.0,50.0,64.1,觀察 ⭐
BUY★,主題基本面輪動,1459.TW,15.6,0.0,14.9,4.5,1.32,0.8,主題早期確認,2026-08-28,✅,84.6,50.0,50.0,63.8,觀察 ⭐
BUY★,主題基本面輪動,2426.TW,96.1,-0.52,94.9,1.2,1.3,1.9,主題早期確認,2026-08-28,✅,84.0,50.0,50.0,63.6,觀察 ⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,4908.TWO,190.0,-2.81,183.0,3.7,0.8,3.5,突破當日！立即關注,2026-08-28,✅,84.0,50.0,50.0,63.6,觀察 ⭐
BUY★★,主題基本面輪動,8222.TW,38.9,-4.66,38.9,0.0,1.04,1.4,主題突破當日！,2026-08-28,✅,83.7,50.0,50.0,63.5,觀察 ⭐
BUY★,主題基本面輪動,2883.TW,32.8,1.87,31.6,3.5,1.28,0.5,主題早期確認,2026-08-28,✅,83.4,50.0,50.0,63.4,觀察 ⭐
BUY★,主題基本面輪動,2881.TW,144.0,1.77,138.0,4.2,1.28,0.9,主題早期確認,2026-08-28,✅,83.4,50.0,50.0,63.4,觀察 ⭐
BUY★,主題基本面輪動,3081.TWO,3305.0,-1.93,3265.0,1.2,1.26,1.0,主題早期確認,2026-08-28,✅,82.8,50.0,50.0,63.1,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,3081.TWO,3305.0,-1.93,3265.0,1.2,1.26,1.0,早期確認（距突破<10%）,2026-08-28,✅,82.8,50.0,50.0,63.1,觀察 ⭐
BUY★,主題基本面輪動,2637.TW,92.1,-2.64,90.0,2.3,1.25,0.6,主題早期確認,2026-08-28,✅,82.5,50.0,50.0,63.0,觀察 ⭐
BUY★,主題基本面輪動,2509.TW,15.4,0.33,14.8,3.9,1.24,0.6,主題早期確認,2026-08-28,✅,82.2,50.0,50.0,62.9,觀察 ⭐
BUY★,主題基本面輪動,1563.TW,88.0,2.92,82.9,5.8,1.25,0.0,主題早期確認,2026-08-27,✅,81.3,50.0,50.0,62.5,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,2596.TWO,34.8,0.0,34.0,2.0,1.16,0.7,早期確認（距突破<10%）,2026-08-28,✅,79.8,50.0,50.0,61.9,觀察 ⭐
BUY★,主題基本面輪動,4557.TW,51.0,-1.73,48.8,4.4,1.15,0.8,主題早期確認,2026-08-28,✅,79.5,50.0,50.0,61.8,觀察 ⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6217.TWO,175.0,-1.41,170.5,2.6,0.65,4.5,突破當日！立即關注,2026-08-28,✅,79.5,50.0,50.0,61.8,觀察 ⭐
BUY★,主題基本面輪動,1321.TW,33.2,-1.78,33.0,0.3,1.14,1.1,主題早期確認,2026-08-28,✅,79.2,50.0,50.0,61.7,觀察 ⭐
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,1714.TW,16.7,0.91,0.0,0.0,1.52,0.4,扣抵預警+籌碼（A即將成立）,2026-08-28,✅,58.1,77.7,50.0,61.6,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,9912.TW,14.1,6.82,13.5,4.1,1.13,6.5,維持率當日創低即放量承接 → 搏反彈 3,2026-08-28,✅,78.9,50.0,50.0,61.6,觀察 ⭐
BUY★,主題基本面輪動,4976.TW,39.2,-2.12,39.1,0.1,1.13,0.8,主題早期確認,2026-08-28,✅,78.9,50.0,50.0,61.6,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,6829.TWO,238.0,-1.04,240.5,1.1,1.13,1.2,早期確認（距突破<10%）,2026-08-28,✅,78.9,50.0,50.0,61.6,觀察 ⭐
BUY★,主題基本面輪動,2906.TW,14.1,0.0,13.9,1.4,1.12,0.6,主題早期確認,2026-08-28,✅,78.6,50.0,50.0,61.4,觀察 ⭐
BUY★,主題基本面輪動,2816.TW,38.9,-0.64,37.5,3.5,1.11,3.7,主題早期確認,2026-08-28,✅,78.3,50.0,50.0,61.3,觀察 ⭐
BUY★,主題基本面輪動,3266.TW,14.1,0.0,13.9,1.1,1.09,0.6,主題早期確認,2026-08-28,✅,77.7,50.0,50.0,61.1,觀察 ⭐
BUY★,主題基本面輪動,1531.TW,13.7,3.01,13.2,3.3,1.09,6.2,主題早期確認,2026-08-28,✅,77.7,50.0,50.0,61.1,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,8109.TWO,130.5,0.0,129.5,0.8,1.08,0.5,早期確認（距突破<10%）,2026-08-28,✅,77.4,50.0,50.0,61.0,觀察 ⭐
BUY★,主題基本面輪動,2069.TW,21.4,-2.06,21.6,0.9,1.08,0.9,主題早期確認,2026-08-28,✅,77.4,50.0,50.0,61.0,觀察 ⭐
BUY★,主題基本面輪動,6533.TW,265.5,-1.12,249.0,6.2,1.13,0.5,主題早期確認,2026-08-28,✅,77.1,50.0,50.0,60.8,觀察 ⭐
BUY★,主題基本面輪動,2612.TW,60.2,-2.9,58.6,2.7,1.07,1.2,主題早期確認,2026-08-28,✅,77.1,50.0,50.0,60.8,觀察 ⭐
