訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核
BUY,大跌後外資買進（隔日跟單）,6538.TWO,388.0,9.92,343.7,11.4,3.08,1.1,大跌後外資買進（隔日跟單）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,2466.TW,106.0,3.41,98.1,7.4,1.73,1.0,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,3498.TWO,195.0,5.69,173.5,11.0,1.63,1.0,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,主題基本面輪動,2305.TW,58.7,8.1,44.1,24.9,1.58,0.8,"主題突破（RS:Date
2015-01",2026-09-18,✅
BUY,波段回檔再進場（第二買點）,3017.TW,3430.0,7.69,3100.0,9.6,1.44,1.2,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,2395.TW,690.0,0.58,645.0,6.5,1.43,1.2,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,大跌後外資買進（隔日跟單）,3229.TW,64.4,9.9,57.5,10.8,1.43,1.0,大跌後外資買進（隔日跟單）,2026-09-18,✅
BUY,吊燈出場（Chandelier Exit）,3234.TWO,180.0,1.69,168.1,6.6,1.35,0.6,多頭｜停利 168.1,2026-09-18,✅
BUY,吊燈出場（Chandelier Exit）,6533.TW,270.5,7.55,233.9,13.5,1.33,2.8,多頭｜停利 233.9,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,7792.TWO,339.0,8.31,296.5,12.5,1.27,3.9,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,2030.TW,24.9,6.17,22.1,11.4,1.26,2.1,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,4979.TWO,611.0,9.89,501.0,18.0,1.26,1.1,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,吊燈出場（Chandelier Exit）,3508.TWO,23.8,9.95,21.8,8.4,1.25,2.5,多頭｜停利 21.8,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,3508.TWO,23.8,9.95,20.5,13.5,1.25,2.5,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,量縮整理→出量突破（融資沒走）,6811.TWO,266.5,6.81,228.2,14.4,1.23,3.9,量縮整理後真出量突破（融資沒走）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,2464.TW,197.0,9.75,173.3,12.0,1.2,1.5,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,吊燈出場（Chandelier Exit）,2006.TW,87.6,6.18,81.4,7.0,1.19,3.0,多頭｜停利 81.4,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,2006.TW,87.6,6.18,80.4,8.2,1.19,3.0,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,量縮整理→出量突破（融資沒走）,2006.TW,87.6,6.18,79.5,9.2,1.19,3.0,量縮整理後真出量突破（融資沒走）,2026-09-18,✅
BUY,主題基本面輪動,7743.TWO,25.0,2.88,22.9,8.4,1.18,2.1,"主題突破（RS:Date
2024-04",2026-09-18,✅
BUY,波段回檔再進場（第二買點）,1259.TWO,68.0,5.43,62.9,7.5,1.15,7.1,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,主題基本面輪動,3623.TWO,27.8,-2.29,25.6,7.7,1.14,0.8,"主題突破（RS:Date
2015-01",2026-09-18,✅
BUY,吊燈出場（Chandelier Exit）,1441.TW,10.1,16.2,9.0,11.3,1.12,0.0,多頭｜停利 9.0,2026-09-17,✅
BUY,波段回檔再進場（第二買點）,1808.TW,35.9,5.12,32.9,8.4,1.11,1.9,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,2408.TW,525.0,7.58,465.5,11.3,1.11,1.2,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,量縮整理→出量突破（融資沒走）,1442.TW,31.4,1.62,29.5,6.0,1.1,5.6,量縮整理後真出量突破（融資沒走）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,2031.TW,45.0,1.58,43.2,4.0,1.1,1.4,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,2546.TW,106.5,2.4,100.5,5.6,1.09,1.2,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,6532.TWO,99.3,5.75,90.7,8.7,1.09,1.8,波段回檔再進場（第二買點）,2026-09-18,✅
BUY,波段回檔再進場（第二買點）,4995.TWO,51.1,1.19,48.3,5.5,1.08,2.2,波段回檔再進場（第二買點）,2026-09-18,✅
