訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核
BUY,大跌中融資逆勢買,5321.TWO,71.8,-4.9,71.6,0.3,1.72,0.8,大跌中融資逆勢加碼,2026-09-14,✅
BUY,主題基本面輪動,3229.TW,66.9,-0.89,61.2,8.5,1.55,4.7,"主題突破（RS:Date
2015-01",2026-09-14,✅
BUY,主題基本面輪動,6416.TW,119.0,3.03,105.5,11.3,1.49,2.5,"主題突破（RS:Date
2015-01",2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,3693.TWO,688.0,3.77,627.7,8.8,1.4,1.2,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,1591.TWO,41.2,10.0,35.0,15.2,1.38,3.6,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,6179.TWO,34.4,-3.78,31.1,9.6,1.34,1.6,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,大跌中融資逆勢買,6179.TWO,34.4,-3.78,32.5,5.5,1.34,1.6,大跌中融資逆勢加碼,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,3234.TWO,174.0,-7.2,153.4,11.8,1.3,0.8,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,波段回檔再進場（第二買點）,7767.TWO,47.0,2.96,44.7,5.0,1.23,4.7,波段回檔再進場（第二買點）,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,7767.TWO,47.0,2.96,44.7,5.0,1.23,4.7,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,波段回檔再進場（第二買點）,3005.TW,116.5,0.87,112.2,3.7,1.21,1.2,波段回檔再進場（第二買點）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6811.TWO,248.0,9.98,230.4,7.1,1.18,7.1,多頭｜停利 230.4,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,6811.TWO,248.0,9.98,225.3,9.1,1.18,7.1,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,6533.TW,232.0,-0.22,214.1,7.7,1.17,0.7,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,4908.TWO,225.5,-5.05,195.4,13.3,1.17,0.8,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,波段回檔再進場（第二買點）,4995.TWO,51.2,1.39,48.0,6.3,1.17,3.3,波段回檔再進場（第二買點）,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,2027.TW,45.8,-1.61,43.6,4.6,1.16,0.6,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,主題基本面輪動,6112.TW,50.6,9.88,44.8,11.5,1.16,12.4,"主題突破（RS:Date
2015-01",2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,6112.TW,50.6,9.88,43.7,13.6,1.16,12.4,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,Stage 2 突破（變盤三部曲）,6690.TWO,188.0,9.94,182.3,3.0,1.15,7.4,stage2,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,6690.TWO,188.0,9.94,164.1,12.7,1.15,7.4,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,波段回檔再進場（第二買點）,1323.TW,21.7,0.23,21.0,3.2,1.13,3.1,波段回檔再進場（第二買點）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,2530.TW,20.6,4.89,18.8,8.9,1.13,1.5,多頭｜停利 18.8,2026-09-14,✅
BUY,Stage 2 突破（變盤三部曲）,2530.TW,20.6,4.89,19.7,4.5,1.13,1.5,stage2,2026-09-14,✅
BUY,波段回檔再進場（第二買點）,1437.TW,32.0,0.63,31.4,2.0,1.12,1.0,波段回檔再進場（第二買點）,2026-09-14,✅
BUY,大跌中融資逆勢買,3006.TW,270.5,-6.88,270.5,0.0,1.11,0.8,大跌中融資逆勢加碼,2026-09-14,✅
BUY,Stage 2 突破（變盤三部曲）,3158.TWO,89.2,5.44,87.6,1.8,1.11,10.0,stage2,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,3158.TWO,89.2,5.44,83.3,6.6,1.11,10.0,量縮整理後真出量突破（融資沒走）,2026-09-14,❌無融資資料
BUY,吊燈出場（Chandelier Exit）,4728.TWO,400.0,2.3,397.7,0.6,1.11,0.3,多頭｜停利 397.7,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,5310.TWO,25.0,2.04,24.8,0.9,1.11,1.8,多頭｜停利 24.8,2026-09-14,✅
BUY,波段回檔再進場（第二買點）,6195.TWO,27.9,0.9,27.1,2.9,1.11,1.3,波段回檔再進場（第二買點）,2026-09-14,✅
BUY,波段回檔再進場（第二買點）,4190.TW,25.9,0.19,25.4,1.7,1.1,3.4,波段回檔再進場（第二買點）,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,6689.TW,70.5,9.98,62.0,12.1,1.1,11.6,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,2751.TWO,54.5,3.61,51.9,4.8,1.1,0.5,多頭｜停利 51.9,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,2468.TW,39.3,9.92,35.0,11.1,1.08,4.5,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,4736.TW,128.5,0.78,134.4,4.6,1.08,0.5,多頭｜停利 134.4,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6245.TWO,85.5,5.17,78.1,8.6,1.08,4.6,多頭｜停利 78.1,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,6829.TWO,215.5,-5.48,189.8,11.9,1.08,0.9,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6865.TWO,27.7,9.92,25.2,9.1,1.08,8.4,多頭｜停利 25.2,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,6865.TWO,27.7,9.92,26.1,5.6,1.08,8.4,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,7765.TW,240.0,9.84,226.4,5.7,1.07,7.9,多頭｜停利 226.4,2026-09-14,✅
BUY,融資維持率創低反彈（量增）,7765.TW,240.0,9.84,230.9,3.8,1.07,7.9,維持率創低+融資套牢+量增 → 搏反彈 ,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,7765.TW,240.0,9.84,223.7,6.8,1.07,7.9,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,4950.TWO,16.4,4.13,15.8,3.9,1.07,0.5,多頭｜停利 15.8,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,8931.TWO,43.2,4.73,40.9,5.4,1.07,6.4,多頭｜停利 40.9,2026-09-14,✅
BUY,Stage 2 突破（變盤三部曲）,8931.TWO,43.2,4.73,42.0,2.7,1.07,6.4,stage2,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,6148.TWO,34.1,10.0,29.4,13.8,1.06,5.7,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,6588.TWO,107.0,-0.47,95.5,10.7,1.06,0.5,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,波段回檔再進場（第二買點）,6154.TWO,14.1,1.08,13.8,1.8,1.04,1.1,波段回檔再進場（第二買點）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6904.TWO,122.5,2.08,122.9,0.3,1.04,1.0,多頭｜停利 122.9,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,4550.TWO,24.4,4.73,23.8,2.1,1.03,0.7,多頭｜停利 23.8,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6199.TWO,100.5,2.13,96.9,3.6,1.03,2.4,多頭｜停利 96.9,2026-09-14,✅
BUY,波段回檔再進場（第二買點）,3034.TW,556.0,1.65,521.8,6.2,1.02,1.0,波段回檔再進場（第二買點）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,2916.TWO,40.7,1.62,40.1,1.4,1.02,2.2,多頭｜停利 40.1,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6791.TWO,102.5,4.06,98.0,4.4,1.02,3.6,多頭｜停利 98.0,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6846.TWO,59.9,5.09,56.5,5.7,1.01,1.5,多頭｜停利 56.5,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,2453.TW,55.3,4.93,52.8,4.5,1.0,9.0,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,6510.TWO,3375.0,-3.02,2997.3,11.2,1.0,1.0,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,Stage 2 突破（變盤三部曲）,4953.TWO,120.5,1.69,117.3,2.6,0.99,2.6,stage2,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,6196.TW,520.0,1.76,486.8,6.4,0.97,1.1,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,4971.TWO,531.0,-3.45,458.6,13.6,0.97,0.4,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,2536.TW,19.5,1.83,19.5,0.1,0.95,0.4,多頭｜停利 19.5,2026-09-14,✅
BUY,量縮整理→出量突破（融資沒走）,4915.TW,64.6,2.87,63.7,1.4,0.94,4.6,量縮整理後真出量突破（融資沒走）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6590.TWO,62.5,5.75,61.1,2.3,0.94,2.1,多頭｜停利 61.1,2026-09-14,✅
BUY,大跌後外資買進（隔日跟單）,2491.TW,39.5,-0.25,33.4,15.3,0.93,0.4,大跌後外資買進（隔日跟單）,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,4588.TW,54.1,6.92,50.3,6.9,0.93,6.3,多頭｜停利 50.3,2026-09-14,✅
BUY,大跌中融資逆勢買,7717.TWO,487.0,-5.8,463.0,4.9,0.93,3.4,大跌中融資逆勢加碼,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6140.TWO,18.2,9.94,17.0,7.0,0.91,3.9,多頭｜停利 17.0,2026-09-14,✅
BUY,吊燈出場（Chandelier Exit）,6925.TWO,55.2,9.96,51.9,6.0,0.91,5.1,多頭｜停利 51.9,2026-09-14,✅
