訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核
BUY,大跌後外資買進（隔日跟單）,6933.TW,286.0,-6.38,249.8,12.6,1.94,1.7,大跌後外資買進（隔日跟單）,2026-09-15,✅
BUY,大跌中融資逆勢買,2033.TW,25.5,-4.32,25.4,0.2,1.58,0.5,大跌中融資逆勢加碼,2026-09-15,❌融資未增(近5筆-217張)
BUY,波段回檔再進場（第二買點）,2395.TW,685.0,2.24,645.0,5.8,1.45,1.1,波段回檔再進場（第二買點）,2026-09-15,✅
BUY,大跌中融資逆勢買,5321.TWO,66.4,-7.52,66.0,0.6,1.43,0.8,大跌中融資逆勢加碼,2026-09-15,✅
BUY,波段回檔再進場（第二買點）,6240.TWO,24.6,5.81,21.3,13.4,1.43,1.3,波段回檔再進場（第二買點）,2026-09-15,✅
BUY,大跌後外資買進（隔日跟單）,6141.TW,48.4,-0.92,42.6,12.0,1.42,0.3,大跌後外資買進（隔日跟單）,2026-09-15,✅
BUY,大跌後外資買進（隔日跟單）,3374.TWO,408.5,-4.89,364.7,10.7,1.4,0.6,大跌後外資買進（隔日跟單）,2026-09-15,✅
BUY,波段回檔再進場（第二買點）,1459.TW,15.3,0.66,15.2,1.0,1.35,1.1,波段回檔再進場（第二買點）,2026-09-15,✅
BUY,A+B+C 籌碼趨勢（M哥完整版）,6870.TWO,329.0,8.05,287.0,12.8,1.3,3.8,量大突破+站穩+A完整,2026-09-15,✅
BUY,大跌後外資買進（隔日跟單）,3406.TW,915.0,-4.09,771.6,15.7,1.28,1.5,大跌後外資買進（隔日跟單）,2026-09-15,✅
BUY,大跌後外資買進（隔日跟單）,3008.TW,6055.0,1.0,5299.1,12.5,1.25,1.2,大跌後外資買進（隔日跟單）,2026-09-15,✅
BUY,波段回檔再進場（第二買點）,6491.TW,390.0,2.23,360.8,7.5,1.24,1.6,波段回檔再進場（第二買點）,2026-09-15,✅
BUY,吊燈出場（Chandelier Exit）,6782.TW,231.0,1.76,227.8,1.4,1.23,0.3,多頭｜停利 227.8,2026-09-15,✅
BUY,大跌後外資買進（隔日跟單）,3234.TWO,163.5,-6.03,143.0,12.5,1.22,0.5,大跌後外資買進（隔日跟單）,2026-09-15,✅
BUY,波段回檔再進場（第二買點）,3629.TWO,19.6,8.89,17.0,13.3,1.22,1.3,波段回檔再進場（第二買點）,2026-09-15,✅
BUY,大跌後外資買進（隔日跟單）,4556.TWO,85.0,-5.97,75.3,11.4,1.2,2.3,大跌後外資買進（隔日跟單）,2026-09-15,✅
BUY,大跌中融資逆勢買,4556.TWO,85.0,-5.97,76.1,10.5,1.2,2.3,大跌中融資逆勢加碼,2026-09-15,✅
BUY,Stage 2 突破（變盤三部曲）,6811.TWO,251.0,1.21,241.1,3.9,1.2,6.7,stage2,2026-09-15,✅
BUY,吊燈出場（Chandelier Exit）,3176.TWO,38.0,4.25,34.5,9.5,1.19,1.0,多頭｜停利 34.5,2026-09-15,✅
BUY,Stage 2 突破（變盤三部曲）,5201.TWO,30.5,1.84,29.2,4.4,1.17,1.8,stage2,2026-09-15,✅
BUY,大跌中融資逆勢買,6716.TWO,115.0,-4.56,112.5,2.2,1.17,0.7,大跌中融資逆勢加碼,2026-09-15,✅
BUY,吊燈出場（Chandelier Exit）,3434.TWO,32.5,9.98,30.5,6.0,1.15,10.0,多頭｜停利 30.5,2026-09-15,✅
BUY,Stage 2 突破（變盤三部曲）,3434.TWO,32.5,9.98,31.5,3.0,1.15,10.0,stage2,2026-09-15,✅
