訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核
BUY,大跌中融資逆勢買,2305.TW,30.5,-4.24,29.9,2.0,1.84,1.3,大跌中融資逆勢加碼,2026-07-28,❌融資未增(近5筆-11張)
BUY,大跌後外資買進（隔日跟單）,3481.TW,45.0,-4.96,39.7,11.8,1.78,1.0,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,6166.TW,137.0,-8.67,121.9,11.0,1.63,1.8,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,吊燈出場（Chandelier Exit）,6226.TW,20.5,9.92,21.7,5.8,1.6,3.3,多頭｜停利 21.7,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,6116.TW,12.9,-2.64,11.6,9.9,1.53,0.9,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌中融資逆勢買,3008.TW,3900.0,-4.65,3860.0,1.0,1.48,1.2,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,1718.TW,9.7,-5.07,8.4,13.6,1.46,0.5,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,3055.TW,114.5,-9.13,94.0,17.9,1.44,1.2,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌中融資逆勢買,8043.TWO,132.5,-7.34,130.0,1.9,1.44,0.3,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌中融資逆勢買,3362.TWO,158.0,-4.53,150.5,4.7,1.43,5.1,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,3577.TWO,128.0,-5.88,107.6,15.9,1.41,0.6,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,6538.TWO,117.5,-7.11,99.2,15.5,1.4,0.7,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌中融資逆勢買,6538.TWO,117.5,-7.11,116.0,1.3,1.4,0.7,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,1515.TW,30.0,-7.7,25.6,14.6,1.35,0.6,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,6505.TW,74.6,-4.24,64.7,13.3,1.35,0.6,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌中融資逆勢買,6259.TWO,28.9,-7.07,28.2,2.4,1.33,0.2,大跌中融資逆勢加碼,2026-07-28,❌融資未增(近5筆-72張)
BUY,大跌中融資逆勢買,6870.TWO,243.0,-5.81,235.0,3.3,1.3,0.8,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,4541.TWO,62.9,-5.84,52.5,16.6,1.29,0.8,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,5426.TWO,23.9,-4.98,21.7,8.8,1.29,0.5,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,6414.TW,436.0,-7.04,393.2,9.8,1.28,1.6,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,6579.TW,162.5,-4.13,148.2,8.8,1.28,0.7,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌中融資逆勢買,6579.TW,162.5,-4.13,160.0,1.5,1.28,0.7,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,4939.TWO,55.5,-8.11,46.6,16.1,1.23,0.4,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌中融資逆勢買,2527.TW,43.2,-7.7,43.0,0.3,1.21,0.8,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌中融資逆勢買,3296.TW,24.1,-4.37,23.8,1.2,1.2,0.8,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌中融資逆勢買,3021.TW,20.3,-4.92,20.0,1.5,1.19,0.7,大跌中融資逆勢加碼,2026-07-28,❌融資未增(近5筆-23張)
BUY,大跌中融資逆勢買,3360.TWO,15.8,-5.67,15.7,0.6,1.17,0.3,大跌中融資逆勢加碼,2026-07-28,❌融資未增(近5筆-277張)
BUY,大跌中融資逆勢買,6548.TWO,62.0,-9.09,62.0,0.0,1.17,0.4,大跌中融資逆勢加碼,2026-07-28,❌融資未增(近5筆-63張)
BUY,大跌後外資買進（隔日跟單）,3088.TWO,132.5,-6.36,119.3,10.0,1.16,1.1,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,8114.TW,213.5,-1.84,194.4,8.9,1.15,0.9,大跌後外資買進（隔日跟單）,2026-07-28,✅
BUY,大跌中融資逆勢買,8476.TW,20.0,-7.21,19.9,0.3,1.13,0.7,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌中融資逆勢買,2415.TW,30.8,-4.35,30.7,0.3,1.12,0.3,大跌中融資逆勢加碼,2026-07-28,✅
BUY,吊燈出場（Chandelier Exit）,1537.TW,128.0,0.39,124.8,2.5,1.03,1.1,多頭｜停利 124.8,2026-07-28,✅
BUY,大跌中融資逆勢買,3717.TW,21.1,-4.3,21.1,0.2,1.03,0.2,大跌中融資逆勢加碼,2026-07-28,✅
BUY,大跌後外資買進（隔日跟單）,6577.TWO,83.4,-6.82,77.5,7.1,1.02,1.9,大跌後外資買進（隔日跟單）,2026-07-28,✅
