訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核,tech_score,news_score,report_score,confidence,signal_type
BUY,吊燈出場（Chandelier Exit）,1303.TW,190.0,2.7,180.6,5.0,2.05,1.0,多頭｜停利 180.6,2026-08-11,✅,80.0,70.8,50.0,68.2,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6570.TWO,57.0,-0.52,56.1,1.6,1.18,1.5,突破當日！立即關注,2026-08-11,✅,95.4,50.0,50.0,68.2,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,4931.TWO,255.0,7.14,239.0,6.3,1.23,4.4,突破當日！立即關注,2026-08-11,✅,95.0,50.0,50.0,68.0,做多 ⭐⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,7610.TW,1870.0,-4.1,1860.0,0.5,1.65,0.3,早期確認（距突破<10%）+籌碼質變,2026-08-11,✅,94.5,50.0,50.0,67.8,做多 ⭐⭐
BUY★★,主題基本面輪動,3226.TWO,51.4,0.0,50.0,2.7,1.14,1.4,主題突破當日！,2026-08-11,✅,94.2,50.0,50.0,67.7,做多 ⭐⭐
BUY★★,主題基本面輪動,4763.TW,51.6,3.2,49.6,3.9,1.12,1.6,主題突破當日！,2026-08-11,✅,93.6,50.0,50.0,67.4,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6265.TWO,56.1,0.54,55.4,1.2,1.11,2.1,突破當日！立即關注,2026-08-11,✅,93.3,50.0,50.0,67.3,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,8112.TW,100.0,8.23,94.7,5.3,1.08,3.9,突破當日！立即關注+籌碼質變,2026-08-11,✅,92.0,50.0,50.0,66.8,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,4163.TWO,145.5,-3.0,142.5,2.1,1.06,1.7,突破當日！立即關注,2026-08-11,✅,91.8,50.0,50.0,66.7,做多 ⭐⭐
BUY★★,主題基本面輪動,4163.TWO,145.5,-3.0,142.5,2.1,1.06,1.7,主題突破當日！,2026-08-11,✅,91.8,50.0,50.0,66.7,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,1323.TW,21.5,-0.23,21.2,1.4,1.05,2.6,突破當日！立即關注+籌碼質變,2026-08-11,✅,91.5,50.0,50.0,66.6,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6922.TWO,213.0,4.41,204.0,4.2,1.03,4.4,突破當日！立即關注,2026-08-11,✅,90.9,50.0,50.0,66.4,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6642.TWO,86.0,3.24,82.0,4.7,1.02,3.7,突破當日！立即關注,2026-08-11,✅,90.6,50.0,50.0,66.2,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6716.TWO,104.5,-0.48,101.5,2.9,1.02,6.5,突破當日！立即關注,2026-08-11,✅,90.6,50.0,50.0,66.2,做多 ⭐⭐
BUY★★,主題基本面輪動,6863.TW,122.0,-7.92,121.0,0.8,1.01,1.5,主題突破當日！,2026-08-11,✅,90.3,50.0,50.0,66.1,做多 ⭐⭐
BUY★★,主題基本面輪動,1808.TW,32.5,-2.7,32.0,1.2,1.01,1.4,主題突破當日！,2026-08-11,✅,90.3,50.0,50.0,66.1,做多 ⭐⭐
BUY★★,主題基本面輪動,1339.TW,45.4,0.89,44.8,1.3,1.01,1.6,主題突破當日！,2026-08-11,✅,90.3,50.0,50.0,66.1,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6292.TWO,65.7,9.14,60.3,8.2,1.14,5.1,突破當日！立即關注,2026-08-11,✅,89.4,50.0,50.0,65.8,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,5324.TWO,12.2,-0.41,12.1,0.8,0.96,1.7,突破當日！立即關注,2026-08-11,✅,88.8,50.0,50.0,65.5,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6187.TWO,1050.0,-3.67,1035.0,1.4,0.84,2.1,突破當日！立即關注,2026-08-11,✅,85.2,50.0,50.0,64.1,觀察 ⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,8354.TWO,18.0,7.81,16.5,8.4,0.98,8.3,突破當日！立即關注,2026-08-11,✅,84.3,50.0,50.0,63.7,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,5468.TWO,30.5,9.89,27.3,10.5,1.58,3.0,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,84.2,50.0,50.0,63.7,觀察 ⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,7744.TWO,453.0,-3.1,450.0,0.7,0.77,1.7,突破當日！立即關注,2026-08-11,✅,83.1,50.0,50.0,63.2,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,3114.TWO,36.5,-2.53,37.5,2.6,1.23,0.5,早期確認（距突破<10%）,2026-08-11,✅,81.9,50.0,50.0,62.8,觀察 ⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,3444.TWO,76.3,3.11,73.2,4.1,0.72,2.4,突破當日！立即關注,2026-08-11,✅,81.6,50.0,50.0,62.6,觀察 ⭐
BUY★,主題基本面輪動,2006.TW,85.5,-0.47,85.3,0.2,1.2,0.8,主題早期確認,2026-08-11,✅,81.0,50.0,50.0,62.4,觀察 ⭐
BUY,波段回檔再進場（第二買點）,1303.TW,190.0,2.7,149.1,21.5,2.05,1.0,波段回檔再進場（第二買點）,2026-08-11,✅,65.0,70.8,50.0,62.2,觀察 ⭐
BUY,大跌中融資逆勢買,2466.TW,92.0,-5.25,87.4,5.0,1.74,1.6,大跌中融資逆勢加碼,2026-08-11,✅,80.0,50.0,50.0,62.0,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,6834.TW,106.0,9.73,104.7,1.2,1.82,2.6,多頭｜停利 104.7,2026-08-11,✅,80.0,50.0,50.0,62.0,觀察 ⭐
BUY,大跌中融資逆勢買,4707.TWO,30.0,-6.1,28.8,4.0,1.88,1.6,大跌中融資逆勢加碼,2026-08-11,✅,80.0,50.0,50.0,62.0,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,4973.TWO,156.0,-3.7,158.5,1.6,1.17,1.1,早期確認（距突破<10%）,2026-08-11,✅,80.1,50.0,50.0,62.0,觀察 ⭐
BUY★,主題基本面輪動,4119.TW,52.9,0.76,51.2,3.2,1.15,0.7,主題早期確認,2026-08-11,✅,79.5,50.0,50.0,61.8,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,3226.TWO,51.4,0.0,50.0,2.7,1.14,1.4,早期確認（距突破<10%）,2026-08-11,✅,79.2,50.0,50.0,61.7,觀察 ⭐
BUY★,主題基本面輪動,1414.TW,19.3,-2.28,19.1,1.0,1.12,0.7,主題早期確認,2026-08-11,✅,78.6,50.0,50.0,61.4,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,1414.TW,19.3,-2.28,19.1,1.0,1.12,0.7,早期確認（距突破<10%）+籌碼質變,2026-08-11,✅,78.6,50.0,50.0,61.4,觀察 ⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,8358.TWO,380.5,9.97,346.0,9.1,0.81,1.9,突破當日！立即關注,2026-08-11,✅,78.1,50.0,50.0,61.3,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,6603.TWO,26.9,0.19,26.4,2.0,1.1,1.1,早期確認（距突破<10%）,2026-08-11,✅,78.0,50.0,50.0,61.2,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,3141.TWO,77.7,-2.88,78.4,0.9,1.1,0.9,早期確認（距突破<10%）,2026-08-11,✅,78.0,50.0,50.0,61.2,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,3213.TWO,136.0,-1.45,133.0,2.2,1.09,1.1,早期確認（距突破<10%）,2026-08-11,✅,77.7,50.0,50.0,61.1,觀察 ⭐
BUY★,主題基本面輪動,3213.TWO,136.0,-1.45,133.0,2.2,1.09,1.1,主題早期確認,2026-08-11,✅,77.7,50.0,50.0,61.1,觀察 ⭐
BUY★,主題基本面輪動,2637.TW,87.3,-0.91,85.3,2.3,1.09,0.6,主題早期確認,2026-08-11,✅,77.7,50.0,50.0,61.1,觀察 ⭐
BUY★,主題基本面輪動,6691.TW,728.0,-0.55,725.0,0.4,1.06,0.5,主題早期確認,2026-08-11,✅,76.8,50.0,50.0,60.7,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,3594.TWO,56.9,-5.17,58.4,2.6,1.05,1.2,早期確認（距突破<10%）,2026-08-11,✅,76.5,50.0,50.0,60.6,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,4907.TWO,45.0,-0.55,45.2,0.7,1.05,0.6,早期確認（距突破<10%）,2026-08-11,✅,76.5,50.0,50.0,60.6,觀察 ⭐
BUY★,主題基本面輪動,9941.TW,85.4,0.23,82.2,3.7,1.04,1.0,主題早期確認,2026-08-11,✅,76.2,50.0,50.0,60.5,觀察 ⭐
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2408.TW,489.0,-2.59,0.0,0.0,1.45,1.3,扣抵預警+籌碼（A即將成立）,2026-08-11,✅,56.0,76.4,50.0,60.3,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,2321.TW,15.6,1.96,14.6,6.4,1.09,5.0,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,75.6,50.0,50.0,60.2,觀察 ⭐
BUY★,主題基本面輪動,2520.TW,34.5,-1.15,33.3,3.3,1.01,0.6,主題早期確認,2026-08-11,✅,75.3,50.0,50.0,60.1,觀察 ⭐
BUY★,主題基本面輪動,6579.TW,159.0,-3.34,158.5,0.3,1.0,0.9,主題早期確認,2026-08-11,✅,75.0,50.0,50.0,60.0,觀察 ⭐
BUY★,主題基本面輪動,9935.TW,20.1,-3.83,20.0,0.7,0.99,1.6,主題早期確認,2026-08-11,✅,74.7,50.0,50.0,59.9,觀察 ⭐
BUY★,主題基本面輪動,2611.TW,14.1,-1.4,13.5,3.9,0.99,0.9,主題早期確認,2026-08-11,✅,74.7,50.0,50.0,59.9,觀察 ⭐
BUY,大跌中融資逆勢買,2434.TW,49.0,-7.37,48.2,1.6,1.48,1.6,大跌中融資逆勢加碼,2026-08-11,✅,74.4,50.0,50.0,59.8,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,6697.TWO,41.1,2.75,39.5,4.0,0.89,1.5,多頭｜停利 39.5,2026-08-11,✅,56.7,73.6,50.0,59.7,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,6161.TWO,53.1,0.0,52.1,1.9,0.97,0.6,早期確認（距突破<10%）,2026-08-11,✅,74.1,50.0,50.0,59.6,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,6913.TWO,147.0,0.68,144.5,1.7,0.97,1.3,早期確認（距突破<10%）,2026-08-11,✅,74.1,50.0,50.0,59.6,觀察 ⭐
BUY★,主題基本面輪動,4106.TW,24.6,-1.8,24.1,1.8,0.97,1.5,主題早期確認,2026-08-11,✅,74.1,50.0,50.0,59.6,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,4590.TW,89.8,8.06,82.4,8.3,1.1,4.0,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,73.0,50.0,50.0,59.2,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,4527.TWO,41.0,0.99,40.0,2.4,0.91,1.1,早期確認（距突破<10%）,2026-08-11,✅,72.3,50.0,50.0,58.9,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,3632.TWO,8.0,0.0,7.7,3.9,0.89,1.9,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,71.7,50.0,50.0,58.7,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,2302.TW,46.0,8.35,41.4,10.1,1.63,1.8,多頭｜停利 41.4,2026-08-11,✅,71.2,50.0,50.0,58.5,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,2035.TWO,26.8,-0.74,26.3,1.7,0.86,2.9,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,70.8,50.0,50.0,58.3,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,2314.TW,11.5,-4.56,11.2,2.6,0.86,2.0,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,70.8,50.0,50.0,58.3,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,4739.TW,87.4,0.46,84.1,3.8,0.85,0.9,早期確認（距突破<10%）+籌碼質變,2026-08-11,✅,70.5,50.0,50.0,58.2,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,3406.TW,538.0,-1.47,525.0,2.4,0.85,0.5,早期確認（距突破<10%）+籌碼質變,2026-08-11,✅,70.5,50.0,50.0,58.2,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,6547.TWO,52.0,0.19,48.0,7.6,0.97,0.7,早期確認（距突破<10%）,2026-08-11,✅,70.2,50.0,50.0,58.1,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,1213.TW,7.8,0.65,7.4,4.6,0.82,3.4,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,69.6,50.0,50.0,57.8,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,8046.TW,1150.0,1.77,1114.4,3.1,1.32,0.2,多頭｜停利 1114.4,2026-08-11,✅,69.6,50.0,50.0,57.8,觀察 ⭐
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2395.TW,661.0,-0.9,0.0,0.0,1.31,0.9,扣抵預警+籌碼（A即將成立）,2026-08-11,✅,51.8,73.6,50.0,57.8,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,2493.TW,239.5,9.86,211.5,11.7,1.61,1.6,多頭｜停利 211.5,2026-08-11,✅,68.3,50.0,50.0,57.3,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,3229.TW,51.0,0.2,43.1,15.4,1.25,2.0,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,67.5,50.0,50.0,57.0,觀察 ⭐
BUY,波段回檔再進場（第二買點）,5328.TWO,66.0,5.6,57.1,13.5,2.08,1.2,波段回檔再進場（第二買點）,2026-08-11,✅,67.2,50.0,50.0,56.9,觀察 ⭐
BUY,大跌中融資逆勢買,2425.TW,46.0,-7.27,44.8,2.5,1.21,1.3,大跌中融資逆勢加碼,2026-08-11,✅,66.3,50.0,50.0,56.5,觀察 ⭐
BUY,大跌中融資逆勢買,4807.TW,31.2,-4.15,30.7,1.6,1.21,1.3,大跌中融資逆勢加碼,2026-08-11,❌融資未增(近5筆-4張),66.3,50.0,50.0,56.5,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,6532.TWO,85.0,1.8,82.3,3.2,0.69,1.3,早期確認（距突破<10%）,2026-08-11,✅,65.7,50.0,50.0,56.3,觀察 ⭐
BUY★,A+B+C 籌碼趨勢（M哥完整版）,6510.TWO,2800.0,-1.58,2785.0,0.5,0.68,0.8,早期確認（距突破<10%）,2026-08-11,✅,65.4,50.0,50.0,56.2,觀察 ⭐
BUY,主題基本面輪動,6213.TW,452.0,5.73,366.0,19.0,1.67,0.8,"主題突破（RS:Date
2015-01",2026-08-11,✅,65.0,50.0,50.0,56.0,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,6152.TW,14.8,3.14,13.5,9.0,0.86,7.4,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,64.8,50.0,50.0,55.9,觀察 ⭐
BUY,大跌中融資逆勢買,4542.TWO,274.5,-6.15,263.5,4.0,1.16,1.7,大跌中融資逆勢加碼,2026-08-11,✅,64.8,50.0,50.0,55.9,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,3234.TWO,121.5,2.97,103.0,15.2,1.15,1.9,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,64.5,50.0,50.0,55.8,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,3026.TW,646.0,9.86,741.0,14.7,1.63,3.9,多頭｜停利 741.0,2026-08-11,✅,64.4,50.0,50.0,55.7,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,2327.TW,617.0,7.68,659.6,6.9,1.12,1.6,多頭｜停利 659.6,2026-08-11,✅,60.8,54.0,50.0,55.5,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,3057.TW,16.8,6.69,15.3,8.7,0.8,2.5,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,63.5,50.0,50.0,55.4,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,2438.TW,19.2,10.0,17.6,8.5,0.79,2.4,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,63.5,50.0,50.0,55.4,觀察 ⭐
BUY★,融資維持率創低反彈（量增）,6144.TWO,14.6,9.81,13.2,9.6,0.84,8.2,維持率當日創低即放量承接 → 搏反彈 3,2026-08-11,✅,63.3,50.0,50.0,55.3,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,2481.TW,141.5,2.91,160.0,13.0,0.99,1.3,多頭｜停利 160.0,2026-08-11,✅,47.7,70.8,50.0,55.3,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,2891.TW,66.8,0.45,63.3,5.2,1.1,0.7,多頭｜停利 63.3,2026-08-11,✅,62.7,50.0,50.0,55.1,觀察 ⭐
BUY,吊燈出場（Chandelier Exit）,6949.TW,1020.0,7.59,909.8,10.8,1.38,1.0,多頭｜停利 909.8,2026-08-11,✅,62.7,50.0,50.0,55.1,觀察 ⭐
