訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核
BUY,大跌後外資買進（隔日跟單）,6225.TW,68.5,3.63,60.1,12.3,2.83,0.8,大跌後外資買進（隔日跟單）,2026-08-26,✅
BUY,主題基本面輪動,6213.TW,583.0,10.0,480.5,17.6,2.12,1.8,"主題突破（RS:Date
2015-01",2026-08-26,✅
BUY,主題基本面輪動,6226.TW,28.1,9.96,23.1,17.9,2.07,0.4,"主題突破（RS:Date
2015-01",2026-08-26,✅
BUY,波段回檔再進場（第二買點）,4139.TWO,37.3,2.05,35.0,6.4,1.7,3.9,波段回檔再進場（第二買點）,2026-08-26,✅
BUY,A+B+C 籌碼趨勢（M哥完整版）,6538.TWO,212.0,3.16,192.0,9.4,1.63,0.8,量大突破+站穩+A完整,2026-08-26,✅
BUY,波段回檔再進場（第二買點）,8033.TW,192.5,7.54,177.8,7.6,1.41,1.9,波段回檔再進場（第二買點）,2026-08-26,✅
BUY,Stage 2 突破（變盤三部曲）,4188.TWO,14.6,9.77,13.7,5.9,1.33,2.7,stage2,2026-08-26,✅
BUY,吊燈出場（Chandelier Exit）,3374.TWO,333.5,7.23,293.5,12.0,1.3,1.4,多頭｜停利 293.5,2026-08-26,✅
BUY,吊燈出場（Chandelier Exit）,3055.TW,127.0,9.96,109.0,14.1,1.24,1.1,多頭｜停利 109.0,2026-08-26,✅
BUY,波段回檔再進場（第二買點）,4976.TW,39.6,5.88,36.5,7.7,1.23,1.9,波段回檔再進場（第二買點）,2026-08-26,✅
BUY,波段回檔再進場（第二買點）,0055.TW,44.5,0.07,42.9,3.6,1.21,1.1,波段回檔再進場（第二買點）,2026-08-26,✅
BUY,波段回檔再進場（第二買點）,7642.TWO,79.2,0.89,76.2,3.8,1.19,1.1,波段回檔再進場（第二買點）,2026-08-26,✅
BUY,吊燈出場（Chandelier Exit）,6517.TWO,71.3,9.36,61.6,13.6,1.18,3.0,多頭｜停利 61.6,2026-08-26,✅
BUY,吊燈出場（Chandelier Exit）,1301.TW,60.1,3.98,56.3,6.3,1.17,1.3,多頭｜停利 56.3,2026-08-26,✅
BUY,吊燈出場（Chandelier Exit）,7584.TWO,27.5,5.56,25.5,7.5,1.16,1.6,多頭｜停利 25.5,2026-08-26,✅
BUY,融資維持率創低反彈（量增）,3229.TW,58.1,1.22,54.5,6.2,1.15,3.1,維持率創低+融資套牢+量增 → 搏反彈 ,2026-08-26,✅
BUY,吊燈出場（Chandelier Exit）,3296.TW,24.3,1.25,22.9,5.8,1.12,0.2,多頭｜停利 22.9,2026-08-26,✅
BUY,吊燈出場（Chandelier Exit）,6177.TW,48.3,0.62,45.1,6.7,1.12,0.5,多頭｜停利 45.1,2026-08-26,✅
BUY,大跌中融資逆勢買,2611.TW,15.2,-6.17,15.1,0.3,1.11,1.3,大跌中融資逆勢加碼,2026-08-26,✅
BUY,融資維持率創低反彈（量增）,2025.TW,13.4,3.86,12.6,6.6,1.1,2.0,維持率創低+融資套牢+量增 → 搏反彈 ,2026-08-26,✅
BUY,波段回檔再進場（第二買點）,3266.TW,14.1,1.07,13.6,3.9,1.1,1.4,波段回檔再進場（第二買點）,2026-08-26,✅
BUY,吊燈出場（Chandelier Exit）,1342.TW,103.5,0.49,99.8,3.6,1.09,0.3,多頭｜停利 99.8,2026-08-26,✅
BUY,波段回檔再進場（第二買點）,2704.TW,46.3,1.76,45.2,2.4,1.09,1.2,波段回檔再進場（第二買點）,2026-08-26,✅
BUY,波段回檔再進場（第二買點）,4995.TWO,50.2,3.19,47.1,6.2,1.08,1.3,波段回檔再進場（第二買點）,2026-08-26,✅
BUY,吊燈出場（Chandelier Exit）,1617.TW,17.8,3.49,17.2,3.5,1.07,0.4,多頭｜停利 17.2,2026-08-26,✅
BUY,波段回檔再進場（第二買點）,2008.TW,31.1,1.97,30.5,1.9,1.06,1.2,波段回檔再進場（第二買點）,2026-08-26,✅
