訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期
BUY,大跌中融資逆勢買,2313.TW,199.0,-6.13,191.0,4.0,0.8,1.2,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,3211.TWO,354.0,-8.17,348.5,1.6,0.8,0.9,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,2497.TW,53.7,-3.76,53.2,0.9,0.78,0.6,大跌中融資逆勢加碼,2026-07-20
BUY,吊燈出場（Chandelier Exit）,2924.TWO,18.2,3.11,17.7,3.0,0.78,0.8,多頭｜停利 17.7,2026-07-20
BUY,大跌中融資逆勢買,5211.TWO,19.2,-3.99,19.1,0.5,0.78,0.4,大跌中融資逆勢加碼,2026-07-20
BUY,吊燈出場（Chandelier Exit）,6969.TW,26.4,10.0,23.7,10.1,0.77,9.1,多頭｜停利 23.7,2026-07-20
BUY,大跌中融資逆勢買,6456.TW,61.6,-4.94,60.4,1.9,0.72,0.6,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,2340.TW,31.2,-3.7,30.2,3.2,0.71,0.5,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,3162.TWO,67.5,-4.39,65.6,2.8,0.71,1.4,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,3444.TWO,75.1,-3.72,74.2,1.2,0.71,0.6,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,2719.TWO,22.5,-5.45,22.0,2.4,0.7,2.0,大跌中融資逆勢加碼,2026-07-20
BUY,吊燈出場（Chandelier Exit）,5398.TWO,15.5,9.93,16.5,6.7,0.69,1.0,多頭｜停利 16.5,2026-07-20
BUY,吊燈出場（Chandelier Exit）,2254.TW,61.2,4.44,59.1,3.4,0.67,4.9,多頭｜停利 59.1,2026-07-20
BUY,吊燈出場（Chandelier Exit）,8905.TWO,30.0,3.28,29.1,3.0,0.67,1.9,多頭｜停利 29.1,2026-07-20
BUY,大跌中融資逆勢買,3339.TWO,34.5,-4.56,33.1,4.2,0.49,0.8,大跌中融資逆勢加碼,2026-07-20
