code,name,weight,shares,asof
2330,台積電,10.27,11864000.0,2026-09-14
2383,台光電,9.16,4750000.0,2026-09-14
2454,聯發科,8.54,5186000.0,2026-09-14
3017,奇鋐,7.2,5949000.0,2026-09-14
3037,欣興,7.13,20300000.0,2026-09-14
6669,緯穎,5.39,6490561.0,2026-09-14
6223,旺矽,5.14,2546000.0,2026-09-14
3653,健策,5.13,2477000.0,2026-09-14
2327,國巨*,4.88,24987000.0,2026-09-14
2303,聯電,4.5,89118000.0,2026-09-14
