code,name,weight,shares,asof
2330,台積電,10.24,11864000.0,2026-09-11
2383,台光電,8.99,4750000.0,2026-09-11
2454,聯發科,8.62,5186000.0,2026-09-11
3017,奇鋐,7.25,5949000.0,2026-09-11
3037,欣興,7.11,20300000.0,2026-09-11
6669,緯穎,5.36,6490561.0,2026-09-11
3653,健策,5.05,2477000.0,2026-09-11
6223,旺矽,5.04,2546000.0,2026-09-11
2327,國巨*,5.03,24987000.0,2026-09-11
2345,智邦,4.47,6464000.0,2026-09-11
