code,name,weight,shares,asof
2330,台積電,10.47,11864000.0,2026-09-16
2383,台光電,8.95,4750000.0,2026-09-16
2454,聯發科,8.71,5186000.0,2026-09-16
3037,欣興,7.23,20300000.0,2026-09-16
3017,奇鋐,7.0,5949000.0,2026-09-16
6223,旺矽,5.28,2546000.0,2026-09-16
6669,緯穎,5.21,6490561.0,2026-09-16
2327,國巨*,4.96,24987000.0,2026-09-16
3653,健策,4.88,2512000.0,2026-09-16
2303,聯電,4.69,89118000.0,2026-09-16
