code,name,weight,shares,asof
2330,台積電,10.39,11864000.0,2026-09-18
2454,聯發科,8.7,5186000.0,2026-09-18
2383,台光電,8.27,4750000.0,2026-09-18
3017,奇鋐,7.26,5949000.0,2026-09-18
3037,欣興,7.09,20300000.0,2026-09-18
6223,旺矽,5.26,2546000.0,2026-09-18
2303,聯電,4.95,89118000.0,2026-09-18
3653,健策,4.94,2512000.0,2026-09-18
2327,國巨*,4.89,24987000.0,2026-09-18
6669,緯穎,4.55,5972561.0,2026-09-18
