code,yoy,rev
1264,8.67,382058.0
1294,-1.47,21712.0
1780,20.45,66390.0
1796,29.98,52817.0
4205,8.12,155049.0
4207,23.64,418028.0
6846,-23.5,48739.0
4303,4.57,31557.0
4304,5.35,40811.0
4305,-0.65,83076.0
9950,209.1,127168.0
4401,-5.87,405554.0
4402,-15.07,12943.0
4406,9.76,46464.0
4413,19.06,39503.0
4417,62.64,345959.0
4420,4.61,79679.0
4432,32.96,127395.0
4433,-11.19,295216.0
6506,19.51,223516.0
1570,19.17,70824.0
1580,11.83,371223.0
1586,-15.13,176548.0
1599,-6.25,276384.0
2066,28.82,250045.0
2067,51.37,115119.0
2070,-23.04,29233.0
2235,-12.5,51170.0
3162,43.93,131008.0
3226,-7.0,250629.0
3379,-41.52,22853.0
3685,-5.41,99981.0
4502,10.61,131150.0
4503,29.2,13467.0
4506,15.33,376130.0
4510,-16.54,168301.0
4513,-24.09,125366.0
4523,-7.57,41508.0
4527,-17.3,177631.0
4528,-37.11,139518.0
4533,-41.63,220533.0
4534,-40.13,73323.0
4535,20.88,272330.0
4538,-1.96,40943.0
4543,8.49,87864.0
4549,19.96,109432.0
4550,-23.36,111387.0
4558,26.43,210872.0
4561,-5.02,100701.0
4563,61.46,224370.0
4568,13.37,130631.0
4580,13.74,236696.0
4584,-8.33,89374.0
5381,-23.14,25228.0
6122,-3.93,130266.0
6125,46.28,457242.0
6425,-23.29,142357.0
6603,16.0,432836.0
6609,1.48,280867.0
6843,-50.53,59638.0
8027,50.18,327026.0
8083,-28.28,156525.0
8107,-34.86,62276.0
8255,-1.22,322647.0
9951,-16.07,323433.0
2061,-26.1,64730.0
1742,-8.86,35961.0
3430,16.6,154209.0
4706,12.37,144960.0
4707,146.77,145906.0
4711,-9.65,105321.0
4714,48.48,79014.0
4716,-11.62,67097.0
4721,84.24,528316.0
4741,-13.83,37370.0
4754,-36.93,28345.0
4767,0.86,112478.0
4768,73.8,96635.0
4772,-35.42,51279.0
6509,23.71,464742.0
1565,-12.73,384201.0
1777,1.23,87240.0
1781,-40.12,41304.0
1784,17.98,82030.0
1788,236.11,981653.0
1799,-64.53,9336.0
1813,-10.91,33865.0
3118,-1.76,50096.0
3176,8.59,61590.0
3205,-5.93,46642.0
3218,12.34,234727.0
4102,-11.16,42766.0
4105,10.41,418208.0
4107,6.63,161381.0
4109,52.31,26920.0
4111,17.23,96703.0
4114,44.53,388153.0
4116,137.36,285880.0
4120,3.8,388692.0
4121,17.58,431625.0
4123,72.46,80745.0
4126,13.26,181590.0
4127,3.69,38909.0
4128,-18.13,150306.0
4129,16.17,233994.0
4131,-0.5,5706.0
4138,21.79,88337.0
4147,-39.55,31306.0
4153,11.67,71539.0
4160,10.62,43673.0
4161,25.81,56240.0
4162,23.85,22873.0
4163,22.22,204637.0
4166,12.95,47953.0
4167,-34.63,114481.0
4168,118.28,561.0
4173,2.54,86822.0
4174,-83.31,1280.0
4175,27.68,742912.0
4183,-30.33,25201.0
4188,-17.91,4770.0
4192,154.02,1072.0
4198,214.68,26031.0
4726,48.75,76628.0
4728,75.52,111056.0
4735,-29.01,107577.0
4743,141.91,5518.0
4744,-9.29,62773.0
4747,9.15,37791.0
4905,2.78,6746.0
4911,160.04,2577.0
5312,1.16,221752.0
6130,-20.77,8504.0
6242,181.75,72896.0
6461,173.91,3276.0
6469,36.49,1471035.0
6492,66.0,83.0
6496,-56.22,51048.0
6499,-62.92,11520.0
6523,-18.46,62055.0
6527,1.94,59485.0
6535,185.71,60.0
6547,,2319.0
6569,31.0,105654.0
6574,18.09,49599.0
6576,-60.17,42371.0
6612,51.2,46315.0
6615,-6.62,44534.0
6620,11.66,2068.0
6637,5.79,33822.0
6649,189.67,9765.0
6661,17.98,22969.0
6662,13.41,17924.0
6703,36.4,150531.0
6712,76.58,53231.0
6730,43.72,46874.0
6733,612.96,1925.0
6762,-37.2,27246.0
6767,81.55,17248.0
6785,,0.0
6841,269.12,3599.0
6844,19.17,467113.0
6872,,0.0
6875,,0.0
8279,18.54,176414.0
8403,12.91,357287.0
8409,-28.82,9205.0
8432,-0.36,36487.0
8436,-13.9,630766.0
2035,-9.77,1343096.0
2063,39.21,159513.0
2064,-9.79,224272.0
2065,-17.64,200859.0
2073,-6.62,52664.0
4950,-30.61,14313.0
5009,50.62,1024022.0
5011,3.6,379750.0
5013,12.95,802700.0
5014,30.34,2037479.0
5015,23.89,226811.0
5016,-14.05,223089.0
6248,37.6,467747.0
8349,-3.78,773850.0
8415,40.57,2277494.0
8930,-0.63,103622.0
9962,6.5,228412.0
1595,-4.94,162270.0
3105,-11.23,1828715.0
3122,-20.92,47385.0
3131,7.33,286719.0
3141,36.08,258928.0
3169,15.11,111159.0
3178,7.07,112609.0
3227,-37.38,552508.0
3228,-62.68,29591.0
3259,-47.38,30966.0
3260,-22.78,2805579.0
3264,27.18,1202420.0
3265,65.7,370106.0
3268,-18.66,136189.0
3317,6.34,234591.0
3372,-26.41,120067.0
3374,49.44,715312.0
3438,-24.58,104165.0
3527,-9.02,248857.0
3529,46.49,233284.0
3555,-49.64,1205.0
3556,-3.87,149559.0
3567,-3.57,35106.0
3581,34.55,116655.0
3675,12.03,192275.0
3680,35.95,319884.0
3707,31.68,751116.0
4749,40.27,189584.0
4923,17.08,112111.0
4951,1.52,51519.0
4973,-25.73,304443.0
5272,14.22,55225.0
5274,52.7,465679.0
5299,13.95,260121.0
5302,-45.16,1118.0
5344,-26.65,24488.0
5347,56.03,5320008.0
5351,9.34,461448.0
5425,23.96,1306509.0
5443,-39.86,352713.0
5468,62.14,18734.0
5483,28.17,6914330.0
5487,-45.65,20673.0
6103,112.4,6009.0
6104,22.79,287973.0
6129,20.4,169908.0
6138,37.47,745807.0
6147,-3.97,2254143.0
6182,21.77,1010866.0
6187,-4.46,252452.0
6208,9.6,317217.0
6223,13.2,615917.0
6229,-15.56,151141.0
6233,18.38,38730.0
6237,-44.0,87818.0
6261,-7.59,426722.0
6291,47.71,122941.0
6411,7.25,312296.0
6423,67.95,21394.0
6435,49.85,369509.0
6462,5.48,239580.0
6485,4.84,160332.0
6488,25.75,6042621.0
6494,-13.0,181165.0
6510,15.58,413843.0
6532,13.53,50064.0
6548,26.17,1271519.0
6568,23.5,123104.0
6640,-46.07,126233.0
6643,49.59,98508.0
6651,19.38,156010.0
6679,-10.3,220456.0
6683,11.33,125213.0
6684,-14.08,44313.0
6693,33.04,127380.0
6708,3.09,34132.0
6716,24.35,102840.0
6720,-48.77,19514.0
6732,-29.31,400430.0
6788,52.17,143294.0
6823,51.71,93523.0
6829,-14.09,179055.0
6895,17.06,32446.0
6996,-37.99,198281.0
7556,37.75,51789.0
8024,-21.95,36529.0
8040,-0.28,91254.0
8054,7.1,130237.0
8086,-47.99,197071.0
8088,20.65,135510.0
8091,11.57,142028.0
8227,72.66,58257.0
8277,175.73,42753.0
8299,-10.47,5099437.0
8383,7.85,374300.0
1569,44.79,428843.0
3071,9.81,233171.0
3088,46.42,532561.0
3211,2.17,1669371.0
3213,-31.42,239855.0
3272,28.93,417186.0
3287,-59.29,21950.0
3323,-58.37,460924.0
3325,3.34,109749.0
3349,-55.99,45398.0
3479,71.52,672291.0
3483,18.68,655182.0
3540,-42.33,230726.0
3577,-14.5,81885.0
3594,3.33,136665.0
3611,19.19,672890.0
3625,-13.61,198508.0
3693,65.76,443574.0
3709,-4.06,1596926.0
4931,150.4,212898.0
5289,-3.26,947052.0
5356,-2.01,252569.0
5386,122.78,389395.0
5426,30.96,178608.0
5438,31.6,170481.0
5465,-6.71,417673.0
5474,-44.61,120843.0
5490,128.53,143663.0
6121,-1.12,7933326.0
6150,-57.06,296661.0
6160,-10.16,112059.0
6161,-9.77,146981.0
6188,7.91,901917.0
6228,78.15,9681.0
6276,16.02,127007.0
6441,-92.25,28657.0
6570,20.75,87367.0
6577,-12.69,102345.0
6680,46.4,43222.0
6922,-2.16,83920.0
8050,-39.42,444187.0
8076,0.19,231250.0
8234,29.88,598679.0
8410,16.8,109372.0
3066,-39.77,23296.0
3128,10.38,82440.0
3230,-37.93,89119.0
3297,-1.35,21269.0
3339,-37.82,50506.0
3362,45.59,377934.0
3434,-12.03,72493.0
3441,8.06,40283.0
3455,41.33,283504.0
3490,22.46,46249.0
3516,-36.32,56691.0
3523,-51.68,11814.0
3531,26.86,217822.0
3615,1.17,99291.0
