code,yoy,rev
1264,14.58,538142.0
1294,27.28,74333.0
1295,-1.43,85742.0
1780,28.89,67455.0
1796,-57.14,33155.0
4205,2.05,165522.0
4207,-3.32,538711.0
6846,25.32,76522.0
7743,33.93,61765.0
4303,123.25,20859.0
4304,-56.01,28808.0
4305,13.83,97983.0
9950,-25.3,221153.0
4401,50.74,329370.0
4402,-71.82,932.0
4406,32.72,32300.0
4413,-47.08,8875.0
4417,3.22,278087.0
4420,24.96,70545.0
4432,-33.51,54171.0
4433,47.19,281067.0
6506,57.67,166658.0
1570,332.02,105155.0
1580,15.11,428983.0
1586,6.99,187951.0
1599,41.99,118478.0
2066,-0.71,239912.0
2067,-19.74,89494.0
2070,41.44,59792.0
2235,-23.5,37839.0
3162,13.73,316621.0
3226,5.57,230939.0
3379,164.0,56420.0
3685,-16.31,100493.0
4502,1.38,133841.0
4503,110.98,31432.0
4506,-14.08,423956.0
4510,-30.06,132564.0
4513,-35.17,86663.0
4523,-15.04,39665.0
4527,26.7,319156.0
4528,4.7,140219.0
4533,-49.08,225299.0
4534,14.9,73243.0
4535,11.52,252985.0
4538,-29.07,29447.0
4543,-4.84,87961.0
4549,3.5,114074.0
4550,-15.66,93058.0
4558,-36.54,99559.0
4561,32.36,144375.0
4563,33.55,263669.0
4568,9.33,112410.0
4580,-17.67,203693.0
4584,23.34,108236.0
5381,-36.56,140067.0
6122,-37.33,287258.0
6125,-48.48,308022.0
6425,22.96,195073.0
6603,23.34,409207.0
6609,-11.66,230864.0
6843,-20.13,65272.0
6982,-3.25,130062.0
7642,21.61,63156.0
7709,-46.95,120118.0
7718,-1.03,196930.0
8027,115.15,207252.0
8083,73.9,156896.0
8107,37.38,84703.0
8255,74.81,712173.0
9951,19.21,482385.0
2061,61.35,118251.0
1742,-61.78,27053.0
3430,8.31,126420.0
4706,25.95,112106.0
4707,16.92,191450.0
4711,5.25,62035.0
4714,91.32,64833.0
4716,35.71,50997.0
4721,0.15,206774.0
4741,-9.37,47304.0
4754,-25.64,52100.0
4767,-10.99,102150.0
4768,21.01,78923.0
4772,68.67,71169.0
6509,8.1,445202.0
1565,-7.49,343133.0
1777,15.13,115111.0
1781,122.67,57544.0
1784,-0.97,100603.0
1788,8.39,334774.0
1799,172.51,36871.0
1813,-9.11,30047.0
3118,6.43,56333.0
3176,93.24,142100.0
3205,0.49,39746.0
3218,12.88,342803.0
4102,74.33,68226.0
4105,-9.25,444209.0
4107,12.18,174019.0
4109,51.63,44491.0
4111,10.67,100496.0
4114,6.28,483038.0
4116,-0.55,388653.0
4120,-10.85,353382.0
4121,-12.32,311852.0
4123,33.83,150836.0
4126,-8.67,191071.0
4127,-23.04,29755.0
4128,16.29,137665.0
4129,24.99,393923.0
4131,10.89,5355.0
4138,-3.3,133839.0
4147,51.19,45723.0
4153,-12.51,66804.0
4160,12.11,59122.0
4161,15.52,80255.0
4162,228.63,86700.0
4163,21.37,230946.0
4166,27.95,102887.0
4167,130.6,142790.0
4168,-98.41,14.0
4173,14.21,111479.0
4174,271.33,6684.0
4175,1.94,630135.0
4183,86.29,56102.0
4188,21.4,7340.0
4192,1.51,1871.0
4198,-0.03,18206.0
4726,-43.14,59600.0
4728,26.1,147875.0
4735,-16.37,66390.0
4743,22.95,7413.0
4744,155.28,107499.0
4747,-0.74,49589.0
4905,568.34,54276.0
4911,34.01,20094.0
5312,3.1,328380.0
6130,-18.36,20220.0
6242,-15.27,52743.0
6461,-41.25,1723.0
6469,6.1,1463581.0
6492,0.0,83.0
6496,19.92,76515.0
6499,18.92,20691.0
6523,-7.41,72444.0
6527,2.01,69897.0
6535,-58.65,4280.0
6547,,84006.0
6569,-27.98,71437.0
6574,-18.14,51114.0
6576,8280.66,12571.0
6612,-0.33,57506.0
6615,-3.48,39755.0
6620,-17.31,73614.0
6637,5.6,49780.0
6649,-31.1,9485.0
6661,32.69,33283.0
6662,6.5,23930.0
6703,66.1,361980.0
6712,11.28,60120.0
6730,-5.05,38847.0
6733,-54.76,13001.0
6762,4.43,50818.0
6767,19.01,29593.0
6785,,0.0
6841,660.89,37748.0
6844,-5.34,306411.0
6872,,0.0
6875,,9542.0
6929,0.33,270115.0
6945,,0.0
6986,446.16,39575.0
7713,3.38,80348.0
8279,21.38,178481.0
8403,20.61,374879.0
8409,9.83,9546.0
8432,65.0,90742.0
8436,7.14,711249.0
2035,13.76,1174487.0
2063,-43.31,83687.0
2064,27.87,159761.0
2065,24.5,213208.0
2073,28.48,55557.0
4950,-94.98,347.0
5009,-5.81,1123187.0
5011,-2.07,346915.0
5013,17.19,694378.0
5014,15.89,1516168.0
5015,0.88,143943.0
5016,2.42,182024.0
6248,4.97,785132.0
8349,3.36,1036830.0
8415,-10.54,1963639.0
8930,10.74,127395.0
9962,-9.53,273927.0
1595,-52.55,77412.0
3105,21.12,1653217.0
3122,10.48,32201.0
3131,9.32,300092.0
3141,-5.62,124966.0
3169,1.76,86105.0
3178,-19.88,124782.0
3227,60.79,683379.0
3228,242.18,69412.0
3259,-35.85,18171.0
3260,31.51,3227273.0
3264,-1.18,1141778.0
3265,20.97,351319.0
3268,-32.82,90203.0
3317,1.14,196724.0
3372,1.39,81526.0
3374,32.85,587416.0
3438,0.73,85640.0
3467,19.2,56784.0
3527,13.93,176305.0
3529,11.17,283455.0
3555,162.67,2083.0
3556,-7.95,94919.0
3567,-21.01,28507.0
3581,17.3,107276.0
3675,35.87,205425.0
3680,61.53,562056.0
3707,-26.92,491994.0
4749,40.61,257685.0
4923,40.2,70139.0
4951,30.86,44905.0
4973,-5.75,365604.0
5272,-13.33,22513.0
5274,92.9,435334.0
5299,-4.15,153542.0
5302,-66.27,1136.0
5344,26.72,29306.0
5347,13.72,3570413.0
5351,27.87,331440.0
5425,-1.42,1219426.0
5443,16.69,300456.0
5468,-10.14,9642.0
5483,0.5,6722662.0
5487,19.77,14661.0
6103,-5.92,3839.0
6104,18.74,244216.0
6129,-30.25,87813.0
6138,12.97,501161.0
6147,-7.76,1753738.0
6182,-13.21,755674.0
6187,337.04,403594.0
6208,-12.86,332343.0
6223,19.75,802183.0
6229,90.71,188015.0
6233,9.39,37128.0
6237,-31.24,29888.0
6261,39.68,406910.0
6291,-33.61,124659.0
6411,-17.29,218336.0
6423,5.64,12152.0
