code,yoy,rev
1264,-1.52,595343.0
1294,115.78,57376.0
1295,11.63,83061.0
1780,-28.49,39113.0
1796,2.51,58846.0
4205,0.63,173415.0
4207,0.99,428020.0
6846,17.0,83466.0
4303,-42.31,14972.0
4304,-72.02,26014.0
4305,21.17,82002.0
9950,-21.81,220819.0
4401,-1.36,201700.0
4402,-69.08,4593.0
4406,2.13,42039.0
4413,48.66,35100.0
4417,2.62,250445.0
4420,10.24,72285.0
4432,3.81,103355.0
4433,56.05,419530.0
6506,-19.17,139303.0
1570,-35.75,41150.0
1580,23.81,449218.0
1586,12.19,231337.0
1599,-24.68,160592.0
2066,-0.97,227593.0
2067,-31.59,81395.0
2070,107.52,101515.0
2235,69.43,53908.0
3162,37.54,423892.0
3226,78.09,197737.0
3379,45.36,123774.0
3685,-1.82,144820.0
4502,41.39,170482.0
4503,82.19,30389.0
4506,24.97,471562.0
4510,9.5,160172.0
4513,-23.95,106460.0
4523,35.99,50285.0
4527,62.56,538164.0
4528,-1.78,183839.0
4533,-37.01,208445.0
4534,-19.49,59600.0
4535,-16.19,216582.0
4538,-31.75,28899.0
4543,9.0,62389.0
4549,19.8,124887.0
4550,80.99,236467.0
4558,-27.31,71495.0
4561,-1.34,101434.0
4563,5.53,319422.0
4568,-8.37,81368.0
4580,-14.1,156685.0
4584,6.46,90011.0
5381,251.49,88437.0
6122,44.59,499445.0
6125,-34.09,300841.0
6425,46.19,242883.0
6603,10.02,468559.0
6609,-47.93,200573.0
6843,14.77,87200.0
6982,-7.09,131258.0
7642,-32.55,65616.0
7709,-40.56,114306.0
7718,-15.94,192266.0
8027,-5.32,195849.0
8083,15.81,92666.0
8107,-26.17,56609.0
8255,46.11,548892.0
9951,-10.32,454478.0
2061,-9.72,84559.0
1742,-56.9,12359.0
3430,-3.41,108349.0
4706,12.81,92536.0
4707,-8.55,152052.0
4711,5.65,57055.0
4714,-33.53,45074.0
4716,-15.43,38698.0
4721,-43.64,175626.0
4741,-13.98,61431.0
4754,-16.56,41213.0
4767,-18.83,108819.0
4768,-34.72,67859.0
4772,99.41,73095.0
6509,-10.05,340991.0
1565,4.7,381134.0
1777,18.57,88534.0
1781,-42.28,55002.0
1784,10.21,102961.0
1788,1.78,349223.0
1799,286.4,67656.0
1813,1.35,24448.0
3118,-20.68,67978.0
3176,33.64,87302.0
3205,-8.59,36059.0
3218,0.53,337057.0
4102,-17.36,45724.0
4105,12.11,482877.0
4107,-0.42,176478.0
4109,-23.84,24751.0
4111,-12.9,90588.0
4114,-6.25,433795.0
4116,5.37,415609.0
4120,-9.69,401958.0
4121,-7.37,341929.0
4123,106.3,145104.0
4126,-18.34,169312.0
4127,-13.2,36666.0
4128,-3.13,137715.0
4129,20.74,346536.0
4131,-73.93,2538.0
4138,0.26,139811.0
4147,-39.22,58827.0
4153,-19.93,71931.0
4160,3.66,56874.0
4161,-3.24,68547.0
4162,26.43,146825.0
4163,-25.0,166892.0
4166,176.5,90676.0
4167,30.4,107429.0
4168,-100.0,0.0
4173,6.55,104008.0
4174,1301.37,7119.0
4175,0.6,740174.0
4183,-22.93,28929.0
4188,101.67,10251.0
4192,25.73,2130.0
4198,3.94,21775.0
4726,-26.12,75478.0
4728,12.92,123227.0
4735,-44.28,45911.0
4743,31.63,8280.0
4744,39.27,232390.0
4747,-3.82,50513.0
4905,86.18,9460.0
4911,67.57,18177.0
5312,5.83,322504.0
6130,133.7,19365.0
6242,-13.11,55411.0
6461,-64.91,293.0
6469,6.73,1363246.0
6492,0.0,84.0
6496,0.72,68079.0
6499,39.09,21854.0
6523,35.71,99195.0
6527,-8.08,66220.0
6535,-0.63,8962.0
6547,305.88,23517.0
6569,-1.71,155614.0
6574,4.0,62554.0
6576,208.24,28762.0
6612,-30.88,36132.0
6615,-1.53,40412.0
6620,-20.82,113948.0
6637,95.91,124341.0
6649,-73.65,4644.0
6661,6.91,26785.0
6662,32.34,35454.0
6703,61.33,239976.0
