code,yoy,rev
1101,-3.36,9885013.0
1102,-7.22,6683133.0
1103,-6.02,152585.0
1104,-3.53,366990.0
1108,22.87,366847.0
1109,-14.03,625696.0
1110,-18.15,98636.0
1201,-7.47,1860519.0
1203,-11.17,509509.0
1210,-2.25,6771132.0
1213,27.43,64820.0
1215,3.08,1892166.0
1216,-0.27,41212854.0
1217,0.26,639670.0
1218,2.48,853882.0
1219,-2.45,975254.0
1220,-0.54,260431.0
1225,-10.85,826403.0
1227,4.01,3167337.0
1229,-43.41,701837.0
1231,14.05,900089.0
1232,-3.05,1457410.0
1233,-14.03,170359.0
1234,4.36,983169.0
1235,48.55,9481.0
1236,-13.72,146991.0
1702,5.31,1626214.0
1737,-0.6,257340.0
3054,2.38,13374.0
1301,-13.73,14622498.0
1303,-6.6,22209740.0
1304,-15.4,4006402.0
1305,-23.37,1058853.0
1307,-27.98,677965.0
1308,-22.81,407986.0
1309,-4.58,1366998.0
1310,-39.18,654054.0
1312,-10.96,1443785.0
1313,-6.6,4621335.0
1314,-56.42,1242352.0
1315,-19.27,191602.0
1321,4.3,447705.0
1323,-14.71,252044.0
1324,-6.02,86992.0
1325,761.55,452980.0
1326,-26.94,18984099.0
4306,-19.37,1156332.0
1402,-17.53,16731731.0
1409,-12.15,2949597.0
1410,-11.8,31428.0
1413,-52.99,100864.0
1414,-4.42,58930.0
1417,-28.41,81197.0
1418,-73.09,3575.0
1419,-7.14,155070.0
1423,-67.33,13614.0
1434,-27.73,2189192.0
1440,-34.39,1230819.0
1441,48.34,178603.0
1444,-34.31,696679.0
1445,-24.04,67213.0
1446,79.47,81594.0
1447,-10.61,960407.0
1449,20.66,239951.0
1451,-9.08,657733.0
1452,-26.89,110149.0
1454,-53.74,63413.0
1455,-25.07,715912.0
1457,-50.91,193402.0
1459,-41.75,124555.0
1460,-16.23,600632.0
1463,-65.28,26967.0
1464,-36.05,640626.0
1465,-40.28,27972.0
1466,-15.22,227247.0
1467,70.35,1118168.0
1468,-17.96,68829.0
1470,-41.23,51766.0
1473,-25.2,578104.0
1474,-22.38,225541.0
1475,147.59,10597.0
1476,-17.84,2040791.0
1477,28.94,3116299.0
4414,-4.73,1703554.0
4426,-51.12,115635.0
4438,-19.66,1813260.0
4440,-20.66,101178.0
1503,-6.48,1935498.0
1504,0.59,3678179.0
1506,-37.05,61639.0
1513,58.93,1324092.0
1514,4.92,362926.0
1515,54.61,1127421.0
1517,36.8,327135.0
1519,39.74,918051.0
1526,36.39,127903.0
1527,0.29,318383.0
1528,-13.24,281561.0
1529,155.78,127794.0
1530,-8.47,256838.0
1531,-20.49,142660.0
1532,12.79,1179290.0
1535,-9.29,746497.0
1537,-11.77,597914.0
1538,-16.08,25726.0
1539,68.72,198573.0
1540,-66.91,22063.0
1541,-2.17,408445.0
1558,21.89,815229.0
1560,7.15,432477.0
1583,3.8,437724.0
1597,7.52,121215.0
2049,15.73,1819821.0
2371,-21.39,2268775.0
3167,62.59,239039.0
4526,-38.62,557146.0
4532,32.97,1439605.0
4540,33.34,261871.0
4555,33.85,139953.0
4562,-32.81,49558.0
4564,-16.89,185703.0
4566,-15.67,292724.0
4572,-68.09,22735.0
4576,19.73,189366.0
6606,23.26,48168.0
8222,-53.1,32584.0
8374,-11.38,205012.0
8996,-40.98,138527.0
1603,-18.17,139681.0
1604,12.34,647857.0
1605,-8.36,8849975.0
1608,-17.11,574345.0
1609,4.37,1528848.0
1611,-9.67,176437.0
1612,44.38,427866.0
1614,5.47,477949.0
1615,28.49,299534.0
1616,-34.11,212801.0
1617,11.09,261718.0
1618,60.23,276791.0
4930,21.79,1053882.0
5283,11.22,651556.0
1708,-14.1,335463.0
1709,-21.79,617786.0
1710,-28.11,1300138.0
1711,-24.32,592948.0
1712,-2.58,1404696.0
1713,-31.07,36333.0
1714,-12.96,1794327.0
1717,-6.85,3171998.0
1718,-15.97,2433210.0
1721,-27.08,199617.0
1722,-5.6,817293.0
1723,-39.26,432718.0
1725,-27.71,489844.0
1726,-5.95,594184.0
1727,-33.42,140909.0
1730,4.44,244761.0
1732,-3.02,45855.0
1735,-19.08,215671.0
1773,-10.28,611046.0
1776,-13.34,108532.0
4720,-4.26,264198.0
4722,-6.72,310353.0
4739,-32.48,412698.0
4755,10.14,352585.0
4764,-29.87,198121.0
4766,-14.6,1262664.0
4770,-9.15,170503.0
1707,0.75,678882.0
1720,4.34,345579.0
1731,12.17,98741.0
1733,18.91,165562.0
1734,10.64,204066.0
1752,-24.12,136853.0
1760,1.11,166011.0
1762,225.83,98590.0
1783,-5.36,37624.0
1786,118.36,70193.0
1789,-28.94,146250.0
1795,19.28,747953.0
3164,0.26,21028.0
3705,-17.95,579203.0
4104,-5.1,569144.0
4106,-9.0,144875.0
4108,41.44,9481.0
4119,-4.39,200510.0
4133,36.06,45825.0
4142,-21.86,168283.0
4155,2.31,107176.0
4164,-37.04,176158.0
4169,22.86,51696.0
4195,-2.15,34250.0
4736,21.03,432833.0
4737,7.58,151697.0
4746,18.36,292692.0
6446,8533.03,39194.0
6472,-22.1,132101.0
6491,23.98,349540.0
6534,31.86,5698.0
6589,74.07,54220.0
6645,104.17,34993.0
6657,-28.8,561.0
6782,-19.01,102945.0
6794,-83.02,449.0
6796,162.63,34103.0
1802,16.3,4173931.0
1806,-19.18,328988.0
1809,-27.8,143107.0
1810,-19.77,367048.0
1817,2.25,197882.0
1903,-0.84,11260.0
1904,-8.34,3117609.0
1905,-10.5,1457853.0
1906,-7.25,93623.0
1907,-4.38,6140800.0
1909,-0.02,3862390.0
6790,-6.77,793490.0
2002,-16.66,25832421.0
2006,-11.53,3196799.0
2007,-8.19,498115.0
2008,9.02,77456.0
2009,-19.95,173102.0
2010,35.5,1687127.0
2012,-18.11,649699.0
2013,-19.73,972322.0
2014,-4.76,3217111.0
2015,-5.27,2011691.0
2017,16.59,430941.0
2020,32.1,476535.0
2022,-45.87,528155.0
2023,-8.74,4781153.0
2024,8.16,111342.0
2025,-2.3,59475.0
2027,-27.96,4844581.0
2028,-27.72,616369.0
2029,-12.93,801842.0
2030,-18.05,874900.0
2031,30.62,953174.0
2032,8.12,280860.0
2033,-20.71,56136.0
2034,-37.24,1018752.0
2038,3.4,510825.0
2069,-11.21,645619.0
2211,-15.59,800599.0
3004,-52.29,117802.0
5007,-24.05,426295.0
9958,253.46,707017.0
2101,15.93,1032112.0
2102,34.66,614698.0
2103,-23.78,1734840.0
2104,-20.95,1908989.0
2105,1.18,9394543.0
2106,-2.98,2694109.0
2107,150.21,428307.0
2108,-4.26,1122938.0
2109,1.17,485643.0
2114,-5.71,132008.0
6582,9.72,419039.0
1319,-14.51,1430624.0
1339,-9.33,195660.0
1512,-44.55,74947.0
1521,-40.9,273921.0
1522,-14.63,1260148.0
1524,-15.2,170689.0
1525,51.9,81583.0
1533,-8.57,228284.0
1536,-18.71,420769.0
1563,-6.56,413861.0
1568,-12.82,158701.0
1587,32.31,163865.0
2201,-0.56,6567852.0
2204,17.86,2346776.0
2206,32.0,3734142.0
2207,1.06,14479821.0
2227,-5.06,2128107.0
2228,-29.83,267486.0
2231,-8.17,297361.0
2233,10.33,202039.0
2237,-98.97,317.0
2241,-11.31,67776.0
2247,52.13,3341580.0
2497,-27.99,134078.0
3346,-2.29,365218.0
4551,4.33,686558.0
6605,-7.65,1182332.0
2302,63.51,66481.0
2303,12.57,14841818.0
2329,-40.24,1054756.0
2330,15.79,122878244.0
2337,-16.79,3154192.0
2338,5.76,360231.0
2340,-8.54,491055.0
2342,40.58,159312.0
2344,-0.68,4432501.0
2351,0.31,699969.0
2363,-15.23,13869.0
2369,5.13,459811.0
2379,40.67,7300353.0
2388,11.48,527631.0
2401,35.74,644183.0
2408,-6.73,4870327.0
2434,-7.41,11086.0
2436,19.46,244685.0
2441,12.92,1282981.0
2449,3.99,2501503.0
2451,-25.35,811792.0
2454,41.97,32716126.0
2458,69.42,1523422.0
2481,17.04,916428.0
3006,5.48,1224451.0
3014,37.52,486664.0
3016,10.83,314278.0
3034,30.81,7283388.0
3035,-5.12,501862.0
3041,10.48,205644.0
3094,-17.69,18070.0
3150,62.77,38842.0
3189,10.59,2232816.0
3257,45.85,102563.0
3413,39.51,841669.0
3443,38.72,1184762.0
3450,9.57,547073.0
3530,24.84,300869.0
3532,28.01,962987.0
3545,53.9,1237745.0
3583,-20.6,295995.0
3588,30.98,120202.0
3592,3.1,1278268.0
3686,14.73,11265.0
3711,4.75,41944147.0
4919,15.64,1134860.0
4952,25.61,281850.0
4961,29.87,959502.0
4967,31.2,657472.0
4968,101.89,551553.0
