code,yoy,rev
1264,-5.93,297375.0
1780,-6.38,63272.0
1796,-4.12,29177.0
4205,2.46,124509.0
4207,-4.44,303652.0
4303,-15.01,35645.0
4304,-31.66,24980.0
4305,-7.51,81268.0
9950,15.09,253363.0
4401,-3.4,315182.0
4402,-43.12,16162.0
4406,-40.27,42144.0
4413,-23.56,37538.0
4417,-19.0,290977.0
4420,-32.11,58668.0
4432,-14.84,142567.0
4433,8.99,117108.0
6506,-19.24,136320.0
1570,-17.25,56974.0
1580,-9.63,330937.0
1586,-40.47,146699.0
1599,-41.42,110245.0
2066,84.5,209914.0
2067,-42.43,70441.0
2070,-46.38,45048.0
2235,5.88,66627.0
3162,-15.19,50691.0
3226,-4.11,151350.0
3379,116.72,84130.0
3685,-40.53,50907.0
4502,-53.24,113266.0
4503,10.17,34107.0
4506,-10.27,336550.0
4510,-27.15,173509.0
4513,-45.85,137384.0
4523,12.81,94562.0
4527,-1.98,246600.0
4528,-2.67,235449.0
4533,-37.08,210416.0
4534,-10.58,100679.0
4535,-19.27,184756.0
4538,-22.19,37068.0
4543,-31.22,78630.0
4549,13.37,101436.0
4550,-6.34,96109.0
4558,-24.56,83640.0
4561,-40.52,67708.0
4563,-38.92,120406.0
4568,3.71,109203.0
4580,-13.85,171611.0
5381,-28.06,27203.0
6122,-19.53,160243.0
6125,-12.94,457216.0
6425,-30.65,140285.0
6603,-2.16,339399.0
6609,-24.1,233013.0
8027,-29.14,151481.0
8083,8.6,115396.0
8107,-20.95,73875.0
8255,-19.92,252623.0
9951,-12.86,425681.0
2061,-46.49,63159.0
1742,20.61,33876.0
3430,11.46,106110.0
4706,-5.39,127247.0
4707,-18.86,152704.0
4711,-15.58,79011.0
4714,-21.48,35816.0
4716,-15.9,77689.0
4721,-47.83,225733.0
4741,5.24,61741.0
4754,9.32,48305.0
4767,4.69,100410.0
4768,-12.53,39014.0
6509,30.35,335872.0
1565,-5.78,526390.0
1777,13.64,78140.0
1781,-11.09,59899.0
1784,-4.44,60640.0
1788,2.41,286896.0
1799,21.57,59822.0
1813,-8.07,35478.0
3118,-14.13,55498.0
3176,13.21,38825.0
3205,14.16,45510.0
3218,23.39,120405.0
4102,18.47,37674.0
4105,-0.44,364484.0
4107,18.16,162018.0
4109,0.92,36226.0
4111,12.67,87530.0
4114,1.51,197849.0
4116,2.31,122858.0
4120,13.76,507852.0
4121,-1.14,262653.0
4123,-96.35,106441.0
4126,54.87,213921.0
4127,-21.28,30319.0
4128,1.43,111171.0
4129,-12.51,174190.0
4131,24.54,10510.0
4138,-2.32,100005.0
4147,590.72,50499.0
4153,16.85,64942.0
4160,23.22,35261.0
4161,21.75,39081.0
4162,230.56,15778.0
4163,38.67,234661.0
4166,16.29,29102.0
4167,-12.03,104377.0
4168,-86.27,49.0
4173,-13.2,66951.0
4174,-13.37,136.0
4175,10.39,463056.0
4183,-6.75,45237.0
4188,322.94,16182.0
4192,17.05,803.0
4198,-29.97,15190.0
4726,33.45,32661.0
4728,114.44,53883.0
4735,16.43,105229.0
4743,-94.73,72.0
4744,32.9,135032.0
4747,-16.02,31810.0
4905,-33.16,5448.0
4911,7503.22,2357.0
5312,6.17,258567.0
6130,13.8,4081.0
6242,-20.7,35840.0
6461,27.23,939.0
6469,38.53,532522.0
6492,-74.62,17.0
6496,-11.37,126922.0
6499,-0.14,31880.0
6523,-18.08,78157.0
6527,38.8,53857.0
6535,4452.08,2185.0
6547,,640.0
6569,58.36,151171.0
6574,31.83,82476.0
6576,-100.0,0.0
6612,35.31,47904.0
6615,20.42,45804.0
