code,yoy,rev
1264,14.37,214857.0
1780,41.93,70035.0
1796,112.13,31767.0
4205,24.05,126131.0
4207,13.31,340178.0
4303,44.28,37720.0
4304,34.66,28444.0
4305,30.19,90403.0
9950,-34.17,125464.0
4401,-3.52,244688.0
4402,-4.36,12850.0
4406,37.72,46138.0
4413,273.29,49962.0
4417,29.55,134304.0
4420,-6.08,65238.0
4432,24.72,110674.0
4433,43.35,133079.0
6506,29.67,186942.0
1570,102.82,44416.0
1580,-44.01,82089.0
1586,-22.36,79865.0
1599,42.1,177761.0
2066,-7.35,173605.0
2067,-30.18,40802.0
2070,22.35,40495.0
2235,3.08,55177.0
3162,-40.12,38809.0
3226,56.87,189529.0
3379,-20.49,25100.0
3685,-52.33,18474.0
4502,-63.9,51455.0
4503,-22.84,22791.0
4506,28.33,297569.0
4510,-30.34,85027.0
4513,-63.73,30766.0
4523,-9.69,51160.0
4527,23.01,134215.0
4528,-8.38,157383.0
4533,-32.32,124035.0
4534,-39.82,52459.0
4535,32.34,171407.0
4538,-8.44,22630.0
4543,-5.98,60830.0
4549,-8.22,70458.0
4550,26.56,73095.0
4558,4.19,81374.0
4561,-48.0,27064.0
4563,24.59,122673.0
4568,-20.6,42450.0
4580,-14.75,145254.0
5381,29.54,25799.0
6122,165.09,388903.0
6125,7.84,307974.0
6425,-63.93,84660.0
6603,-40.07,123412.0
6609,-31.55,144103.0
8027,32.78,93204.0
8083,13.5,130544.0
8107,-28.94,50762.0
8255,15.32,276404.0
9951,-14.34,327098.0
2061,-38.53,36063.0
1742,132.5,43934.0
3430,-6.17,95774.0
4706,30.05,103282.0
4707,69.81,151238.0
4711,26.65,79630.0
4714,24.72,38705.0
4716,-13.7,57456.0
4721,-20.75,216143.0
4741,22.82,49087.0
4754,40.17,32053.0
4767,26.44,62779.0
4768,54.6,46034.0
6509,24.1,229510.0
1565,-3.17,463892.0
1777,15.9,71083.0
1781,-58.6,13942.0
1784,21.88,61994.0
1788,24.3,252004.0
1799,-29.57,20325.0
1813,-3.68,42091.0
3118,51.88,43324.0
3176,71.92,43006.0
3205,70.49,48831.0
3218,34.52,124732.0
4102,-7.43,32884.0
4105,11.16,315671.0
4107,18.55,156691.0
4109,-29.18,20018.0
4111,19.15,88814.0
4114,92.39,257610.0
4116,22.89,103570.0
4120,37.23,480355.0
4121,21.4,246608.0
4123,-14.65,67763.0
4126,41.24,163919.0
4127,49.68,40671.0
4128,32.2,132948.0
4129,21.32,200004.0
4131,10.77,6788.0
4138,3.89,97879.0
4147,29.01,29759.0
4153,-13.55,51133.0
4160,45.39,36057.0
4161,76.14,51241.0
4162,5.4,47338.0
4163,35.67,170913.0
4166,59.07,26605.0
4167,93.22,149360.0
4168,,4.0
4173,79.91,159772.0
4174,,0.0
4175,35.04,470879.0
4183,4.45,28839.0
4188,-34.71,2926.0
4192,93.28,547.0
4198,-73.44,6161.0
4726,322.34,30210.0
4728,436.45,27944.0
4735,-36.14,41267.0
4743,27.14,1335.0
4744,-61.66,25651.0
4747,76.98,39050.0
4905,-31.05,2660.0
4911,197.54,1455.0
5312,3.97,272590.0
6130,163.79,7811.0
6242,-11.82,25584.0
6461,59.61,1245.0
6469,41.42,651797.0
6492,194.11,50.0
6496,31.03,105374.0
6499,71.08,46426.0
6523,-49.1,34211.0
6527,-32.89,39160.0
6535,-23.32,2150.0
6547,,0.0
6569,11.04,97086.0
6574,-7.25,66842.0
6576,-91.46,5770.0
6612,125.86,42997.0
6615,15.51,38923.0
6620,-84.67,1240.0
6637,-7.59,30441.0
6649,,87.0
6661,35.94,26877.0
6662,1.56,38519.0
6703,48.9,75954.0
6712,,2700.0
6730,-4.07,30201.0
6733,,303.0
6762,73.98,42479.0
6767,135.27,6877.0
8279,13.03,83497.0
8403,24.41,254133.0
8409,-32.23,6627.0
8432,43.25,38872.0
8436,-30.93,569830.0
2035,17.74,997018.0
2063,71.65,95326.0
2064,47.15,166139.0
2065,68.61,174853.0
4950,-100.0,0.0
5009,-0.15,694578.0
5011,-18.91,67074.0
5013,5.27,368016.0
5014,-46.92,397464.0
5015,8.98,193271.0
5016,46.82,216205.0
6248,51.12,263801.0
8349,-12.69,590464.0
8415,-15.45,1400031.0
8930,26.87,75716.0
9962,13.27,180245.0
1595,-20.29,78965.0
3105,77.95,1964205.0
3122,4.91,16879.0
3131,52.85,159057.0
3141,-13.91,80560.0
3169,-16.98,38002.0
3178,47.04,118517.0
3227,69.73,487185.0
3228,18.69,24214.0
3259,-20.17,31552.0
3260,22.19,2504606.0
3264,32.67,694729.0
3265,36.28,176899.0
3268,25.19,57369.0
3317,-25.73,125267.0
3372,36.94,92876.0
3374,247.83,489029.0
3438,14.57,77536.0
3527,-25.86,147834.0
3529,42.44,83900.0
3555,193.95,28475.0
3556,55.23,96223.0
3567,5.37,28676.0
3581,-19.45,64594.0
3675,10.87,117660.0
3680,38.38,112587.0
3707,7.41,469573.0
4923,-30.99,30018.0
4951,-0.21,24422.0
4973,26.18,313608.0
5272,0.96,26790.0
5274,50.93,242944.0
5299,-23.97,90497.0
5302,-66.0,841.0
5344,56.22,19766.0
5347,21.84,2591953.0
5351,4.32,272787.0
5425,-5.05,702102.0
5443,-32.06,203805.0
5468,18.94,8953.0
5483,-10.0,4845454.0
5487,18.65,19190.0
6103,-99.44,768.0
6104,55.68,167473.0
6129,-16.14,55344.0
6138,8.31,371595.0
6147,25.34,1695359.0
6182,-19.73,553846.0
6187,15.46,82583.0
6208,33.67,194837.0
6223,31.38,432019.0
6229,1.46,63494.0
6233,3.05,23806.0
6237,13.79,21599.0
6261,31.32,267165.0
6291,11.89,11568.0
6411,59.99,212053.0
6423,-1.35,14148.0
6435,-4.37,182185.0
6462,9.4,435409.0
6485,-23.26,57338.0
6488,-9.48,4278809.0
6494,16.14,41692.0
6510,88.8,286989.0
6532,65.05,40814.0
6548,16.34,679032.0
6568,-14.18,60749.0
6640,-31.84,39941.0
6643,31.82,60706.0
6651,18.59,76759.0
6679,40.19,120656.0
6683,14.55,76756.0
6684,-75.13,4075.0
6693,2.81,60383.0
6708,-40.04,6009.0
6716,31.86,37498.0
6720,44.97,11727.0
6732,118.76,401682.0
7556,39.47,35643.0
8024,-31.27,22093.0
8040,70.14,74573.0
8054,-50.86,46639.0
8086,190.58,271871.0
8088,57.24,166574.0
8091,1.5,92309.0
8227,64.39,23055.0
8277,-66.84,29293.0
8299,47.65,4001968.0
8383,-3.83,299871.0
1569,-16.28,147663.0
3071,-52.1,75891.0
3088,30.38,356776.0
3211,-35.62,622137.0
3213,-8.76,196585.0
3272,-11.63,271944.0
3287,-2.69,27903.0
3323,8.4,419604.0
3325,-53.75,44621.0
3349,-55.41,13048.0
3479,25.08,414639.0
3483,-25.8,151110.0
3540,2.56,310587.0
3577,29.36,63495.0
3594,-17.34,82733.0
3611,-2.07,386217.0
3625,-42.96,59726.0
3693,-36.42,262371.0
3709,38.4,1250285.0
4931,-0.09,118214.0
5289,10.15,629417.0
5356,-2.53,212379.0
5386,74.74,266711.0
5426,-3.18,65548.0
5438,-64.77,39022.0
5465,-12.89,214490.0
5474,-6.41,79860.0
5490,-6.84,49336.0
6121,-3.46,3819035.0
6150,-13.56,117129.0
6160,35.2,89097.0
6161,-9.0,105850.0
6188,28.87,778969.0
6228,149.09,13284.0
6276,55.2,88539.0
6441,234.8,93468.0
6570,-8.58,47337.0
6577,16.82,129396.0
6680,20.4,41396.0
8050,34.35,329124.0
8076,-17.98,180607.0
8234,31.74,468273.0
8410,20.6,52854.0
3066,-13.44,13951.0
3128,82.48,72777.0
3230,-27.93,35464.0
3297,7.86,15088.0
3339,-28.0,27320.0
3362,40.64,135831.0
3434,-27.73,39911.0
3441,0.43,11241.0
3455,-46.52,93626.0
3490,-22.93,26488.0
3516,-59.92,13964.0
3523,256.75,10403.0
3531,25.11,101806.0
3615,89.0,40757.0
3623,-31.55,27688.0
3630,-55.92,78789.0
3666,4.68,71389.0
3691,33.43,597332.0
4729,35.69,100742.0
4933,-9.16,116745.0
4972,-86.37,4453.0
4995,16.48,95932.0
5220,-26.5,69600.0
5230,-7.51,50054.0
5245,-15.02,86933.0
5251,-23.76,11130.0
5315,-17.06,115065.0
5371,-39.63,1837838.0
5392,-19.96,665578.0
6167,-6.8,118632.0
6222,-26.63,6904.0
6234,-21.71,74407.0
6244,-14.79,259052.0
6246,48.52,66625.0
6419,67.61,23131.0
6498,-21.68,16456.0
6517,88.62,42700.0
6556,71.6,140754.0
6560,165.13,31021.0
7402,-31.13,32429.0
8049,1.96,134306.0
8064,-67.53,171819.0
8069,-19.57,668752.0
8111,2.85,51397.0
8240,-1.53,580901.0
3081,35.24,180509.0
3095,11.11,41258.0
3152,33.2,160055.0
3163,-50.68,79987.0
3221,44.01,163773.0
3234,43.23,115215.0
3306,-4.41,79720.0
3363,-44.72,77927.0
3466,-56.42,30660.0
3491,-41.26,59930.0
3499,-52.36,20968.0
3558,-6.46,529475.0
3564,84.93,108510.0
3632,-41.57,18501.0
3672,-17.62,41850.0
3684,-9.9,32566.0
4903,315.88,196477.0
4908,7.08,63626.0
4909,-29.95,47487.0
4979,6.74,81043.0
5353,-2.08,126120.0
6109,-49.55,31293.0
6143,20.97,350615.0
6170,-12.05,197602.0
6190,13.39,383997.0
6218,-15.02,62209.0
6241,122.44,26918.0
6245,-27.16,404074.0
6263,29.81,103945.0
6417,37.41,88303.0
6465,46.71,19645.0
6470,13.47,117445.0
6486,-53.95,76044.0
6530,59.2,23745.0
6561,8.02,205623.0
6588,-18.51,14250.0
8034,113.27,16612.0
8048,-12.88,61083.0
8059,14.5,154836.0
8089,7.86,200231.0
8097,2.66,3781.0
8176,-76.33,14070.0
1336,11.35,152488.0
1815,-9.96,281013.0
3078,-30.92,174244.0
3114,-22.99,214101.0
3115,50.9,41641.0
3191,-81.78,3124.0
3206,-22.36,101831.0
3207,-51.46,23270.0
3217,-18.55,91370.0
3236,-33.87,82078.0
3276,17.15,66312.0
3288,16.98,6199.0
3290,-65.82,35949.0
3294,-49.03,117177.0
3310,72.34,93620.0
3322,13.72,140599.0
3332,-30.67,44410.0
3354,-5.96,16381.0
3357,29.86,230638.0
3388,18.58,482913.0
3390,-5.41,40166.0
3484,-3.33,283600.0
3485,42.87,9254.0
3492,7.85,31996.0
3511,-43.34,43544.0
3520,0.76,33474.0
3526,-41.09,54360.0
3537,16.03,186617.0
3548,-58.56,176866.0
3597,-42.31,35045.0
3609,-23.09,21320.0
3624,-40.54,119929.0
3631,-96.87,2055.0
3646,-27.31,21992.0
3689,-13.92,201132.0
3710,-40.89,228179.0
4542,23.51,26195.0
4939,-11.31,69857.0
4974,-26.47,200821.0
5228,58.51,38417.0
5291,3.59,82312.0
5309,1.81,68937.0
5328,-8.66,37229.0
5340,-1.35,108636.0
5355,1.06,59742.0
5439,17.75,180510.0
5457,306.43,1182464.0
5460,0.88,56336.0
5464,4.7,90846.0
5475,-58.46,38641.0
5488,-22.67,38115.0
5498,12.87,82792.0
6114,-36.48,82119.0
6124,5.0,86762.0
6126,-42.82,101270.0
6127,13.05,47623.0
6134,-2.84,70517.0
6156,-22.66,173485.0
6158,6.04,93579.0
6173,-6.8,342894.0
6174,18.46,31820.0
6175,-5.14,179377.0
6185,-20.29,30943.0
6194,-3.33,73456.0
6203,103.23,183462.0
6204,-64.98,7223.0
6207,-39.14,61600.0
6210,42.75,60757.0
6217,-11.93,108796.0
6220,-5.67,598306.0
6259,-35.87,6872.0
6266,32.85,235034.0
6274,23.22,1301483.0
6275,24.63,191425.0
6279,-5.18,184233.0
6284,-5.9,224695.0
6290,-40.53,276132.0
6292,18.73,70661.0
6418,-41.22,27484.0
6432,-3.44,57328.0
6538,156.11,148424.0
6584,-2.96,89682.0
6597,-37.42,18843.0
6642,2.2,24852.0
6664,25.97,121133.0
6727,-80.16,14248.0
6761,17.58,94966.0
8038,51.42,33619.0
8042,9.39,216621.0
8043,42.77,358583.0
8071,-33.66,242711.0
8074,30.39,78766.0
8093,-3.51,24886.0
8109,-15.82,75191.0
8121,1.6,130866.0
8147,-37.06,23719.0
8155,114.87,252169.0
8182,13.05,180892.0
8289,16.35,74694.0
8291,17.55,30206.0
8358,48.86,485284.0
3224,31.21,112573.0
3232,-36.26,50911.0
3360,-20.41,1197572.0
3444,41.25,73826.0
6113,-45.55,53396.0
6118,42.41,664793.0
6154,-7.01,339591.0
6227,27.07,637527.0
6265,44.19,87189.0
6270,51.03,255363.0
6474,37.02,248121.0
8032,12.57,194819.0
8067,7.27,16175.0
8068,-41.38,119928.0
8084,-56.94,45303.0
8096,86.24,2110378.0
3147,-35.89,180365.0
3158,7.72,43282.0
3570,72.08,89877.0
4953,-14.67,341415.0
5201,166.07,27017.0
5202,-42.49,8354.0
5210,-19.67,17993.0
5211,-14.71,13913.0
5212,11.71,55433.0
5310,6.62,13174.0
5403,31.09,116452.0
5410,-17.14,209568.0
6123,7.17,319519.0
6140,-17.03,120043.0
6148,413.63,122835.0
6163,61.77,401996.0
6221,63.79,307951.0
6231,61.97,71317.0
6240,-61.39,1113.0
6516,-15.97,15035.0
6590,28.85,29347.0
6593,12.63,33933.0
6697,21.28,56269.0
6751,0.11,94364.0
6752,16.36,74930.0
8099,17.49,312992.0
8284,16.14,127216.0
8416,19.23,85630.0
1785,31.52,1355920.0
3093,49.12,70288.0
3219,-100.0,0.0
3285,-54.14,26429.0
3289,76.19,255227.0
3303,20.63,152560.0
3324,4.66,571858.0
3373,200.26,124463.0
3402,-2.16,200369.0
3465,-40.95,323.0
3498,30.58,104988.0
3508,-9.9,56681.0
3541,3.73,176317.0
3552,-48.49,195984.0
3580,-30.21,26697.0
3587,35.62,213872.0
3628,-24.13,127025.0
3663,21.04,154343.0
4554,8.37,21607.0
4577,26.24,65763.0
4760,63.82,82699.0
5452,-23.8,261477.0
5489,-4.06,122024.0
5493,33.2,214342.0
5536,60.57,827344.0
6146,11.95,235119.0
6151,-1.08,99424.0
6512,-13.8,22789.0
6613,29.97,259065.0
6654,-61.07,20427.0
6667,124.03,116028.0
6725,-13.0,251209.0
6735,16.7,11425.0
6739,-30.48,4674.0
8047,21.55,43914.0
8085,-35.04,48725.0
8092,-15.85,33391.0
8183,-45.29,98852.0
8431,9.38,38492.0
8908,3.37,633800.0
8917,22.98,208447.0
8927,-1.18,369058.0
8931,45.31,141106.0
2596,-99.74,2.0
2718,-70.67,4912.0
3188,-44.83,53723.0
3313,-99.58,81.0
3489,270.56,149431.0
3512,-76.15,13979.0
3521,-43.56,19522.0
4113,-85.97,11381.0
4416,23.12,7735.0
4907,235.83,247119.0
5206,1085385.71,75970.0
5213,70.07,130259.0
