Date,Open,High,Low,Close,Volume
2025-09-23,257.46824621203706,263.6641503954361,240.9910359902355,251.68589782714844,77804566
2025-09-24,245.28324814590698,259.52167952639724,237.99647472969764,252.85520935058594,61560184
2025-09-25,248.28494067273974,275.12905625681594,243.1300083983014,268.084716796875,79005070
2025-09-26,268.17738805725094,276.93291534494426,265.23275248563544,266.6587219238281,54054998
2025-09-29,263.8851847074107,284.1983107856132,263.8851847074107,276.8402404785156,57922492
2025-09-30,277.35359631671844,281.63153504711903,258.8158110478623,260.7908020019531,69423526
2025-10-09,266.6587144187112,267.2077359406016,249.5469293306484,250.3668670654297,73208997
2025-10-10,253.11901247836914,260.64107647752553,246.13169842898893,246.8375701904297,61535790
2025-10-13,233.94667741679868,248.54873657226562,231.86474873445906,248.54873657226562,62092725
2025-10-14,253.61098483791508,253.61098483791508,225.07708073896166,225.66172790527344,85724508
2025-10-15,229.08408260991615,231.2444516979703,221.02728387234094,230.00384521484375,49729577
2025-10-16,226.59574285820628,239.56505517520824,226.03960838888074,231.55104064941406,43645518
2025-10-17,229.93968008413094,232.9057153849369,224.03610693828097,225.52626037597656,42914985
2025-10-20,238.8591995739137,246.51671416011135,231.42268877216281,234.7452392578125,68225673
2025-10-21,235.29424998221182,267.7852491436085,231.24445836624002,260.541259765625,86056553
2025-10-22,256.8978847963573,266.4947498153752,256.8978847963573,258.6946105957031,54485520
2025-10-23,256.8194375723302,258.8158130569841,242.41702748830076,247.9498291015625,46838775
2025-10-24,253.11187037416468,269.65326381282614,245.98909099430116,265.92431640625,76850996
2025-10-27,278.06658137264634,295.17836584042493,271.64964315831025,288.0127868652344,81426433
2025-10-28,281.6315179726048,301.73786534122377,281.6315179726048,292.7684326171875,67230108
2025-10-29,305.16024912700254,308.9604783823677,284.7045294009039,289.5457458496094,78900901
2025-10-30,272.3626606011438,281.5388414098471,265.5749656549473,266.6587219238281,109985715
2025-10-31,265.11865928510775,265.94570994619255,243.91429882573854,245.49000549316406,81760574
2025-11-03,242.40274344274286,249.9034226989304,239.45809280059947,247.23683166503906,54184103
2025-11-04,248.91237223639962,256.4130365343751,245.98197783038364,248.14947509765625,48495468
2025-11-05,238.92335820017092,248.47743821339856,238.92335820017092,246.76625061035156,36066563
2025-11-06,251.70015026690615,258.5021012372321,247.89992102591523,254.3311004638672,55225076
2025-11-07,249.61822054494365,255.2508467544431,245.34741015814058,249.39720153808594,41039587
2025-11-10,249.5112691384711,252.24915714451828,230.11792114752944,239.56504821777344,66164121
2025-11-11,242.41702757325197,247.3865665402603,230.11793077686136,232.43515014648438,52653291
2025-11-12,228.39248653034903,236.48494150271765,225.2196733181959,234.64541625976562,56696085
2025-11-13,234.4315144587328,234.48855506112173,226.41035680974224,232.32818603515625,39011789
2025-11-14,226.7383373576755,227.92903141884153,221.44081115722656,221.44081115722656,45747480
2025-11-17,224.1145307103821,228.20710651063555,218.6458979217108,222.23936462402344,44781406
2025-11-18,219.60842582068852,231.6722317095889,218.61023810410157,225.91839599609375,48171090
2025-11-19,225.51912685717065,233.86112854933202,223.80081104048674,229.86837768554688,49133830
2025-11-20,241.3617931100638,244.75562525672046,231.1874096105237,233.67575073242188,55128668
2025-11-21,223.8079341418873,223.87924631809867,213.79041635158407,213.89736938476562,61180519
2025-11-24,217.14860983316282,220.15742928745487,204.84951351597545,208.90643310546875,65570036
2025-11-25,216.0363451455555,224.94873770796997,215.34474495708608,217.26268005371094,64988205
2025-11-26,215.3233403600604,243.56492716758936,212.1505425091929,236.0856475830078,95030009
2025-11-27,231.00915892675562,260.17049348280176,230.65265896273266,242.98741149902344,88375442
2025-11-28,242.41701845419954,255.0868710916162,240.99103384242625,247.9783477783203,58028835
2025-12-01,250.97291949640146,257.38984285376876,244.96239331403953,253.54681396484375,54160246
2025-12-02,253.55395101633803,263.1722006019412,250.60930012837812,260.2418212890625,53004768
2025-12-03,265.0901615395193,280.0629778874737,263.80675552235687,266.0384216308594,81238795
2025-12-04,261.76046807625954,268.02052571783594,258.6589519412482,266.83697509765625,47148435
2025-12-05,272.11311008478805,275.21462631899556,266.4662273181648,269.16131591796875,49598022
2025-12-08,267.45727826763346,296.2549690470337,267.39309426237804,288.4192199707031,78317857
2025-12-09,288.64021574843343,304.0907401581812,286.6438404034679,298.83599853515625,67681233
2025-12-10,298.03036071335316,312.9247368690758,284.2553512475817,308.1976013183594,72114896
2025-12-11,305.5381515535921,322.0652749846188,295.89135894665606,296.9679870605469,85468969
2025-12-12,297.31734010964607,313.39529631113646,297.31734010964607,305.1602478027344,81727618
2025-12-15,293.66684830453636,315.85511076962837,292.32641692106273,304.3117980957031,54114422
2025-12-16,300.1550750772751,303.720013997075,286.4798904227103,290.3300476074219,54303897
2025-12-17,291.26402346277246,318.2293470538089,291.2568952915031,318.06536865234375,68969453
