Date,Open,High,Low,Close,Volume
2025-09-23,21.459999084472656,24.5,20.93000030517578,23.780000686645508,135624550
2025-09-24,23.780000686645508,25.690000534057617,23.780000686645508,25.170000076293945,156317854
2025-09-25,24.700000762939453,26.5,24.68000030517578,25.920000076293945,130231253
2025-09-26,25.489999771118164,26.350000381469727,25.059999465942383,25.219999313354492,89435716
2025-09-29,25.1299991607666,25.719999313354492,24.600000381469727,25.3700008392334,72689637
2025-09-30,25.489999771118164,26.389999389648438,25.100000381469727,25.799999237060547,77046085
2025-10-09,26.0,29.969999313354492,25.8799991607666,27.920000076293945,121416643
2025-10-10,27.100000381469727,27.770000457763672,25.899999618530273,25.950000762939453,88041673
2025-10-13,24.799999237060547,28.799999237060547,24.799999237060547,28.760000228881836,106245651
2025-10-14,29.0,29.0,27.200000762939453,27.809999465942383,95073588
2025-10-15,27.700000762939453,28.079999923706055,26.530000686645508,27.079999923706055,60683127
2025-10-16,27.0,27.0,25.899999618530273,25.989999771118164,54266137
2025-10-17,26.100000381469727,26.110000610351562,24.6299991607666,24.649999618530273,56013783
2025-10-20,25.100000381469727,25.43000030517578,24.15999984741211,24.299999237060547,46448059
2025-10-21,24.5,24.84000015258789,24.309999465942383,24.6200008392334,38909090
2025-10-22,24.280000686645508,24.899999618530273,23.770000457763672,24.559999465942383,41578512
2025-10-23,24.459999084472656,24.489999771118164,23.6200008392334,24.110000610351562,32798510
2025-10-24,23.729999542236328,24.559999465942383,23.219999313354492,24.290000915527344,66426197
2025-10-27,24.700000762939453,25.489999771118164,24.610000610351562,24.780000686645508,57306048
2025-10-28,24.68000030517578,25.459999084472656,24.399999618530273,24.600000381469727,45742426
2025-10-29,24.450000762939453,25.389999389648438,24.450000762939453,25.190000534057617,45811476
2025-10-30,25.1200008392334,25.219999313354492,24.489999771118164,24.6299991607666,42670398
2025-10-31,24.0,24.09000015258789,22.860000610351562,22.860000610351562,69311453
2025-11-03,22.700000762939453,23.170000076293945,22.280000686645508,22.760000228881836,43807880
2025-11-04,22.84000015258789,23.670000076293945,22.829999923706055,23.020000457763672,44950873
2025-11-05,22.510000228881836,22.989999771118164,22.489999771118164,22.809999465942383,27737867
2025-11-06,22.989999771118164,23.450000762939453,22.899999618530273,23.1299991607666,35958393
2025-11-07,22.899999618530273,23.829999923706055,22.700000762939453,23.280000686645508,39969708
2025-11-10,23.3799991607666,24.440000534057617,23.329999923706055,24.049999237060547,53866660
2025-11-11,24.049999237060547,24.18000030517578,23.260000228881836,23.290000915527344,43770755
2025-11-12,22.950000762939453,23.0,22.0,22.18000030517578,43129064
2025-11-13,22.149999618530273,22.709999084472656,22.079999923706055,22.3799991607666,29106709
2025-11-14,22.209999084472656,22.450000762939453,21.799999237060547,21.809999465942383,27495066
2025-11-17,22.0,22.3700008392334,21.709999084472656,21.90999984741211,22264852
2025-11-18,21.81999969482422,22.190000534057617,21.729999542236328,21.889999389648438,23709473
2025-11-19,21.700000762939453,22.18000030517578,21.3700008392334,21.920000076293945,30758288
2025-11-20,22.190000534057617,22.280000686645508,21.450000762939453,21.450000762939453,20994478
2025-11-21,21.149999618530273,21.639999389648438,20.6299991607666,20.81999969482422,28981711
