date,ucode,call_val,put_val,call_vol
2025-08-11,0050,10.41,0.0,10932.0
2025-08-11,0052,3.18,0.0,1017.0
2025-08-11,0056,0.06,0.0,74.0
2025-08-11,1101,5.29,0.0,4461.0
2025-08-11,1102,0.38,0.0,1136.0
2025-08-11,1210,0.09,0.0,177.0
2025-08-11,1215,0.23,0.0,392.0
2025-08-11,1301,7.4,0.9,6244.0
2025-08-11,1303,31.71,1.79,21466.0
2025-08-11,1304,0.56,0.0,1133.0
2025-08-11,1305,0.26,0.0,332.0
2025-08-11,1307,0.25,0.0,167.0
2025-08-11,1308,0.37,0.0,121.0
2025-08-11,1312,1.42,0.0,853.0
2025-08-11,1313,0.09,0.0,275.0
2025-08-11,1319,0.75,0.85,762.0
2025-08-11,1326,8.1,0.01,6052.0
2025-08-11,1342,0.1,0.0,122.0
2025-08-11,1402,0.22,0.0,179.0
2025-08-11,1409,1.76,0.0,1343.0
2025-08-11,1436,0.01,0.0,12.0
2025-08-11,1464,0.01,0.0,8.0
2025-08-11,1476,1.09,0.0,1670.0
2025-08-11,1477,0.29,0.19,491.0
2025-08-11,1503,4.05,0.05,3177.0
2025-08-11,1504,3.3,0.0,3134.0
2025-08-11,1513,6.74,0.06,7508.0
2025-08-11,1514,1.37,0.09,1393.0
2025-08-11,1519,12.53,0.28,8995.0
2025-08-11,1532,0.03,0.0,22.0
2025-08-11,1536,2.34,0.1,2376.0
2025-08-11,1560,9.87,0.2,7109.0
2025-08-11,1563,0.53,0.0,847.0
2025-08-11,1582,1.32,0.0,783.0
2025-08-11,1590,3.65,0.0,3268.0
2025-08-11,1597,3.63,0.0,2442.0
2025-08-11,1605,7.33,0.0,7748.0
2025-08-11,1608,0.88,0.0,2585.0
2025-08-11,1609,4.88,0.02,3963.0
2025-08-11,1612,1.23,0.0,1436.0
2025-08-11,1616,13.99,0.0,7570.0
2025-08-11,1618,1.46,0.0,805.0
2025-08-11,1623,0.26,0.0,225.0
2025-08-11,1708,0.32,0.0,549.0
2025-08-11,1710,1.16,0.0,1333.0
2025-08-11,1711,5.19,0.0,3505.0
2025-08-11,1714,0.76,0.0,705.0
2025-08-11,1717,4.41,0.0,2347.0
2025-08-11,1718,0.54,0.0,668.0
2025-08-11,1722,0.28,0.0,403.0
2025-08-11,1723,0.04,0.0,82.0
2025-08-11,1727,0.46,0.0,423.0
2025-08-11,1736,0.03,0.76,67.0
2025-08-11,1773,0.49,0.0,456.0
2025-08-11,1786,0.09,0.0,114.0
2025-08-11,1795,3.57,0.04,4138.0
2025-08-11,1802,26.37,0.77,16901.0
2025-08-11,1905,0.45,0.0,242.0
2025-08-11,2002,4.9,0.07,3744.0
2025-08-11,2006,0.83,0.0,681.0
2025-08-11,2009,0.5,0.0,485.0
2025-08-11,2014,0.92,0.0,960.0
2025-08-11,2027,15.57,0.17,9272.0
2025-08-11,2031,0.24,0.0,92.0
2025-08-11,2034,0.86,0.0,2322.0
2025-08-11,2049,7.68,0.38,9124.0
2025-08-11,2059,6.01,1.94,3536.0
2025-08-11,2072,0.01,0.0,2.0
2025-08-11,2101,0.71,0.0,417.0
2025-08-11,2103,1.4,0.0,1384.0
2025-08-11,2104,0.08,0.0,150.0
2025-08-11,2105,0.34,0.0,322.0
2025-08-11,2108,0.08,0.0,112.0
2025-08-11,2201,0.03,0.0,50.0
2025-08-11,2204,0.09,0.02,73.0
2025-08-11,2228,1.03,0.0,528.0
2025-08-11,2231,0.5,0.0,624.0
2025-08-11,2233,5.89,0.41,4377.0
2025-08-11,2301,52.68,0.35,41541.0
2025-08-11,2302,0.16,0.0,113.0
2025-08-11,2303,19.31,0.14,16183.0
2025-08-11,2305,0.17,0.0,115.0
2025-08-11,2308,40.87,0.42,22327.0
2025-08-11,2312,1.33,0.03,1889.0
2025-08-11,2313,38.99,0.05,25107.0
2025-08-11,2316,23.52,0.35,16978.0
2025-08-11,2317,57.98,3.04,49054.0
2025-08-11,2323,0.52,0.0,284.0
2025-08-11,2324,11.2,0.07,7844.0
2025-08-11,2327,13.31,0.0,10324.0
2025-08-11,2328,7.04,0.05,5445.0
2025-08-11,2329,2.72,0.0,3025.0
2025-08-11,2330,65.27,7.89,60219.0
2025-08-11,2331,1.63,0.0,1157.0
2025-08-11,2337,8.36,0.17,6775.0
2025-08-11,2338,0.68,0.0,539.0
2025-08-11,2340,0.62,0.0,667.0
2025-08-11,2342,0.25,0.0,539.0
2025-08-11,2344,16.37,0.52,16764.0
2025-08-11,2345,29.02,1.1,14060.0
2025-08-11,2347,0.3,0.0,294.0
2025-08-11,2348,0.08,0.04,69.0
2025-08-11,2351,6.55,0.0,4583.0
2025-08-11,2352,0.1,0.0,185.0
2025-08-11,2353,2.14,0.97,2265.0
2025-08-11,2354,9.48,0.19,8575.0
2025-08-11,2355,1.47,0.0,1241.0
2025-08-11,2356,3.8,0.01,3962.0
2025-08-11,2357,8.31,0.14,6248.0
2025-08-11,2359,6.63,0.01,5064.0
2025-08-11,2360,19.89,0.05,10872.0
2025-08-11,2363,6.09,0.16,5436.0
2025-08-11,2365,1.08,0.02,749.0
2025-08-11,2367,3.24,0.0,2542.0
2025-08-11,2368,44.07,2.23,24133.0
2025-08-11,2369,8.0,0.0,5750.0
2025-08-11,2371,2.85,0.0,2714.0
2025-08-11,2374,12.21,0.87,5357.0
2025-08-11,2375,2.1,0.0,1269.0
2025-08-11,2376,12.9,0.11,10011.0
2025-08-11,2377,7.64,0.15,7751.0
2025-08-11,2379,3.68,0.03,3595.0
2025-08-11,2383,21.25,1.61,15294.0
2025-08-11,2385,0.36,0.0,259.0
2025-08-11,2388,4.55,0.01,6823.0
2025-08-11,2392,2.02,0.0,1918.0
2025-08-11,2393,1.94,0.0,1919.0
2025-08-11,2395,4.62,0.0,6238.0
2025-08-11,2401,1.15,0.0,1750.0
2025-08-11,2402,5.33,0.0,4622.0
2025-08-11,2404,24.21,0.66,16786.0
2025-08-11,2406,0.42,0.0,818.0
2025-08-11,2408,25.08,0.46,24168.0
2025-08-11,2409,9.14,0.0,9024.0
2025-08-11,2419,1.45,0.0,1306.0
2025-08-11,2421,39.34,0.0,24026.0
2025-08-11,2426,4.08,0.0,2255.0
2025-08-11,2428,1.55,0.0,1772.0
2025-08-11,2436,1.49,0.0,1425.0
2025-08-11,2439,0.78,0.09,1174.0
2025-08-11,2441,2.5,0.0,3173.0
2025-08-11,2449,15.27,0.0,18019.0
2025-08-11,2451,4.2,0.0,4577.0
2025-08-11,2454,17.4,2.63,21453.0
2025-08-11,2455,5.48,0.48,4689.0
2025-08-11,2457,1.62,0.0,602.0
2025-08-11,2458,0.76,0.0,1360.0
2025-08-11,2464,2.47,0.0,1984.0
2025-08-11,2467,2.48,0.0,2267.0
2025-08-11,2472,3.55,0.0,4119.0
2025-08-11,2474,1.76,0.37,1645.0
2025-08-11,2476,5.03,0.0,4748.0
2025-08-11,2478,0.51,0.0,655.0
2025-08-11,2480,0.4,0.0,453.0
2025-08-11,2481,6.87,0.0,5965.0
2025-08-11,2484,1.9,0.0,1071.0
2025-08-11,2485,2.16,0.0,1875.0
2025-08-11,2486,1.25,0.01,2120.0
2025-08-11,2489,6.8,0.0,4372.0
2025-08-11,2492,2.92,0.0,3218.0
2025-08-11,2493,7.2,0.0,4889.0
2025-08-11,2495,0.99,0.0,1933.0
2025-08-11,2497,0.06,0.0,217.0
2025-08-11,2498,10.95,0.0,8747.0
2025-08-11,2501,0.21,0.0,43.0
2025-08-11,2504,0.01,0.0,10.0
2025-08-11,2515,0.28,0.0,440.0
2025-08-11,2520,0.52,0.03,232.0
2025-08-11,2527,0.24,0.0,12.0
2025-08-11,2542,0.07,0.0,24.0
2025-08-11,2543,0.2,0.08,153.0
2025-08-11,2548,0.15,0.0,96.0
2025-08-11,2603,26.12,1.73,19715.0
2025-08-11,2605,2.02,0.0,860.0
2025-08-11,2606,3.0,0.0,2314.0
2025-08-11,2609,6.19,0.12,4514.0
2025-08-11,2610,0.94,0.01,1450.0
2025-08-11,2612,0.9,0.0,494.0
2025-08-11,2615,10.74,0.43,8630.0
2025-08-11,2618,3.11,0.0,4128.0
2025-08-11,2630,6.84,0.01,2288.0
2025-08-11,2634,9.02,0.04,6047.0
2025-08-11,2637,3.64,0.0,1539.0
2025-08-11,2645,3.86,0.0,2430.0
2025-08-11,2646,0.45,0.0,252.0
2025-08-11,2727,0.03,0.0,38.0
2025-08-11,2731,0.21,0.12,221.0
2025-08-11,2753,0.28,0.0,849.0
2025-08-11,2834,0.02,0.0,72.0
2025-08-11,2851,0.64,0.0,693.0
2025-08-11,2880,0.06,0.0,100.0
2025-08-11,2881,2.56,0.19,3182.0
2025-08-11,2882,3.49,0.98,3243.0
2025-08-11,2883,2.87,0.0,3655.0
2025-08-11,2884,2.63,0.0,2711.0
2025-08-11,2885,0.61,0.0,965.0
2025-08-11,2886,0.49,0.0,253.0
2025-08-11,2887,1.48,0.0,1065.0
2025-08-11,2889,0.8,0.0,795.0
2025-08-11,2890,0.35,0.0,561.0
