date,ucode,call_val,put_val,call_vol
2025-11-24,0050,4.56,0.97,3619.0
2025-11-24,0052,0.11,0.0,153.0
2025-11-24,1101,4.51,0.27,13266.0
2025-11-24,1102,0.49,0.0,846.0
2025-11-24,1210,0.01,0.0,50.0
2025-11-24,1215,0.12,0.0,292.0
2025-11-24,1216,0.91,0.0,1140.0
2025-11-24,1301,4.82,0.16,6967.0
2025-11-24,1303,21.11,1.79,15015.0
2025-11-24,1304,0.02,0.0,36.0
2025-11-24,1305,0.01,0.0,20.0
2025-11-24,1307,0.03,0.0,36.0
2025-11-24,1312,1.36,0.0,2078.0
2025-11-24,1313,0.12,0.0,185.0
2025-11-24,1319,0.69,0.39,1364.0
2025-11-24,1326,3.2,0.12,3174.0
2025-11-24,1342,0.01,0.0,35.0
2025-11-24,1402,0.02,0.0,300.0
2025-11-24,1409,0.24,0.0,288.0
2025-11-24,1419,0.46,0.0,182.0
2025-11-24,1476,1.28,0.0,1230.0
2025-11-24,1477,4.95,0.0,3907.0
2025-11-24,1503,1.56,0.03,2891.0
2025-11-24,1504,3.84,0.83,7304.0
2025-11-24,1513,3.57,0.01,7367.0
2025-11-24,1514,0.36,0.01,1791.0
2025-11-24,1519,20.2,1.95,19064.0
2025-11-24,1522,0.11,0.0,80.0
2025-11-24,1532,0.07,0.0,118.0
2025-11-24,1536,0.02,0.0,32.0
2025-11-24,1560,4.91,0.35,6547.0
2025-11-24,1590,0.04,0.0,520.0
2025-11-24,1597,1.16,0.0,1310.0
2025-11-24,1605,7.53,0.03,7899.0
2025-11-24,1608,0.87,0.0,963.0
2025-11-24,1609,0.18,0.0,367.0
2025-11-24,1612,0.02,0.0,55.0
2025-11-24,1616,0.02,0.0,296.0
2025-11-24,1618,0.08,0.0,70.0
2025-11-24,1711,0.1,0.0,173.0
2025-11-24,1714,0.01,0.0,20.0
2025-11-24,1717,0.03,0.0,52.0
2025-11-24,1736,0.94,0.01,1663.0
2025-11-24,1773,0.03,0.0,37.0
2025-11-24,1786,0.02,0.0,25.0
2025-11-24,1795,16.25,0.26,9599.0
2025-11-24,1802,18.3,2.24,10795.0
2025-11-24,1903,0.52,0.0,436.0
2025-11-24,2002,2.49,0.01,1647.0
2025-11-24,2009,0.3,0.05,461.0
2025-11-24,2014,0.46,0.0,2697.0
2025-11-24,2027,2.48,0.0,4146.0
2025-11-24,2031,0.01,0.0,2.0
2025-11-24,2034,0.48,0.01,1677.0
2025-11-24,2049,2.53,0.09,4948.0
2025-11-24,2059,15.6,1.3,16528.0
2025-11-24,2101,0.59,0.0,790.0
2025-11-24,2103,0.08,0.0,141.0
2025-11-24,2105,0.7,0.0,1221.0
2025-11-24,2204,0.06,0.0,94.0
2025-11-24,2231,0.5,0.0,716.0
2025-11-24,2233,1.06,0.01,1418.0
2025-11-24,2301,4.29,1.64,6117.0
2025-11-24,2303,8.06,0.07,12528.0
2025-11-24,2305,0.1,0.0,33.0
2025-11-24,2308,14.0,2.0,12210.0
2025-11-24,2312,5.3,0.07,5635.0
2025-11-24,2313,4.58,0.09,2972.0
2025-11-24,2316,1.32,0.82,1560.0
2025-11-24,2317,47.86,8.0,55312.0
2025-11-24,2323,0.06,0.0,66.0
2025-11-24,2324,1.48,0.01,3037.0
2025-11-24,2327,10.56,0.14,10927.0
2025-11-24,2328,0.49,0.0,1014.0
2025-11-24,2329,2.41,0.01,1946.0
2025-11-24,2330,45.74,16.1,48408.0
2025-11-24,2331,0.25,0.0,493.0
2025-11-24,2332,0.04,0.0,110.0
2025-11-24,2337,12.83,2.24,9199.0
2025-11-24,2338,0.07,0.0,112.0
2025-11-24,2340,0.02,0.02,69.0
2025-11-24,2344,54.84,10.35,22789.0
2025-11-24,2345,25.47,8.48,27052.0
2025-11-24,2347,0.08,0.0,91.0
2025-11-24,2351,0.33,0.0,599.0
2025-11-24,2352,0.06,0.0,97.0
2025-11-24,2353,0.8,0.11,1688.0
2025-11-24,2354,1.98,0.05,3353.0
2025-11-24,2355,0.05,0.0,101.0
2025-11-24,2356,0.89,0.22,1046.0
2025-11-24,2357,3.46,0.17,6150.0
2025-11-24,2359,3.12,0.05,3764.0
2025-11-24,2360,24.48,0.93,13617.0
2025-11-24,2363,0.42,0.05,802.0
2025-11-24,2367,0.4,0.0,668.0
2025-11-24,2368,50.47,2.93,25343.0
2025-11-24,2369,0.14,0.0,249.0
2025-11-24,2371,1.33,0.06,2288.0
2025-11-24,2374,1.99,0.48,1873.0
2025-11-24,2375,3.78,0.05,3136.0
2025-11-24,2376,3.34,1.39,5656.0
2025-11-24,2377,3.73,0.06,10968.0
2025-11-24,2379,0.6,0.06,1018.0
2025-11-24,2383,23.59,3.2,24546.0
2025-11-24,2385,0.03,0.06,33.0
2025-11-24,2388,0.06,0.0,303.0
2025-11-24,2392,0.16,0.01,368.0
2025-11-24,2393,0.02,0.0,41.0
2025-11-24,2395,1.27,0.0,1349.0
2025-11-24,2401,0.13,0.0,152.0
2025-11-24,2402,0.55,0.04,915.0
2025-11-24,2404,5.4,0.07,10089.0
2025-11-24,2408,11.36,0.39,8734.0
2025-11-24,2409,1.39,0.0,2035.0
2025-11-24,2412,0.04,0.0,80.0
2025-11-24,2421,6.83,0.42,3982.0
2025-11-24,2428,4.06,0.0,4920.0
2025-11-24,2436,0.04,0.0,635.0
2025-11-24,2439,0.97,0.07,2315.0
