date,ucode,call_val,put_val,call_vol
2026-03-23,0050,16.55,12.69,15074.0
2026-03-23,0052,0.82,0.07,740.0
2026-03-23,1101,0.2,0.0,257.0
2026-03-23,1216,0.24,0.0,390.0
2026-03-23,1301,3.54,0.1,4146.0
2026-03-23,1303,5.82,0.56,6319.0
2026-03-23,1304,3.3,0.01,1561.0
2026-03-23,1307,0.04,0.0,40.0
2026-03-23,1308,4.97,0.0,3045.0
2026-03-23,1312,3.6,0.0,3465.0
2026-03-23,1319,0.01,0.0,32.0
2026-03-23,1326,6.35,0.09,8380.0
2026-03-23,1402,2.04,0.0,2753.0
2026-03-23,1409,0.1,0.0,65.0
2026-03-23,1476,0.16,0.0,191.0
2026-03-23,1477,0.01,0.0,10.0
2026-03-23,1503,5.44,0.0,10606.0
2026-03-23,1504,1.46,0.0,3487.0
2026-03-23,1513,5.15,0.13,7633.0
2026-03-23,1514,2.06,0.01,3548.0
2026-03-23,1519,17.14,0.26,18467.0
2026-03-23,1522,0.01,0.0,27.0
2026-03-23,1536,0.33,0.0,867.0
2026-03-23,1560,9.5,0.03,8841.0
2026-03-23,1582,0.62,0.0,122.0
2026-03-23,1590,0.31,0.0,545.0
2026-03-23,1597,0.01,0.0,90.0
2026-03-23,1605,1.64,0.02,2807.0
2026-03-23,1608,0.03,0.0,48.0
2026-03-23,1609,0.1,0.0,305.0
2026-03-23,1612,0.08,0.0,78.0
2026-03-23,1708,2.97,0.0,1599.0
2026-03-23,1711,2.02,0.0,879.0
2026-03-23,1717,14.83,0.12,11194.0
2026-03-23,1773,0.27,0.0,407.0
2026-03-23,1786,0.02,0.0,58.0
2026-03-23,1795,2.5,0.23,4538.0
2026-03-23,1802,4.56,0.22,3684.0
2026-03-23,2002,4.18,0.0,6732.0
2026-03-23,2009,0.38,0.0,827.0
2026-03-23,2027,4.92,0.0,5688.0
2026-03-23,2034,0.01,0.0,30.0
2026-03-23,2049,8.3,0.0,11727.0
2026-03-23,2059,7.98,0.08,9314.0
2026-03-23,2105,0.11,0.0,133.0
2026-03-23,2211,0.1,0.0,205.0
2026-03-23,2231,0.02,0.0,27.0
2026-03-23,2233,5.43,0.0,5970.0
2026-03-23,2301,19.52,0.0,17652.0
2026-03-23,2303,9.94,0.27,13401.0
2026-03-23,2308,27.08,1.2,19889.0
2026-03-23,2312,1.3,0.0,1854.0
2026-03-23,2313,40.65,3.79,27670.0
2026-03-23,2316,9.34,0.0,9930.0
2026-03-23,2317,17.83,5.02,27579.0
2026-03-23,2323,0.79,0.0,577.0
2026-03-23,2324,2.03,0.0,2560.0
2026-03-23,2327,9.82,0.53,12242.0
2026-03-23,2328,0.75,0.0,1074.0
2026-03-23,2329,14.55,0.05,13585.0
2026-03-23,2330,111.5,7.46,121546.0
2026-03-23,2331,0.05,0.0,100.0
2026-03-23,2337,4.62,0.71,893.0
2026-03-23,2338,1.5,0.03,1587.0
2026-03-23,2340,0.9,0.0,857.0
2026-03-23,2344,4.37,0.04,984.0
2026-03-23,2345,24.92,0.66,15640.0
2026-03-23,2347,0.01,0.0,6.0
2026-03-23,2348,0.01,0.0,10.0
2026-03-23,2351,0.62,0.0,643.0
2026-03-23,2352,0.13,0.0,178.0
2026-03-23,2353,1.32,0.03,1502.0
2026-03-23,2354,0.51,0.0,1062.0
2026-03-23,2355,2.89,0.0,2773.0
2026-03-23,2356,0.51,0.0,710.0
2026-03-23,2357,2.28,0.18,1602.0
2026-03-23,2359,0.42,0.0,1033.0
2026-03-23,2360,16.08,0.0,9553.0
2026-03-23,2363,0.29,0.0,442.0
2026-03-23,2365,0.07,0.0,611.0
2026-03-23,2367,7.44,0.0,2377.0
2026-03-23,2368,27.26,1.34,15269.0
2026-03-23,2369,21.79,0.0,9983.0
2026-03-23,2371,4.39,0.0,9723.0
2026-03-23,2374,4.08,0.0,5254.0
2026-03-23,2375,0.09,0.0,126.0
