date,ucode,call_val,put_val,call_vol
2025-03-19,0050,9.33,0.0,7355.0
2025-03-19,0052,0.4,0.0,639.0
2025-03-19,0056,0.02,0.0,32.0
2025-03-19,1101,1.65,0.0,1234.0
2025-03-19,1102,0.05,0.0,59.0
2025-03-19,1215,0.02,0.0,20.0
2025-03-19,1216,0.2,0.0,442.0
2025-03-19,1301,7.59,0.9,8836.0
2025-03-19,1303,6.7,0.04,10437.0
2025-03-19,1304,1.83,0.0,2123.0
2025-03-19,1305,0.08,0.0,105.0
2025-03-19,1307,0.93,0.01,1765.0
2025-03-19,1308,0.24,0.0,180.0
2025-03-19,1309,0.2,0.0,683.0
2025-03-19,1312,2.87,0.0,3885.0
2025-03-19,1313,0.13,0.0,53.0
2025-03-19,1319,2.0,0.05,2578.0
2025-03-19,1326,6.39,0.04,6696.0
2025-03-19,1342,0.07,0.0,113.0
2025-03-19,1402,0.61,0.0,733.0
2025-03-19,1409,1.35,0.0,1961.0
2025-03-19,1436,0.01,0.0,40.0
2025-03-19,1442,0.06,0.0,78.0
2025-03-19,1476,0.16,0.0,212.0
2025-03-19,1477,1.1,0.0,554.0
2025-03-19,1503,4.76,0.0,6612.0
2025-03-19,1504,5.83,0.0,4515.0
2025-03-19,1513,4.48,0.05,3517.0
2025-03-19,1514,1.64,0.07,5352.0
2025-03-19,1519,12.43,0.08,11936.0
2025-03-19,1522,0.1,0.0,301.0
2025-03-19,1536,1.72,0.18,2283.0
2025-03-19,1560,7.56,0.28,4847.0
2025-03-19,1582,3.23,0.0,2612.0
2025-03-19,1590,3.12,0.0,2329.0
2025-03-19,1597,1.34,0.06,1021.0
2025-03-19,1605,6.76,0.0,8034.0
2025-03-19,1608,0.26,0.0,383.0
2025-03-19,1609,1.35,0.0,1841.0
2025-03-19,1612,0.56,0.0,470.0
2025-03-19,1618,0.07,0.0,71.0
2025-03-19,1623,0.11,0.0,20.0
2025-03-19,1708,3.63,0.0,4723.0
2025-03-19,1710,0.12,0.0,152.0
2025-03-19,1711,2.14,0.0,2479.0
2025-03-19,1714,2.29,0.0,5268.0
2025-03-19,1717,7.58,0.0,8962.0
2025-03-19,1718,0.95,0.0,861.0
2025-03-19,1722,0.89,0.0,507.0
2025-03-19,1723,0.57,0.0,378.0
2025-03-19,1727,0.88,0.0,897.0
2025-03-19,1773,0.4,0.0,358.0
2025-03-19,1786,0.05,0.0,50.0
2025-03-19,1795,3.29,0.01,4876.0
2025-03-19,1802,3.2,0.0,2497.0
2025-03-19,1809,0.53,0.0,455.0
2025-03-19,1905,0.7,0.0,1178.0
2025-03-19,2002,2.39,0.08,2453.0
2025-03-19,2006,0.01,0.0,10.0
2025-03-19,2009,2.51,0.0,1959.0
2025-03-19,2014,1.76,0.03,4428.0
2025-03-19,2027,12.8,0.88,8294.0
2025-03-19,2031,0.24,0.0,218.0
2025-03-19,2034,0.05,0.0,168.0
2025-03-19,2049,9.43,1.77,10763.0
2025-03-19,2059,6.42,1.16,7766.0
2025-03-19,2072,0.13,0.0,157.0
2025-03-19,2101,0.14,0.0,159.0
2025-03-19,2103,0.64,0.0,1736.0
2025-03-19,2104,0.35,0.0,514.0
2025-03-19,2105,0.76,0.0,320.0
2025-03-19,2108,0.22,0.0,59.0
2025-03-19,2201,0.2,0.0,156.0
2025-03-19,2204,0.14,0.0,183.0
2025-03-19,2228,0.07,0.0,101.0
2025-03-19,2231,0.7,0.0,687.0
2025-03-19,2233,0.83,0.01,1165.0
2025-03-19,2236,0.15,0.0,83.0
2025-03-19,2301,11.21,0.0,8879.0
2025-03-19,2303,20.54,0.46,16467.0
2025-03-19,2308,8.74,0.36,11491.0
2025-03-19,2312,5.2,0.08,3072.0
2025-03-19,2313,21.17,0.02,21819.0
2025-03-19,2316,3.31,0.0,4533.0
2025-03-19,2317,31.71,12.12,46541.0
2025-03-19,2323,0.25,0.0,201.0
2025-03-19,2324,4.8,0.01,3796.0
2025-03-19,2327,8.57,0.0,10009.0
2025-03-19,2328,2.85,1.02,2654.0
2025-03-19,2329,5.36,0.0,7437.0
2025-03-19,2330,76.27,10.6,166996.0
2025-03-19,2331,0.09,0.0,531.0
2025-03-19,2332,0.48,0.0,999.0
2025-03-19,2337,2.91,0.48,4762.0
2025-03-19,2338,1.34,0.0,826.0
2025-03-19,2340,1.77,0.0,2131.0
2025-03-19,2344,14.26,1.32,17186.0
2025-03-19,2345,14.13,1.71,13446.0
2025-03-19,2347,0.64,0.0,796.0
2025-03-19,2348,0.09,0.05,775.0
2025-03-19,2351,7.23,0.0,4887.0
2025-03-19,2352,2.1,0.0,1577.0
2025-03-19,2353,2.05,0.0,3126.0
2025-03-19,2354,4.15,0.16,5681.0
2025-03-19,2355,3.84,0.0,3809.0
2025-03-19,2356,6.19,0.01,6129.0
2025-03-19,2357,9.14,1.03,10078.0
2025-03-19,2359,3.64,0.61,3187.0
2025-03-19,2360,0.46,0.06,1362.0
2025-03-19,2363,4.46,0.01,4277.0
2025-03-19,2365,0.47,0.0,1303.0
2025-03-19,2367,4.77,0.0,3857.0
2025-03-19,2368,13.96,0.81,16179.0
2025-03-19,2369,6.63,0.0,2975.0
2025-03-19,2371,1.41,0.0,2458.0
2025-03-19,2374,3.08,0.0,2562.0
2025-03-19,2375,1.64,0.0,1004.0
