date,ucode,call_val,put_val,call_vol
2026-07-21,0050,33.93,19.78,20737.0
2026-07-21,0052,0.89,0.0,785.0
2026-07-21,0056,0.03,0.0,24.0
2026-07-21,1101,3.56,0.0,4099.0
2026-07-21,1102,0.04,0.0,62.0
2026-07-21,1216,0.93,0.0,709.0
2026-07-21,1301,11.74,0.0,8088.0
2026-07-21,1303,17.25,0.97,9504.0
2026-07-21,1304,0.45,0.13,853.0
2026-07-21,1305,0.02,0.0,23.0
2026-07-21,1307,0.01,0.0,10.0
2026-07-21,1308,0.02,0.0,90.0
2026-07-21,1309,0.27,0.0,1001.0
2026-07-21,1312,1.26,0.0,1977.0
2026-07-21,1313,0.05,0.0,132.0
2026-07-21,1319,0.11,0.0,295.0
2026-07-21,1326,22.85,0.43,13365.0
2026-07-21,1402,0.32,0.0,693.0
2026-07-21,1409,0.86,0.0,1343.0
2026-07-21,1476,4.92,0.0,3930.0
2026-07-21,1477,0.91,0.0,1462.0
2026-07-21,1503,5.33,0.0,6740.0
2026-07-21,1504,0.9,0.0,1285.0
2026-07-21,1513,3.76,0.0,5652.0
2026-07-21,1514,2.08,0.13,4581.0
2026-07-21,1519,8.47,0.07,15421.0
2026-07-21,1536,1.19,0.0,1796.0
2026-07-21,1560,14.69,1.42,15653.0
2026-07-21,1582,0.04,0.0,570.0
2026-07-21,1590,4.5,0.0,7315.0
2026-07-21,1597,0.6,0.0,1088.0
2026-07-21,1605,5.69,0.0,7054.0
2026-07-21,1608,0.46,0.0,783.0
2026-07-21,1609,1.89,0.0,8175.0
2026-07-21,1618,0.02,0.0,19.0
2026-07-21,1623,0.01,0.0,6.0
2026-07-21,1708,0.57,0.0,448.0
2026-07-21,1710,0.75,0.0,823.0
2026-07-21,1711,0.82,0.01,876.0
2026-07-21,1714,0.99,0.0,791.0
2026-07-21,1717,3.58,0.08,4294.0
2026-07-21,1718,0.84,0.0,563.0
2026-07-21,1723,0.53,0.0,634.0
2026-07-21,1727,0.13,0.0,110.0
2026-07-21,1773,0.32,0.0,358.0
2026-07-21,1795,2.0,0.0,3344.0
2026-07-21,1802,1.77,0.32,3996.0
2026-07-21,1809,0.11,0.0,155.0
2026-07-21,1905,0.16,0.0,222.0
2026-07-21,2002,0.55,0.0,743.0
2026-07-21,2006,0.2,0.0,200.0
2026-07-21,2027,3.39,0.0,3206.0
2026-07-21,2031,0.04,0.0,35.0
2026-07-21,2034,0.03,0.0,43.0
2026-07-21,2049,7.71,0.06,8564.0
2026-07-21,2059,28.51,0.95,7714.0
2026-07-21,2072,0.06,0.0,100.0
2026-07-21,2103,2.68,0.0,1641.0
2026-07-21,2104,0.01,0.0,69.0
2026-07-21,2105,0.66,0.0,615.0
2026-07-21,2108,0.06,0.0,40.0
2026-07-21,2231,2.24,0.0,3378.0
2026-07-21,2233,0.99,0.01,1256.0
2026-07-21,2236,0.48,0.0,575.0
2026-07-21,2301,29.07,0.23,24523.0
2026-07-21,2303,83.83,1.78,95203.0
2026-07-21,2308,38.95,0.39,25488.0
2026-07-21,2312,3.27,0.01,3755.0
2026-07-21,2313,23.44,2.28,30467.0
2026-07-21,2316,4.24,0.0,6601.0
2026-07-21,2317,87.49,0.39,68715.0
2026-07-21,2323,0.26,0.0,609.0
2026-07-21,2324,5.65,0.07,5519.0
2026-07-21,2327,77.87,2.01,33698.0
2026-07-21,2328,0.06,0.0,224.0
2026-07-21,2329,0.99,0.01,2762.0
2026-07-21,2330,166.76,4.03,131329.0
2026-07-21,2331,0.11,0.0,236.0
2026-07-21,2337,0.6,0.0,303.0
2026-07-21,2338,0.22,0.01,952.0
2026-07-21,2340,0.43,0.0,547.0
2026-07-21,2344,36.31,0.95,37980.0
2026-07-21,2345,22.53,1.4,23877.0
2026-07-21,2347,0.7,0.0,770.0
2026-07-21,2348,0.03,0.0,42.0
2026-07-21,2351,3.28,0.0,5573.0
2026-07-21,2352,0.7,0.02,705.0
2026-07-21,2353,3.01,0.02,3460.0
2026-07-21,2354,0.75,0.0,839.0
2026-07-21,2355,0.35,0.0,722.0
2026-07-21,2356,6.38,0.02,6079.0
2026-07-21,2357,15.74,0.0,10508.0
2026-07-21,2359,9.89,0.0,13270.0
2026-07-21,2360,0.89,0.0,449.0
2026-07-21,2363,2.71,0.01,3446.0
2026-07-21,2365,0.05,0.0,182.0
2026-07-21,2367,0.67,0.04,1246.0
2026-07-21,2368,24.06,0.94,36753.0
2026-07-21,2369,0.34,0.0,798.0
2026-07-21,2371,0.49,0.0,867.0
2026-07-21,2374,0.32,0.0,1153.0
2026-07-21,2375,1.64,0.0,1862.0
2026-07-21,2376,10.66,0.0,9476.0
2026-07-21,2377,15.85,0.14,17076.0
2026-07-21,2379,10.89,0.29,10886.0
2026-07-21,2383,3.0,0.01,717.0
2026-07-21,2385,1.09,0.0,2497.0
2026-07-21,2388,12.46,0.43,9832.0
2026-07-21,2392,0.34,0.0,704.0
2026-07-21,2393,0.07,0.0,73.0
2026-07-21,2395,12.05,0.0,8926.0
2026-07-21,2399,0.01,0.0,7.0
2026-07-21,2401,0.83,0.0,896.0
2026-07-21,2402,0.54,0.0,1841.0
2026-07-21,2404,26.54,0.04,32729.0
2026-07-21,2406,1.05,0.0,1559.0
2026-07-21,2408,60.34,2.14,37791.0
2026-07-21,2409,17.53,0.65,14536.0
2026-07-21,2412,0.23,0.0,193.0
2026-07-21,2420,0.01,0.0,20.0
2026-07-21,2421,2.11,0.0,3798.0
2026-07-21,2428,0.6,0.0,1109.0
2026-07-21,2436,0.87,0.0,1648.0
2026-07-21,2439,0.17,0.0,208.0
2026-07-21,2441,7.63,0.0,12273.0
2026-07-21,2449,9.39,0.17,13034.0
2026-07-21,2451,4.42,0.18,6739.0
2026-07-21,2454,61.77,1.03,22581.0
2026-07-21,2455,0.53,0.0,221.0
2026-07-21,2457,0.14,0.0,227.0
2026-07-21,2458,3.63,0.0,3168.0
2026-07-21,2464,11.71,0.33,14118.0
2026-07-21,2467,1.83,0.0,1830.0
2026-07-21,2472,7.97,0.09,7246.0
2026-07-21,2474,3.44,0.0,4234.0
2026-07-21,2476,7.1,0.0,10572.0
2026-07-21,2478,0.82,0.0,374.0
2026-07-21,2480,0.1,0.0,86.0
2026-07-21,2481,6.22,0.04,7419.0
2026-07-21,2484,0.48,0.28,413.0
2026-07-21,2485,0.33,0.0,1610.0
2026-07-21,2486,0.26,0.0,120.0
2026-07-21,2489,0.19,0.01,482.0
2026-07-21,2492,2.05,0.0,747.0
2026-07-21,2493,1.06,0.0,759.0
2026-07-21,2495,0.21,0.0,320.0
2026-07-21,2498,1.79,0.0,3473.0
2026-07-21,2501,0.02,0.0,22.0
2026-07-21,2515,0.13,0.0,208.0
2026-07-21,2520,0.38,0.0,181.0
2026-07-21,2527,0.53,0.0,299.0
2026-07-21,2542,0.71,0.0,619.0
2026-07-21,2543,0.28,0.0,837.0
2026-07-21,2548,0.04,0.0,79.0
2026-07-21,2603,13.09,0.0,15269.0
2026-07-21,2605,2.69,0.0,3789.0
2026-07-21,2606,1.54,0.0,1652.0
2026-07-21,2609,5.89,0.1,8553.0
2026-07-21,2610,4.49,0.0,3554.0
2026-07-21,2615,9.22,0.0,11759.0
2026-07-21,2618,5.33,0.0,4069.0
2026-07-21,2630,2.21,0.0,1640.0
2026-07-21,2634,18.52,0.0,13661.0
2026-07-21,2637,0.63,0.0,486.0
2026-07-21,2645,8.71,0.0,9662.0
2026-07-21,2646,0.6,0.0,435.0
2026-07-21,2727,0.06,0.0,50.0
2026-07-21,2731,0.06,0.0,83.0
2026-07-21,2880,0.04,0.0,23.0
2026-07-21,2881,1.54,0.0,1013.0
2026-07-21,2882,1.17,0.0,925.0
2026-07-21,2883,1.12,0.0,563.0
2026-07-21,2884,5.45,0.0,3624.0
2026-07-21,2885,1.43,0.0,1447.0
2026-07-21,2886,0.8,0.0,600.0
2026-07-21,2887,1.62,0.0,853.0
2026-07-21,2890,3.04,0.0,1399.0
2026-07-21,2891,2.83,0.0,2253.0
2026-07-21,2892,0.37,0.0,245.0
2026-07-21,2912,0.74,0.0,464.0
2026-07-21,3003,0.01,0.0,11.0
2026-07-21,3004,0.68,0.0,546.0
2026-07-21,3005,9.05,0.0,10861.0
2026-07-21,3006,14.91,0.39,19571.0
2026-07-21,3008,31.1,0.69,23917.0
2026-07-21,3010,0.48,0.0,1184.0
2026-07-21,3013,0.31,0.0,1454.0
2026-07-21,3014,0.73,0.0,1038.0
2026-07-21,3015,0.02,0.0,30.0
2026-07-21,3016,3.18,0.0,3035.0
2026-07-21,3017,51.09,2.26,49354.0
2026-07-21,3019,6.52,0.0,8556.0
2026-07-21,3022,0.61,0.0,573.0
2026-07-21,3023,1.01,0.0,1657.0
2026-07-21,3026,4.01,0.0,269.0
2026-07-21,3028,0.13,0.0,132.0
2026-07-21,3029,0.29,0.0,476.0
2026-07-21,3030,6.61,0.0,7987.0
2026-07-21,3032,0.01,0.0,50.0
2026-07-21,3033,7.12,0.0,7399.0
2026-07-21,3034,6.89,0.21,5906.0
2026-07-21,3035,11.75,0.0,14283.0
2026-07-21,3036,1.99,0.0,6297.0
2026-07-21,3037,3.46,0.04,1081.0
2026-07-21,3042,44.93,0.08,66512.0
2026-07-21,3044,1.26,0.02,1931.0
2026-07-21,3048,0.44,0.0,922.0
2026-07-21,3049,0.01,0.0,11.0
2026-07-21,3055,0.69,0.0,303.0
2026-07-21,3059,0.26,0.0,1136.0
2026-07-21,3062,0.03,0.0,186.0
2026-07-21,3090,3.28,0.0,2871.0
2026-07-21,3135,0.04,0.0,66.0
2026-07-21,3138,0.02,0.0,49.0
2026-07-21,3167,0.52,0.0,109.0
2026-07-21,3189,3.41,0.0,771.0
2026-07-21,3209,0.37,0.0,1099.0
2026-07-21,3231,33.51,0.24,36573.0
2026-07-21,3305,3.43,0.02,8249.0
2026-07-21,3312,0.02,0.0,128.0
2026-07-21,3376,1.99,0.34,3595.0
2026-07-21,3380,0.14,0.0,740.0
2026-07-21,3406,4.86,0.0,8148.0
2026-07-21,3413,20.63,0.0,18602.0
