date,ucode,call_val,put_val,call_vol
2025-07-23,0050,8.88,0.0,10589.0
2025-07-23,0052,1.71,0.0,1133.0
2025-07-23,0056,0.06,0.0,90.0
2025-07-23,1101,6.62,0.0,4984.0
2025-07-23,1102,0.06,0.0,242.0
2025-07-23,1210,0.12,0.0,103.0
2025-07-23,1215,0.49,0.0,770.0
2025-07-23,1216,0.18,0.0,67.0
2025-07-23,1301,5.31,0.45,4134.0
2025-07-23,1303,15.18,0.07,12544.0
2025-07-23,1304,1.36,0.0,849.0
2025-07-23,1305,0.76,0.0,469.0
2025-07-23,1307,0.2,0.0,129.0
2025-07-23,1308,0.17,0.0,233.0
2025-07-23,1312,2.1,0.0,1174.0
2025-07-23,1313,0.06,0.0,121.0
2025-07-23,1319,1.95,0.07,2771.0
2025-07-23,1326,8.76,0.06,7638.0
2025-07-23,1402,0.3,0.0,543.0
2025-07-23,1409,1.27,0.0,804.0
2025-07-23,1436,0.01,0.01,6.0
2025-07-23,1464,0.05,0.0,43.0
2025-07-23,1476,0.94,0.0,823.0
2025-07-23,1477,3.46,0.0,1799.0
2025-07-23,1503,9.89,0.32,8504.0
2025-07-23,1504,0.97,0.0,1469.0
2025-07-23,1513,4.79,0.04,4815.0
2025-07-23,1514,0.99,0.15,1891.0
2025-07-23,1519,15.41,0.78,15142.0
2025-07-23,1532,0.08,0.0,69.0
2025-07-23,1536,2.79,0.24,5371.0
2025-07-23,1560,5.68,0.3,5710.0
2025-07-23,1563,0.03,0.0,23.0
2025-07-23,1582,0.86,0.0,969.0
2025-07-23,1590,3.74,0.0,3986.0
2025-07-23,1597,0.39,0.01,379.0
2025-07-23,1605,5.86,0.01,3237.0
2025-07-23,1608,1.77,0.0,2006.0
2025-07-23,1609,0.49,0.0,465.0
2025-07-23,1612,0.69,0.0,457.0
2025-07-23,1616,4.69,0.0,3733.0
2025-07-23,1618,0.03,0.0,25.0
2025-07-23,1623,0.15,0.0,169.0
2025-07-23,1708,1.31,0.0,1765.0
2025-07-23,1710,0.49,0.0,638.0
2025-07-23,1711,2.61,0.0,1168.0
2025-07-23,1714,0.48,0.0,422.0
2025-07-23,1717,4.0,0.0,5526.0
2025-07-23,1718,0.76,0.0,600.0
2025-07-23,1722,0.27,0.0,488.0
2025-07-23,1723,0.05,0.0,80.0
2025-07-23,1727,0.88,0.0,656.0
2025-07-23,1736,0.1,0.0,91.0
2025-07-23,1773,2.07,0.0,1466.0
2025-07-23,1786,0.65,0.0,357.0
2025-07-23,1795,5.06,0.06,6776.0
2025-07-23,1802,4.58,0.19,5617.0
2025-07-23,1809,0.15,0.0,120.0
2025-07-23,1903,0.03,0.0,20.0
2025-07-23,1905,0.4,0.0,711.0
2025-07-23,2002,4.5,0.42,3367.0
2025-07-23,2006,0.06,0.0,67.0
2025-07-23,2009,1.03,0.0,1152.0
2025-07-23,2014,0.02,0.01,18.0
2025-07-23,2027,5.7,0.08,3111.0
2025-07-23,2031,0.16,0.0,73.0
2025-07-23,2034,0.12,0.0,302.0
2025-07-23,2049,7.8,0.67,9716.0
2025-07-23,2059,5.52,1.94,4436.0
2025-07-23,2072,0.03,0.0,8.0
2025-07-23,2101,0.53,0.0,285.0
2025-07-23,2103,1.9,0.0,1502.0
2025-07-23,2104,0.07,0.0,99.0
2025-07-23,2105,0.1,0.0,91.0
2025-07-23,2108,0.29,0.0,266.0
2025-07-23,2204,0.32,0.37,294.0
2025-07-23,2228,0.03,0.0,50.0
2025-07-23,2231,0.49,0.0,899.0
2025-07-23,2233,0.94,0.01,1887.0
2025-07-23,2301,15.22,0.02,15069.0
2025-07-23,2302,0.21,0.0,280.0
2025-07-23,2303,15.42,0.3,15129.0
2025-07-23,2305,0.25,0.0,119.0
2025-07-23,2308,24.49,0.51,18502.0
2025-07-23,2312,2.28,0.04,2767.0
2025-07-23,2313,10.2,0.0,9670.0
2025-07-23,2316,13.09,0.52,7217.0
2025-07-23,2317,21.9,2.03,22126.0
2025-07-23,2323,0.4,0.0,502.0
2025-07-23,2324,4.47,0.0,6459.0
2025-07-23,2327,10.09,0.0,10769.0
2025-07-23,2328,5.48,0.11,4186.0
2025-07-23,2329,1.63,0.0,1922.0
2025-07-23,2330,55.05,19.94,48144.0
2025-07-23,2331,0.06,0.0,82.0
2025-07-23,2337,8.0,0.16,4836.0
2025-07-23,2338,0.66,0.0,781.0
2025-07-23,2340,0.36,0.0,997.0
2025-07-23,2342,0.06,0.0,98.0
2025-07-23,2344,16.78,0.36,19697.0
2025-07-23,2345,16.8,5.59,10032.0
2025-07-23,2347,1.8,0.0,1167.0
2025-07-23,2348,0.21,0.0,149.0
2025-07-23,2351,5.44,0.0,4814.0
2025-07-23,2352,0.17,0.0,339.0
2025-07-23,2353,2.24,0.0,2634.0
2025-07-23,2354,5.35,0.06,5599.0
2025-07-23,2355,1.42,0.0,1195.0
2025-07-23,2356,3.56,0.0,3437.0
2025-07-23,2357,6.16,0.82,5488.0
2025-07-23,2359,5.74,0.14,6937.0
2025-07-23,2360,7.78,0.35,6527.0
2025-07-23,2363,10.57,0.3,9112.0
2025-07-23,2365,0.82,0.1,715.0
2025-07-23,2367,3.4,0.0,5674.0
2025-07-23,2368,21.52,1.73,19198.0
2025-07-23,2369,4.27,0.0,5850.0
2025-07-23,2371,0.52,0.02,867.0
2025-07-23,2374,4.32,0.09,2661.0
2025-07-23,2375,3.03,0.0,1670.0
2025-07-23,2376,10.01,0.42,9145.0
2025-07-23,2377,5.82,0.23,6860.0
2025-07-23,2379,5.51,0.04,4967.0
2025-07-23,2383,6.55,3.88,5814.0
2025-07-23,2385,0.41,0.0,457.0
2025-07-23,2388,1.22,0.04,2236.0
2025-07-23,2392,2.42,0.0,2122.0
2025-07-23,2393,0.29,0.0,379.0
2025-07-23,2395,3.31,0.0,2939.0
2025-07-23,2399,0.12,0.0,89.0
2025-07-23,2401,0.75,0.0,1498.0
2025-07-23,2402,1.13,0.0,1391.0
2025-07-23,2404,5.7,0.36,5244.0
2025-07-23,2406,0.55,0.0,618.0
2025-07-23,2408,21.19,1.42,21883.0
2025-07-23,2409,11.79,0.0,10778.0
2025-07-23,2419,0.55,0.0,662.0
2025-07-23,2421,7.47,0.0,5247.0
2025-07-23,2426,3.18,0.0,2144.0
2025-07-23,2428,1.95,0.0,1908.0
2025-07-23,2436,0.43,0.0,414.0
2025-07-23,2439,1.08,0.04,5540.0
2025-07-23,2441,2.08,0.0,1573.0
2025-07-23,2449,12.56,0.0,11289.0
2025-07-23,2451,6.59,0.0,4892.0
2025-07-23,2454,11.08,1.2,12909.0
2025-07-23,2455,0.77,0.01,921.0
2025-07-23,2457,0.66,0.0,1397.0
2025-07-23,2458,0.54,0.0,584.0
2025-07-23,2464,1.39,0.0,1811.0
2025-07-23,2467,1.96,0.09,3381.0
2025-07-23,2472,5.08,0.0,5728.0
2025-07-23,2474,3.46,0.01,2361.0
2025-07-23,2476,3.03,0.0,3398.0
2025-07-23,2478,0.96,0.0,912.0
2025-07-23,2480,0.22,0.0,162.0
2025-07-23,2481,6.61,0.0,6867.0
2025-07-23,2484,3.01,0.0,1223.0
2025-07-23,2485,1.16,0.0,2426.0
2025-07-23,2486,0.44,0.01,639.0
2025-07-23,2489,1.39,0.0,1005.0
2025-07-23,2492,2.75,0.0,2275.0
2025-07-23,2493,6.44,0.0,8350.0
2025-07-23,2495,0.55,0.0,1391.0
2025-07-23,2497,0.02,0.0,60.0
2025-07-23,2498,5.11,0.03,5335.0
2025-07-23,2501,0.17,0.0,47.0
2025-07-23,2504,0.06,0.0,47.0
2025-07-23,2515,0.2,0.0,264.0
2025-07-23,2520,0.17,0.0,148.0
2025-07-23,2527,0.15,0.0,320.0
2025-07-23,2542,0.52,0.0,398.0
2025-07-23,2543,0.03,0.48,88.0
2025-07-23,2548,0.09,0.0,77.0
2025-07-23,2603,16.01,0.16,13176.0
2025-07-23,2605,2.23,0.0,2749.0
2025-07-23,2606,3.63,0.03,3240.0
2025-07-23,2609,12.83,0.27,8236.0
2025-07-23,2610,0.16,0.11,82.0
2025-07-23,2612,0.13,0.0,105.0
2025-07-23,2615,6.78,0.61,7645.0
2025-07-23,2618,1.24,0.0,1335.0
2025-07-23,2630,1.23,0.0,1091.0
2025-07-23,2634,6.17,0.01,3598.0
2025-07-23,2637,4.4,0.0,1967.0
2025-07-23,2645,2.57,0.0,1876.0
2025-07-23,2646,0.11,0.0,86.0
2025-07-23,2727,0.27,0.0,162.0
2025-07-23,2731,0.18,0.15,156.0
2025-07-23,2753,0.29,0.0,721.0
2025-07-23,2834,0.08,0.0,256.0
2025-07-23,2851,0.32,0.0,194.0
2025-07-23,2880,0.04,0.0,86.0
2025-07-23,2881,4.02,0.49,3060.0
2025-07-23,2882,1.05,0.76,1200.0
2025-07-23,2883,1.55,0.0,1488.0
2025-07-23,2884,0.57,0.0,622.0
2025-07-23,2885,0.17,0.0,410.0
2025-07-23,2886,0.31,0.0,239.0
2025-07-23,2887,1.09,0.0,934.0
2025-07-23,2889,1.42,0.0,1182.0
2025-07-23,2890,0.2,0.0,170.0
2025-07-23,2891,1.8,0.05,2844.0
2025-07-23,2892,0.1,0.0,91.0
2025-07-23,2912,0.11,0.0,294.0
2025-07-23,2915,0.05,0.0,370.0
2025-07-23,3003,0.32,0.0,219.0
2025-07-23,3004,0.03,0.0,28.0
2025-07-23,3005,2.14,0.0,1688.0
2025-07-23,3006,12.36,0.0,6495.0
2025-07-23,3008,19.44,1.14,18240.0
2025-07-23,3010,0.17,0.0,160.0
2025-07-23,3013,2.22,0.06,2665.0
2025-07-23,3014,0.04,0.0,99.0
2025-07-23,3015,0.1,0.0,129.0
2025-07-23,3016,2.2,0.0,1702.0
2025-07-23,3017,35.42,1.17,24556.0
2025-07-23,3019,6.18,1.96,7998.0
2025-07-23,3022,2.67,0.0,924.0
2025-07-23,3023,1.2,0.22,874.0
2025-07-23,3026,0.24,0.0,592.0
2025-07-23,3028,0.99,0.0,1906.0
2025-07-23,3029,0.18,0.0,270.0
2025-07-23,3030,4.1,0.13,7576.0
2025-07-23,3032,4.91,0.21,3006.0
2025-07-23,3033,1.29,0.0,1770.0
2025-07-23,3034,6.06,0.1,4787.0
2025-07-23,3035,10.9,3.39,9642.0
2025-07-23,3036,7.36,0.1,6918.0
2025-07-23,3037,7.83,0.47,10559.0
2025-07-23,3042,9.03,0.0,4789.0
2025-07-23,3044,8.14,0.4,7149.0
2025-07-23,3045,0.1,0.0,145.0
2025-07-23,3048,0.99,0.0,1452.0
2025-07-23,3049,1.25,0.0,1403.0
2025-07-23,3055,0.54,0.02,1747.0
2025-07-23,3056,0.41,0.0,380.0
2025-07-23,3059,0.29,0.01,499.0
2025-07-23,3062,0.1,0.0,337.0
2025-07-23,3090,1.5,0.0,1272.0
2025-07-23,3135,2.13,0.0,2112.0
2025-07-23,3138,0.05,0.0,146.0
2025-07-23,3167,0.13,0.0,440.0
2025-07-23,3189,10.01,0.38,6253.0
2025-07-23,3209,0.1,0.0,71.0
2025-07-23,3231,10.21,1.49,10700.0
2025-07-23,3266,0.84,0.19,2527.0
2025-07-23,3305,1.37,0.0,1368.0
2025-07-23,3312,0.77,0.0,609.0
2025-07-23,3376,15.58,0.48,13149.0
2025-07-23,3380,0.09,0.0,123.0
2025-07-23,3406,10.51,0.0,8290.0
2025-07-23,3413,2.15,0.0,2358.0
2025-07-23,3416,0.4,0.0,429.0
2025-07-23,3443,2.13,0.69,3173.0
2025-07-23,3450,1.17,0.23,2255.0
2025-07-23,3481,6.85,0.36,6282.0
2025-07-23,3504,1.12,0.0,1064.0
2025-07-23,3515,10.48,0.08,9058.0
2025-07-23,3532,0.24,0.0,483.0
2025-07-23,3533,13.41,1.1,11410.0
2025-07-23,3535,0.44,0.0,459.0
2025-07-23,3545,0.49,0.0,577.0
2025-07-23,3563,5.04,0.26,4306.0
2025-07-23,3583,5.81,0.01,5459.0
2025-07-23,3592,2.08,0.0,2027.0
2025-07-23,3596,0.44,0.0,321.0
